transmittance,probability_density
2.500e-03,2.072e-05
7.500e-03,4.252e-04
1.250e-02,1.734e-03
1.750e-02,4.379e-03
2.250e-02,8.749e-03
2.750e-02,1.521e-02
3.250e-02,2.410e-02
3.750e-02,3.574e-02
4.250e-02,5.047e-02
4.750e-02,6.858e-02
5.250e-02,9.037e-02
5.750e-02,1.161e-01
6.250e-02,1.462e-01
6.750e-02,1.808e-01
7.250e-02,2.201e-01
7.750e-02,2.646e-01
8.250e-02,3.145e-01
8.750e-02,3.699e-01
9.250e-02,4.313e-01
9.750e-02,4.987e-01
1.025e-01,5.726e-01
1.075e-01,6.531e-01
1.125e-01,7.405e-01
1.175e-01,8.350e-01
1.225e-01,9.370e-01
1.275e-01,1.046e+00
1.325e-01,1.164e+00
1.375e-01,1.289e+00
1.425e-01,1.423e+00
1.475e-01,1.566e+00
1.525e-01,1.717e+00
1.575e-01,1.877e+00
1.625e-01,2.047e+00
1.675e-01,2.226e+00
1.725e-01,2.415e+00
1.775e-01,2.613e+00
1.825e-01,2.822e+00
1.875e-01,3.042e+00
1.925e-01,3.272e+00
1.975e-01,3.513e+00
2.025e-01,3.765e+00
2.075e-01,4.028e+00
2.125e-01,4.303e+00
2.175e-01,4.590e+00
2.225e-01,4.889e+00
2.275e-01,5.200e+00
2.325e-01,5.523e+00
2.375e-01,5.860e+00
2.425e-01,6.209e+00
2.475e-01,6.571e+00
2.525e-01,6.947e+00
2.575e-01,7.337e+00
2.625e-01,7.741e+00
2.675e-01,8.159e+00
2.725e-01,8.592e+00
2.775e-01,9.040e+00
2.825e-01,9.503e+00
2.875e-01,9.982e+00
2.925e-01,1.048e+01
2.975e-01,1.099e+01
3.025e-01,1.153e+01
3.075e-01,1.210e+01
3.125e-01,0.000e+00
3.175e-01,0.000e+00
3.225e-01,0.000e+00
3.275e-01,0.000e+00
3.325e-01,0.000e+00
3.375e-01,0.000e+00
3.425e-01,0.000e+00
3.475e-01,0.000e+00
3.525e-01,0.000e+00
3.575e-01,0.000e+00
3.625e-01,0.000e+00
3.675e-01,0.000e+00
3.725e-01,0.000e+00
3.775e-01,0.000e+00
3.825e-01,0.000e+00
3.875e-01,0.000e+00
3.925e-01,0.000e+00
3.975e-01,0.000e+00
4.025e-01,0.000e+00
4.075e-01,0.000e+00
4.125e-01,0.000e+00
4.175e-01,0.000e+00
4.225e-01,0.000e+00
4.275e-01,0.000e+00
4.325e-01,0.000e+00
4.375e-01,0.000e+00
