transmittance,probability_density
2.500e-03,8.469e-11
7.500e-03,1.464e-08
1.250e-02,1.598e-07
1.750e-02,7.690e-07
2.250e-02,2.480e-06
2.750e-02,6.303e-06
3.250e-02,1.368e-05
3.750e-02,2.652e-05
4.250e-02,4.727e-05
4.750e-02,7.889e-05
5.250e-02,1.250e-04
5.750e-02,1.896e-04
6.250e-02,2.776e-04
6.750e-02,3.944e-04
7.250e-02,5.459e-04
7.750e-02,7.388e-04
8.250e-02,9.806e-04
8.750e-02,1.279e-03
9.250e-02,1.643e-03
9.750e-02,2.081e-03
1.025e-01,2.603e-03
1.075e-01,3.220e-03
1.125e-01,3.943e-03
1.175e-01,4.783e-03
1.225e-01,5.753e-03
1.275e-01,6.864e-03
1.325e-01,8.131e-03
1.375e-01,9.567e-03
1.425e-01,1.119e-02
1.475e-01,1.300e-02
1.525e-01,1.503e-02
1.575e-01,1.729e-02
1.625e-01,1.979e-02
1.675e-01,2.255e-02
1.725e-01,2.558e-02
1.775e-01,2.891e-02
1.825e-01,3.254e-02
1.875e-01,3.651e-02
1.925e-01,4.081e-02
1.975e-01,4.547e-02
2.025e-01,5.051e-02
2.075e-01,5.595e-02
2.125e-01,6.179e-02
2.175e-01,6.806e-02
2.225e-01,7.478e-02
2.275e-01,8.195e-02
2.325e-01,8.961e-02
2.375e-01,9.776e-02
2.425e-01,1.064e-01
2.475e-01,1.156e-01
2.525e-01,1.253e-01
2.575e-01,1.356e-01
2.625e-01,1.465e-01
2.675e-01,1.579e-01
2.725e-01,1.699e-01
2.775e-01,1.826e-01
2.825e-01,1.959e-01
2.875e-01,2.098e-01
2.925e-01,2.243e-01
2.975e-01,2.395e-01
3.025e-01,2.554e-01
3.075e-01,2.719e-01
3.125e-01,2.892e-01
3.175e-01,3.071e-01
3.225e-01,3.257e-01
3.275e-01,3.450e-01
3.325e-01,3.651e-01
3.375e-01,3.858e-01
3.425e-01,4.072e-01
3.475e-01,4.294e-01
3.525e-01,4.523e-01
3.575e-01,4.759e-01
3.625e-01,5.002e-01
3.675e-01,5.252e-01
3.725e-01,5.509e-01
3.775e-01,5.773e-01
3.825e-01,6.043e-01
3.875e-01,6.321e-01
3.925e-01,6.606e-01
3.975e-01,6.897e-01
4.025e-01,7.194e-01
4.075e-01,7.498e-01
4.125e-01,7.808e-01
4.175e-01,8.124e-01
4.225e-01,8.446e-01
4.275e-01,8.774e-01
4.325e-01,9.107e-01
4.375e-01,9.445e-01
4.425e-01,9.789e-01
4.475e-01,1.014e+00
4.525e-01,1.049e+00
4.575e-01,1.085e+00
4.625e-01,1.121e+00
4.675e-01,1.157e+00
4.725e-01,1.194e+00
4.775e-01,1.231e+00
4.825e-01,1.269e+00
4.875e-01,1.306e+00
4.925e-01,1.344e+00
4.975e-01,1.382e+00
5.025e-01,1.420e+00
5.075e-01,1.458e+00
5.125e-01,1.496e+00
5.175e-01,1.535e+00
5.225e-01,1.573e+00
5.275e-01,1.611e+00
5.325e-01,1.649e+00
5.375e-01,1.686e+00
5.425e-01,1.724e+00
5.475e-01,1.761e+00
5.525e-01,1.798e+00
5.575e-01,1.834e+00
5.625e-01,1.870e+00
5.675e-01,1.906e+00
5.725e-01,1.941e+00
5.775e-01,1.975e+00
5.825e-01,2.009e+00
5.875e-01,2.042e+00
5.925e-01,2.074e+00
5.975e-01,2.106e+00
6.025e-01,2.136e+00
6.075e-01,2.166e+00
6.125e-01,2.195e+00
6.175e-01,2.222e+00
6.225e-01,2.249e+00
6.275e-01,2.274e+00
6.325e-01,2.298e+00
6.375e-01,2.321e+00
6.425e-01,2.342e+00
6.475e-01,2.362e+00
6.525e-01,2.381e+00
6.575e-01,2.398e+00
6.625e-01,2.414e+00
6.675e-01,2.428e+00
6.725e-01,2.440e+00
6.775e-01,2.451e+00
6.825e-01,2.459e+00
6.875e-01,2.466e+00
6.925e-01,2.472e+00
6.975e-01,2.475e+00
7.025e-01,2.476e+00
7.075e-01,2.476e+00
7.125e-01,2.473e+00
7.175e-01,2.469e+00
7.225e-01,2.462e+00
7.275e-01,2.453e+00
7.325e-01,2.442e+00
7.375e-01,2.429e+00
7.425e-01,2.413e+00
7.475e-01,2.396e+00
7.525e-01,2.376e+00
7.575e-01,2.354e+00
7.625e-01,2.330e+00
7.675e-01,2.303e+00
7.725e-01,2.275e+00
7.775e-01,2.244e+00
7.825e-01,2.211e+00
7.875e-01,2.175e+00
7.925e-01,2.138e+00
7.975e-01,2.098e+00
8.025e-01,2.056e+00
8.075e-01,2.012e+00
8.125e-01,1.966e+00
8.175e-01,1.918e+00
8.225e-01,1.868e+00
8.275e-01,1.817e+00
8.325e-01,1.763e+00
8.375e-01,1.708e+00
8.425e-01,1.651e+00
8.475e-01,1.592e+00
8.525e-01,1.532e+00
8.575e-01,1.471e+00
8.625e-01,1.409e+00
8.675e-01,1.345e+00
8.725e-01,1.280e+00
8.775e-01,1.215e+00
8.825e-01,1.149e+00
8.875e-01,1.083e+00
8.925e-01,1.016e+00
8.975e-01,9.490e-01
9.025e-01,8.823e-01
9.075e-01,8.158e-01
9.125e-01,7.499e-01
9.175e-01,6.848e-01
9.225e-01,6.207e-01
9.275e-01,5.579e-01
9.325e-01,4.967e-01
9.375e-01,4.373e-01
9.425e-01,3.801e-01
9.475e-01,3.254e-01
9.525e-01,2.736e-01
9.575e-01,2.250e-01
9.625e-01,1.799e-01
9.675e-01,1.389e-01
9.725e-01,1.022e-01
9.775e-01,7.036e-02
9.825e-01,4.381e-02
9.875e-01,2.305e-02
9.925e-01,8.581e-03
9.975e-01,9.975e-04
