transmittance,probability_density
4.868e-04,1.979e+01
1.460e-03,3.270e+01
2.434e-03,3.870e+01
3.407e-03,4.167e+01
4.381e-03,4.293e+01
5.354e-03,4.313e+01
6.328e-03,4.264e+01
7.301e-03,4.168e+01
8.275e-03,4.043e+01
9.248e-03,3.897e+01
1.022e-02,3.740e+01
1.120e-02,3.575e+01
1.217e-02,3.407e+01
1.314e-02,3.240e+01
1.412e-02,3.074e+01
1.509e-02,2.912e+01
1.606e-02,2.754e+01
1.704e-02,2.601e+01
1.801e-02,2.455e+01
1.898e-02,2.314e+01
1.996e-02,2.179e+01
2.093e-02,2.051e+01
2.190e-02,1.929e+01
2.288e-02,1.813e+01
2.385e-02,1.703e+01
2.482e-02,1.599e+01
2.580e-02,1.501e+01
2.677e-02,1.408e+01
2.774e-02,1.321e+01
2.872e-02,1.238e+01
2.969e-02,1.161e+01
3.067e-02,1.087e+01
3.164e-02,1.019e+01
3.261e-02,9.540e+00
3.359e-02,8.932e+00
3.456e-02,8.361e+00
3.553e-02,7.824e+00
3.651e-02,7.321e+00
3.748e-02,6.849e+00
3.845e-02,6.407e+00
3.943e-02,5.992e+00
4.040e-02,5.602e+00
4.137e-02,5.238e+00
4.235e-02,4.896e+00
4.332e-02,4.577e+00
4.429e-02,4.277e+00
4.527e-02,3.997e+00
4.624e-02,3.734e+00
4.721e-02,3.488e+00
4.819e-02,3.259e+00
4.916e-02,3.044e+00
5.014e-02,2.842e+00
5.111e-02,2.654e+00
5.208e-02,2.478e+00
5.306e-02,2.314e+00
5.403e-02,2.160e+00
5.500e-02,2.016e+00
5.598e-02,1.882e+00
5.695e-02,1.757e+00
5.792e-02,1.639e+00
5.890e-02,1.530e+00
5.987e-02,1.427e+00
6.084e-02,1.332e+00
6.182e-02,1.242e+00
6.279e-02,1.159e+00
6.376e-02,1.081e+00
6.474e-02,1.008e+00
6.571e-02,9.401e-01
6.668e-02,8.767e-01
6.766e-02,8.175e-01
6.863e-02,7.622e-01
6.961e-02,7.106e-01
7.058e-02,6.625e-01
7.155e-02,6.176e-01
7.253e-02,5.757e-01
7.350e-02,5.365e-01
7.447e-02,5.001e-01
7.545e-02,4.660e-01
7.642e-02,4.343e-01
7.739e-02,4.046e-01
7.837e-02,3.770e-01
7.934e-02,3.512e-01
8.031e-02,3.272e-01
8.129e-02,3.048e-01
8.226e-02,2.839e-01
8.323e-02,2.644e-01
8.421e-02,2.463e-01
8.518e-02,2.293e-01
8.615e-02,2.136e-01
8.713e-02,1.989e-01
8.810e-02,1.851e-01
8.908e-02,1.724e-01
9.005e-02,1.605e-01
9.102e-02,1.494e-01
9.200e-02,1.390e-01
9.297e-02,1.294e-01
9.394e-02,1.204e-01
9.492e-02,1.121e-01
9.589e-02,1.043e-01
9.686e-02,9.705e-02
9.784e-02,9.030e-02
9.881e-02,8.401e-02
9.978e-02,7.815e-02
1.008e-01,7.270e-02
1.017e-01,6.762e-02
1.027e-01,6.290e-02
1.037e-01,5.850e-02
1.047e-01,5.440e-02
1.056e-01,5.059e-02
1.066e-01,4.704e-02
1.076e-01,4.373e-02
1.085e-01,4.066e-02
1.095e-01,3.780e-02
1.105e-01,3.514e-02
1.115e-01,3.266e-02
