transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,2.000e-03
2.750e-02,4.001e-03
3.250e-02,0.000e+00
3.750e-02,6.001e-03
4.250e-02,0.000e+00
4.750e-02,6.001e-03
5.250e-02,2.000e-03
5.750e-02,6.001e-03
6.250e-02,1.200e-02
6.750e-02,4.001e-03
7.250e-02,4.001e-03
7.750e-02,8.001e-03
8.250e-02,2.200e-02
8.750e-02,1.400e-02
9.250e-02,2.600e-02
9.750e-02,1.000e-02
1.025e-01,2.400e-02
1.075e-01,3.801e-02
1.125e-01,4.201e-02
1.175e-01,5.401e-02
1.225e-01,5.801e-02
1.275e-01,5.201e-02
1.325e-01,6.801e-02
1.375e-01,9.601e-02
1.425e-01,9.401e-02
1.475e-01,8.601e-02
1.525e-01,8.001e-02
1.575e-01,1.200e-01
1.625e-01,1.320e-01
1.675e-01,1.820e-01
1.725e-01,1.680e-01
1.775e-01,1.980e-01
1.825e-01,2.000e-01
1.875e-01,2.200e-01
1.925e-01,2.160e-01
1.975e-01,2.420e-01
2.025e-01,2.800e-01
2.075e-01,3.300e-01
2.125e-01,3.300e-01
2.175e-01,3.441e-01
2.225e-01,3.761e-01
2.275e-01,4.281e-01
2.325e-01,4.901e-01
2.375e-01,5.341e-01
2.425e-01,5.081e-01
2.475e-01,5.401e-01
2.525e-01,5.701e-01
2.575e-01,7.221e-01
2.625e-01,7.341e-01
2.675e-01,8.681e-01
2.725e-01,8.661e-01
2.775e-01,9.501e-01
2.825e-01,1.020e+00
2.875e-01,1.032e+00
2.925e-01,1.000e+00
2.975e-01,1.130e+00
3.025e-01,1.216e+00
3.075e-01,1.400e+00
3.125e-01,1.414e+00
3.175e-01,1.516e+00
3.225e-01,1.594e+00
3.275e-01,1.640e+00
3.325e-01,1.922e+00
3.375e-01,1.892e+00
3.425e-01,1.952e+00
3.475e-01,2.088e+00
3.525e-01,2.220e+00
3.575e-01,2.366e+00
3.625e-01,2.358e+00
3.675e-01,2.552e+00
3.725e-01,2.518e+00
3.775e-01,2.868e+00
3.825e-01,2.978e+00
3.875e-01,3.002e+00
3.925e-01,2.994e+00
3.975e-01,3.230e+00
4.025e-01,3.144e+00
4.075e-01,3.413e+00
4.125e-01,3.479e+00
4.175e-01,3.381e+00
4.225e-01,3.581e+00
4.275e-01,3.539e+00
4.325e-01,3.679e+00
4.375e-01,3.719e+00
4.425e-01,3.687e+00
4.475e-01,3.603e+00
4.525e-01,3.893e+00
4.575e-01,3.665e+00
4.625e-01,3.637e+00
4.675e-01,3.781e+00
4.725e-01,3.771e+00
4.775e-01,3.897e+00
4.825e-01,3.843e+00
4.875e-01,3.671e+00
4.925e-01,3.623e+00
4.975e-01,3.545e+00
5.025e-01,3.575e+00
5.075e-01,3.483e+00
5.125e-01,3.226e+00
5.175e-01,3.286e+00
5.225e-01,3.118e+00
5.275e-01,3.094e+00
5.325e-01,2.820e+00
5.375e-01,2.884e+00
5.425e-01,2.702e+00
5.475e-01,2.666e+00
5.525e-01,2.536e+00
5.575e-01,2.616e+00
5.625e-01,2.310e+00
5.675e-01,2.190e+00
5.725e-01,2.058e+00
5.775e-01,2.040e+00
5.825e-01,1.912e+00
5.875e-01,1.868e+00
5.925e-01,1.712e+00
5.975e-01,1.564e+00
6.025e-01,1.432e+00
6.075e-01,1.340e+00
6.125e-01,1.300e+00
6.175e-01,1.200e+00
6.225e-01,1.206e+00
6.275e-01,9.581e-01
6.325e-01,8.881e-01
6.375e-01,8.961e-01
6.425e-01,7.461e-01
6.475e-01,7.121e-01
6.525e-01,6.601e-01
6.575e-01,5.361e-01
6.625e-01,5.161e-01
6.675e-01,4.481e-01
6.725e-01,4.561e-01
6.775e-01,3.621e-01
6.825e-01,4.021e-01
6.875e-01,3.200e-01
6.925e-01,2.460e-01
6.975e-01,2.800e-01
7.025e-01,1.600e-01
7.075e-01,2.140e-01
7.125e-01,2.020e-01
7.175e-01,1.420e-01
7.225e-01,1.120e-01
7.275e-01,9.201e-02
7.325e-01,9.001e-02
7.375e-01,7.801e-02
7.425e-01,7.401e-02
7.475e-01,8.601e-02
7.525e-01,5.601e-02
7.575e-01,5.401e-02
7.625e-01,4.401e-02
7.675e-01,4.201e-02
7.725e-01,2.200e-02
7.775e-01,2.400e-02
7.825e-01,2.200e-02
7.875e-01,2.200e-02
7.925e-01,1.000e-02
7.975e-01,1.200e-02
8.025e-01,1.800e-02
8.075e-01,4.001e-03
8.125e-01,1.000e-02
8.175e-01,8.001e-03
8.225e-01,4.001e-03
8.275e-01,2.000e-03
8.325e-01,0.000e+00
8.375e-01,4.001e-03
8.425e-01,0.000e+00
8.475e-01,0.000e+00
8.525e-01,0.000e+00
8.575e-01,0.000e+00
8.625e-01,0.000e+00
8.675e-01,0.000e+00
8.725e-01,0.000e+00
8.775e-01,0.000e+00
8.825e-01,0.000e+00
8.875e-01,0.000e+00
8.925e-01,0.000e+00
8.975e-01,0.000e+00
9.025e-01,0.000e+00
9.075e-01,0.000e+00
9.125e-01,0.000e+00
9.175e-01,0.000e+00
9.225e-01,0.000e+00
9.275e-01,0.000e+00
9.325e-01,0.000e+00
9.375e-01,0.000e+00
9.425e-01,0.000e+00
9.475e-01,0.000e+00
9.525e-01,0.000e+00
9.575e-01,0.000e+00
9.625e-01,0.000e+00
9.675e-01,0.000e+00
9.725e-01,0.000e+00
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
