aperture_radius,lognormal,beam_wandering,elliptical_beam,total_probability,beta,beta_total_probability,num_total_probability,num_beta_total_probability,num_elliptical_beam
1.000e-03,9.492e-02,4.624e-01,2.531e-01,8.477e-02,6.308e-03,1.302e-02,6.374e-02,3.884e-02,6.557e-01
2.000e-03,9.538e-02,3.796e-01,2.389e-01,8.500e-02,6.014e-03,1.250e-02,7.481e-02,5.279e-02,3.371e-01
3.000e-03,9.360e-02,4.169e-01,2.271e-01,8.258e-02,5.703e-03,1.221e-02,8.472e-02,6.498e-02,3.101e-01
4.000e-03,9.210e-02,3.807e-01,2.316e-01,8.079e-02,5.000e-03,1.188e-02,8.191e-02,6.322e-02,2.343e-01
5.000e-03,8.962e-02,3.943e-01,2.272e-01,7.879e-02,4.900e-03,1.274e-02,8.738e-02,6.968e-02,2.377e-01
6.000e-03,8.772e-02,3.732e-01,2.293e-01,7.665e-02,4.076e-03,1.288e-02,8.745e-02,7.050e-02,2.507e-01
7.000e-03,8.510e-02,3.510e-01,2.371e-01,7.303e-02,4.284e-03,1.319e-02,8.329e-02,6.585e-02,2.425e-01
8.000e-03,8.354e-02,4.211e-01,2.336e-01,7.175e-02,4.339e-03,1.364e-02,8.841e-02,7.183e-02,2.444e-01
9.000e-03,8.162e-02,3.870e-01,2.380e-01,6.925e-02,5.355e-03,1.451e-02,8.769e-02,7.130e-02,2.548e-01
1.000e-02,8.017e-02,3.815e-01,2.387e-01,6.722e-02,5.730e-03,1.496e-02,8.991e-02,7.489e-02,2.478e-01
1.100e-02,7.860e-02,4.337e-01,2.425e-01,6.563e-02,6.671e-03,1.632e-02,8.965e-02,7.452e-02,2.422e-01
1.200e-02,7.738e-02,4.462e-01,2.422e-01,6.402e-02,7.223e-03,1.629e-02,9.186e-02,7.691e-02,2.485e-01
1.300e-02,7.589e-02,3.915e-01,2.463e-01,6.255e-02,7.798e-03,1.636e-02,9.068e-02,7.586e-02,2.399e-01
1.400e-02,7.466e-02,4.530e-01,2.499e-01,6.094e-02,8.398e-03,1.711e-02,8.906e-02,7.469e-02,2.483e-01
