transmittance,probability_density
2.500e-03,1.581e-211
7.500e-03,2.856e-137
1.250e-02,3.383e-108
1.750e-02,6.144e-91
2.250e-02,5.007e-79
2.750e-02,4.062e-70
3.250e-02,4.149e-63
3.750e-02,2.127e-57
4.250e-02,1.256e-52
4.750e-02,1.461e-48
5.250e-02,4.815e-45
5.750e-02,5.821e-42
6.250e-02,3.118e-39
6.750e-02,8.525e-37
7.250e-02,1.327e-34
7.750e-02,1.282e-32
8.250e-02,8.222e-31
8.750e-02,3.702e-29
9.250e-02,1.224e-27
9.750e-02,3.085e-26
1.025e-01,6.119e-25
1.075e-01,9.803e-24
1.125e-01,1.298e-22
1.175e-01,1.448e-21
1.225e-01,1.383e-20
1.275e-01,1.149e-19
1.325e-01,8.398e-19
1.375e-01,5.465e-18
1.425e-01,3.196e-17
1.475e-01,1.695e-16
1.525e-01,8.215e-16
1.575e-01,3.663e-15
1.625e-01,1.512e-14
1.675e-01,5.814e-14
1.725e-01,2.091e-13
1.775e-01,7.070e-13
1.825e-01,2.256e-12
1.875e-01,6.821e-12
1.925e-01,1.961e-11
1.975e-01,5.375e-11
2.025e-01,1.409e-10
2.075e-01,3.543e-10
2.125e-01,8.562e-10
2.175e-01,1.994e-09
2.225e-01,4.482e-09
2.275e-01,9.745e-09
2.325e-01,2.053e-08
2.375e-01,4.199e-08
2.425e-01,8.349e-08
2.475e-01,1.616e-07
2.525e-01,3.048e-07
2.575e-01,5.612e-07
2.625e-01,1.010e-06
2.675e-01,1.777e-06
2.725e-01,3.061e-06
2.775e-01,5.170e-06
2.825e-01,8.566e-06
2.875e-01,1.393e-05
2.925e-01,2.227e-05
2.975e-01,3.501e-05
3.025e-01,5.414e-05
3.075e-01,8.245e-05
3.125e-01,1.237e-04
3.175e-01,1.831e-04
3.225e-01,2.671e-04
3.275e-01,3.848e-04
3.325e-01,5.473e-04
3.375e-01,7.691e-04
3.425e-01,1.068e-03
3.475e-01,1.467e-03
3.525e-01,1.993e-03
3.575e-01,2.680e-03
3.625e-01,3.568e-03
3.675e-01,4.703e-03
3.725e-01,6.143e-03
3.775e-01,7.951e-03
3.825e-01,1.020e-02
3.875e-01,1.298e-02
3.925e-01,1.638e-02
3.975e-01,2.051e-02
4.025e-01,2.548e-02
4.075e-01,3.143e-02
4.125e-01,3.850e-02
4.175e-01,4.682e-02
4.225e-01,5.657e-02
4.275e-01,6.790e-02
4.325e-01,8.100e-02
4.375e-01,9.603e-02
4.425e-01,1.132e-01
4.475e-01,1.326e-01
4.525e-01,1.546e-01
4.575e-01,1.792e-01
4.625e-01,2.066e-01
4.675e-01,2.371e-01
4.725e-01,2.706e-01
4.775e-01,3.075e-01
4.825e-01,3.477e-01
4.875e-01,3.914e-01
4.925e-01,4.387e-01
4.975e-01,4.896e-01
5.025e-01,5.441e-01
5.075e-01,6.023e-01
5.125e-01,6.640e-01
5.175e-01,7.293e-01
5.225e-01,7.980e-01
5.275e-01,8.699e-01
5.325e-01,9.450e-01
5.375e-01,1.023e+00
5.425e-01,1.104e+00
5.475e-01,1.187e+00
5.525e-01,1.273e+00
5.575e-01,1.360e+00
5.625e-01,1.449e+00
5.675e-01,1.539e+00
5.725e-01,1.630e+00
5.775e-01,1.722e+00
5.825e-01,1.814e+00
5.875e-01,1.905e+00
5.925e-01,1.996e+00
5.975e-01,2.086e+00
6.025e-01,2.175e+00
6.075e-01,2.261e+00
6.125e-01,2.346e+00
6.175e-01,2.428e+00
6.225e-01,2.508e+00
6.275e-01,2.584e+00
6.325e-01,2.657e+00
6.375e-01,2.726e+00
6.425e-01,2.791e+00
6.475e-01,2.851e+00
6.525e-01,2.908e+00
6.575e-01,2.959e+00
6.625e-01,3.006e+00
6.675e-01,3.048e+00
6.725e-01,3.085e+00
6.775e-01,3.117e+00
6.825e-01,3.144e+00
6.875e-01,3.166e+00
6.925e-01,3.182e+00
6.975e-01,3.194e+00
7.025e-01,3.200e+00
7.075e-01,3.202e+00
7.125e-01,3.198e+00
7.175e-01,3.190e+00
7.225e-01,3.177e+00
7.275e-01,3.160e+00
7.325e-01,3.138e+00
7.375e-01,3.112e+00
7.425e-01,3.083e+00
7.475e-01,3.049e+00
7.525e-01,3.012e+00
7.575e-01,2.972e+00
7.625e-01,2.929e+00
7.675e-01,2.883e+00
7.725e-01,2.834e+00
7.775e-01,2.782e+00
7.825e-01,2.729e+00
7.875e-01,2.674e+00
7.925e-01,2.616e+00
7.975e-01,2.558e+00
8.025e-01,2.498e+00
8.075e-01,2.437e+00
8.125e-01,2.374e+00
8.175e-01,2.312e+00
8.225e-01,2.248e+00
8.275e-01,2.185e+00
8.325e-01,2.121e+00
8.375e-01,2.057e+00
8.425e-01,1.993e+00
8.475e-01,1.930e+00
8.525e-01,1.867e+00
8.575e-01,1.804e+00
8.625e-01,1.742e+00
8.675e-01,1.681e+00
8.725e-01,1.621e+00
8.775e-01,1.561e+00
8.825e-01,1.503e+00
8.875e-01,1.445e+00
8.925e-01,1.389e+00
8.975e-01,1.334e+00
9.025e-01,1.281e+00
9.075e-01,1.228e+00
9.125e-01,1.177e+00
9.175e-01,1.127e+00
9.225e-01,1.079e+00
9.275e-01,1.032e+00
9.325e-01,9.863e-01
9.375e-01,9.422e-01
9.425e-01,8.994e-01
9.475e-01,8.581e-01
9.525e-01,8.182e-01
9.575e-01,7.797e-01
9.625e-01,7.426e-01
9.675e-01,7.068e-01
9.725e-01,6.724e-01
9.775e-01,6.393e-01
9.825e-01,6.075e-01
9.875e-01,5.770e-01
9.925e-01,5.477e-01
9.975e-01,5.196e-01
