transmittance,probability_density
3.304e-01,1.228e-09
3.338e-01,1.579e-09
3.371e-01,2.024e-09
3.405e-01,2.587e-09
3.438e-01,3.297e-09
3.472e-01,4.190e-09
3.505e-01,5.309e-09
3.539e-01,6.708e-09
3.573e-01,8.453e-09
3.606e-01,1.062e-08
3.640e-01,1.332e-08
3.673e-01,1.665e-08
3.707e-01,2.076e-08
3.740e-01,2.582e-08
3.774e-01,3.204e-08
3.808e-01,3.966e-08
3.841e-01,4.898e-08
3.875e-01,6.033e-08
3.908e-01,7.415e-08
3.942e-01,9.093e-08
3.975e-01,1.113e-07
4.009e-01,1.358e-07
4.042e-01,1.654e-07
4.076e-01,2.011e-07
4.110e-01,2.439e-07
4.143e-01,2.952e-07
4.177e-01,3.565e-07
4.210e-01,4.298e-07
4.244e-01,5.170e-07
4.277e-01,6.207e-07
4.311e-01,7.437e-07
4.345e-01,8.893e-07
4.378e-01,1.061e-06
4.412e-01,1.265e-06
4.445e-01,1.504e-06
4.479e-01,1.785e-06
4.512e-01,2.114e-06
4.546e-01,2.501e-06
4.579e-01,2.952e-06
4.613e-01,3.479e-06
4.647e-01,4.092e-06
4.680e-01,4.806e-06
4.714e-01,5.634e-06
4.747e-01,6.594e-06
4.781e-01,7.705e-06
4.814e-01,8.987e-06
4.848e-01,1.047e-05
4.882e-01,1.217e-05
4.915e-01,1.413e-05
4.949e-01,1.638e-05
4.982e-01,1.895e-05
5.016e-01,2.190e-05
5.049e-01,2.526e-05
5.083e-01,2.910e-05
5.116e-01,3.347e-05
5.150e-01,3.844e-05
5.184e-01,4.408e-05
5.217e-01,5.047e-05
5.251e-01,5.771e-05
5.284e-01,6.589e-05
5.318e-01,7.513e-05
5.351e-01,8.554e-05
5.385e-01,9.725e-05
5.419e-01,1.104e-04
5.452e-01,1.252e-04
5.486e-01,1.417e-04
5.519e-01,1.603e-04
5.553e-01,1.810e-04
5.586e-01,2.041e-04
5.620e-01,2.299e-04
5.654e-01,2.585e-04
5.687e-01,2.904e-04
5.721e-01,3.258e-04
5.754e-01,3.650e-04
5.788e-01,4.084e-04
5.821e-01,4.564e-04
5.855e-01,5.094e-04
5.888e-01,5.679e-04
5.922e-01,6.323e-04
5.956e-01,7.032e-04
5.989e-01,7.810e-04
6.023e-01,8.664e-04
6.056e-01,9.601e-04
6.090e-01,1.063e-03
6.123e-01,1.175e-03
6.157e-01,1.297e-03
6.191e-01,1.431e-03
6.224e-01,1.576e-03
6.258e-01,1.734e-03
6.291e-01,1.906e-03
6.325e-01,2.093e-03
6.358e-01,2.296e-03
6.392e-01,2.516e-03
6.425e-01,2.754e-03
6.459e-01,3.011e-03
6.493e-01,3.288e-03
6.526e-01,3.588e-03
6.560e-01,3.911e-03
6.593e-01,4.259e-03
6.627e-01,4.634e-03
6.660e-01,5.037e-03
6.694e-01,5.470e-03
6.728e-01,5.934e-03
6.761e-01,6.433e-03
6.795e-01,6.967e-03
6.828e-01,7.539e-03
6.862e-01,8.152e-03
6.895e-01,8.807e-03
6.929e-01,9.509e-03
6.962e-01,1.026e-02
6.996e-01,1.106e-02
7.030e-01,1.191e-02
7.063e-01,1.283e-02
7.097e-01,1.381e-02
7.130e-01,1.485e-02
7.164e-01,1.596e-02
7.197e-01,1.715e-02
7.231e-01,1.842e-02
7.265e-01,1.978e-02
7.298e-01,2.123e-02
7.332e-01,2.278e-02
7.365e-01,2.444e-02
7.399e-01,2.622e-02
7.432e-01,2.812e-02
7.466e-01,3.017e-02
7.500e-01,3.236e-02
7.533e-01,3.473e-02
7.567e-01,3.727e-02
7.600e-01,4.001e-02
7.634e-01,4.297e-02
7.667e-01,4.617e-02
7.701e-01,4.964e-02
7.734e-01,5.340e-02
7.768e-01,5.749e-02
7.802e-01,6.194e-02
7.835e-01,6.679e-02
7.869e-01,7.210e-02
7.902e-01,7.790e-02
7.936e-01,8.428e-02
7.969e-01,9.128e-02
8.003e-01,9.899e-02
8.037e-01,1.075e-01
8.070e-01,1.169e-01
8.104e-01,1.273e-01
8.137e-01,1.389e-01
8.171e-01,1.517e-01
8.204e-01,1.660e-01
8.238e-01,1.819e-01
8.271e-01,1.997e-01
8.305e-01,2.196e-01
8.339e-01,2.419e-01
8.372e-01,2.669e-01
8.406e-01,2.950e-01
8.439e-01,3.266e-01
8.473e-01,3.623e-01
8.506e-01,4.025e-01
8.540e-01,4.481e-01
8.574e-01,4.996e-01
8.607e-01,5.582e-01
8.641e-01,6.247e-01
8.674e-01,7.006e-01
8.708e-01,7.873e-01
8.741e-01,8.865e-01
8.775e-01,1.000e+00
8.808e-01,1.132e+00
8.842e-01,1.284e+00
8.876e-01,1.460e+00
8.909e-01,1.665e+00
8.943e-01,1.905e+00
8.976e-01,2.186e+00
9.010e-01,2.519e+00
9.043e-01,2.914e+00
9.077e-01,3.384e+00
9.111e-01,3.946e+00
9.144e-01,4.619e+00
9.178e-01,5.427e+00
9.211e-01,6.396e+00
9.245e-01,7.551e+00
9.278e-01,8.917e+00
9.312e-01,1.051e+01
9.346e-01,1.233e+01
9.379e-01,1.434e+01
9.413e-01,1.647e+01
9.446e-01,1.858e+01
9.480e-01,2.046e+01
9.513e-01,2.185e+01
9.547e-01,2.246e+01
9.580e-01,2.202e+01
9.614e-01,2.037e+01
9.648e-01,1.756e+01
