transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,0.000e+00
3.250e-02,0.000e+00
3.750e-02,0.000e+00
4.250e-02,0.000e+00
4.750e-02,0.000e+00
5.250e-02,0.000e+00
5.750e-02,0.000e+00
6.250e-02,0.000e+00
6.750e-02,0.000e+00
7.250e-02,0.000e+00
7.750e-02,0.000e+00
8.250e-02,0.000e+00
8.750e-02,0.000e+00
9.250e-02,0.000e+00
9.750e-02,0.000e+00
1.025e-01,0.000e+00
1.075e-01,0.000e+00
1.125e-01,0.000e+00
1.175e-01,0.000e+00
1.225e-01,2.000e-03
1.275e-01,2.000e-03
1.325e-01,6.000e-03
1.375e-01,0.000e+00
1.425e-01,2.000e-03
1.475e-01,4.000e-03
1.525e-01,6.000e-03
1.575e-01,4.000e-03
1.625e-01,4.000e-03
1.675e-01,0.000e+00
1.725e-01,1.000e-02
1.775e-01,2.000e-03
1.825e-01,6.000e-03
1.875e-01,6.000e-03
1.925e-01,2.000e-03
1.975e-01,6.000e-03
2.025e-01,1.200e-02
2.075e-01,1.600e-02
2.125e-01,1.000e-02
2.175e-01,1.200e-02
2.225e-01,1.600e-02
2.275e-01,2.000e-02
2.325e-01,2.200e-02
2.375e-01,3.600e-02
2.425e-01,3.200e-02
2.475e-01,3.600e-02
2.525e-01,4.200e-02
2.575e-01,6.000e-02
2.625e-01,5.200e-02
2.675e-01,5.200e-02
2.725e-01,5.200e-02
2.775e-01,6.200e-02
2.825e-01,8.400e-02
2.875e-01,7.200e-02
2.925e-01,8.000e-02
2.975e-01,9.800e-02
3.025e-01,8.600e-02
3.075e-01,1.060e-01
3.125e-01,1.120e-01
3.175e-01,1.480e-01
3.225e-01,1.340e-01
3.275e-01,1.800e-01
3.325e-01,1.540e-01
3.375e-01,2.140e-01
3.425e-01,2.020e-01
3.475e-01,2.060e-01
3.525e-01,2.420e-01
3.575e-01,1.980e-01
3.625e-01,2.740e-01
3.675e-01,2.820e-01
3.725e-01,3.000e-01
3.775e-01,3.040e-01
3.825e-01,3.180e-01
3.875e-01,3.520e-01
3.925e-01,3.680e-01
3.975e-01,4.480e-01
4.025e-01,3.880e-01
4.075e-01,4.640e-01
4.125e-01,4.920e-01
4.175e-01,5.680e-01
4.225e-01,6.040e-01
4.275e-01,5.780e-01
4.325e-01,6.260e-01
4.375e-01,7.020e-01
4.425e-01,7.240e-01
4.475e-01,7.220e-01
4.525e-01,8.240e-01
4.575e-01,8.900e-01
4.625e-01,8.840e-01
4.675e-01,1.036e+00
4.725e-01,9.720e-01
4.775e-01,1.064e+00
4.825e-01,1.098e+00
4.875e-01,1.178e+00
4.925e-01,1.322e+00
4.975e-01,1.434e+00
5.025e-01,1.420e+00
5.075e-01,1.450e+00
5.125e-01,1.548e+00
5.175e-01,1.606e+00
5.225e-01,1.822e+00
5.275e-01,1.822e+00
5.325e-01,1.762e+00
5.375e-01,1.900e+00
5.425e-01,1.990e+00
5.475e-01,2.332e+00
5.525e-01,2.208e+00
5.575e-01,2.170e+00
5.625e-01,2.324e+00
5.675e-01,2.464e+00
5.725e-01,2.510e+00
5.775e-01,2.824e+00
5.825e-01,2.834e+00
5.875e-01,2.914e+00
5.925e-01,2.870e+00
5.975e-01,3.164e+00
6.025e-01,2.930e+00
6.075e-01,3.204e+00
6.125e-01,3.010e+00
6.175e-01,3.354e+00
6.225e-01,3.370e+00
6.275e-01,3.366e+00
6.325e-01,3.394e+00
6.375e-01,3.540e+00
6.425e-01,3.634e+00
6.475e-01,3.552e+00
6.525e-01,3.646e+00
6.575e-01,3.532e+00
6.625e-01,3.790e+00
6.675e-01,3.644e+00
6.725e-01,3.692e+00
6.775e-01,3.574e+00
6.825e-01,3.786e+00
6.875e-01,3.606e+00
6.925e-01,3.546e+00
6.975e-01,3.354e+00
7.025e-01,3.472e+00
7.075e-01,3.386e+00
7.125e-01,3.428e+00
7.175e-01,3.348e+00
7.225e-01,3.250e+00
7.275e-01,3.082e+00
7.325e-01,2.998e+00
7.375e-01,2.956e+00
7.425e-01,2.904e+00
7.475e-01,2.798e+00
7.525e-01,2.576e+00
7.575e-01,2.428e+00
7.625e-01,2.432e+00
7.675e-01,2.346e+00
7.725e-01,2.286e+00
7.775e-01,2.100e+00
7.825e-01,1.934e+00
7.875e-01,1.830e+00
7.925e-01,1.630e+00
7.975e-01,1.508e+00
8.025e-01,1.442e+00
8.075e-01,1.330e+00
8.125e-01,1.188e+00
8.175e-01,1.018e+00
8.225e-01,9.880e-01
8.275e-01,8.620e-01
8.325e-01,7.420e-01
8.375e-01,6.600e-01
8.425e-01,6.500e-01
8.475e-01,5.340e-01
8.525e-01,4.440e-01
8.575e-01,3.480e-01
8.625e-01,3.520e-01
8.675e-01,2.440e-01
8.725e-01,1.900e-01
8.775e-01,2.120e-01
8.825e-01,1.380e-01
8.875e-01,9.600e-02
8.925e-01,1.080e-01
8.975e-01,6.000e-02
9.025e-01,3.000e-02
9.075e-01,3.600e-02
9.125e-01,3.000e-02
9.175e-01,8.000e-03
9.225e-01,6.000e-03
9.275e-01,2.000e-03
9.325e-01,4.000e-03
9.375e-01,2.000e-03
9.425e-01,0.000e+00
9.475e-01,0.000e+00
9.525e-01,0.000e+00
9.575e-01,0.000e+00
9.625e-01,0.000e+00
9.675e-01,0.000e+00
9.725e-01,0.000e+00
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
