transmittance,probability_density
2.611e-01,8.512e-22
2.648e-01,3.060e-21
2.685e-01,1.061e-20
2.722e-01,3.552e-20
2.759e-01,1.150e-19
2.796e-01,3.603e-19
2.833e-01,1.094e-18
2.870e-01,3.223e-18
2.908e-01,9.216e-18
2.945e-01,2.562e-17
2.982e-01,6.926e-17
3.019e-01,1.823e-16
3.056e-01,4.678e-16
3.093e-01,1.170e-15
3.130e-01,2.857e-15
3.167e-01,6.812e-15
3.204e-01,1.588e-14
3.241e-01,3.619e-14
3.278e-01,8.072e-14
3.315e-01,1.763e-13
3.352e-01,3.774e-13
3.389e-01,7.920e-13
3.426e-01,1.630e-12
3.463e-01,3.294e-12
3.500e-01,6.536e-12
3.537e-01,1.274e-11
3.574e-01,2.441e-11
3.611e-01,4.600e-11
3.648e-01,8.528e-11
3.685e-01,1.556e-10
3.722e-01,2.796e-10
3.759e-01,4.948e-10
3.796e-01,8.631e-10
3.833e-01,1.484e-09
3.870e-01,2.516e-09
3.908e-01,4.209e-09
3.945e-01,6.948e-09
3.982e-01,1.132e-08
4.019e-01,1.822e-08
4.056e-01,2.896e-08
4.093e-01,4.549e-08
4.130e-01,7.061e-08
4.167e-01,1.084e-07
4.204e-01,1.644e-07
4.241e-01,2.469e-07
4.278e-01,3.666e-07
4.315e-01,5.389e-07
4.352e-01,7.841e-07
4.389e-01,1.130e-06
4.426e-01,1.612e-06
4.463e-01,2.277e-06
4.500e-01,3.189e-06
4.537e-01,4.424e-06
4.574e-01,6.084e-06
4.611e-01,8.295e-06
4.648e-01,1.121e-05
4.685e-01,1.503e-05
4.722e-01,1.999e-05
4.759e-01,2.637e-05
4.796e-01,3.451e-05
4.833e-01,4.483e-05
4.870e-01,5.781e-05
4.907e-01,7.399e-05
4.945e-01,9.404e-05
4.982e-01,1.187e-04
5.019e-01,1.488e-04
5.056e-01,1.852e-04
5.093e-01,2.291e-04
5.130e-01,2.815e-04
5.167e-01,3.439e-04
5.204e-01,4.174e-04
5.241e-01,5.036e-04
5.278e-01,6.041e-04
5.315e-01,7.204e-04
5.352e-01,8.543e-04
5.389e-01,1.008e-03
5.426e-01,1.182e-03
5.463e-01,1.379e-03
5.500e-01,1.601e-03
5.537e-01,1.850e-03
5.574e-01,2.126e-03
5.611e-01,2.433e-03
5.648e-01,2.770e-03
5.685e-01,3.141e-03
5.722e-01,3.545e-03
5.759e-01,3.984e-03
5.796e-01,4.458e-03
5.833e-01,4.969e-03
5.870e-01,5.517e-03
5.907e-01,6.102e-03
5.945e-01,6.725e-03
5.982e-01,7.385e-03
6.019e-01,8.083e-03
6.056e-01,8.817e-03
6.093e-01,9.588e-03
6.130e-01,1.040e-02
6.167e-01,1.124e-02
6.204e-01,1.212e-02
6.241e-01,1.303e-02
6.278e-01,1.399e-02
6.315e-01,1.497e-02
6.352e-01,1.600e-02
6.389e-01,1.706e-02
6.426e-01,1.816e-02
6.463e-01,1.930e-02
6.500e-01,2.048e-02
6.537e-01,2.171e-02
6.574e-01,2.299e-02
6.611e-01,2.432e-02
6.648e-01,2.570e-02
6.685e-01,2.715e-02
6.722e-01,2.867e-02
6.759e-01,3.027e-02
6.796e-01,3.195e-02
6.833e-01,3.372e-02
6.870e-01,3.560e-02
6.907e-01,3.759e-02
6.945e-01,3.971e-02
6.982e-01,4.197e-02
7.019e-01,4.439e-02
7.056e-01,4.698e-02
7.093e-01,4.977e-02
7.130e-01,5.277e-02
7.167e-01,5.602e-02
7.204e-01,5.953e-02
7.241e-01,6.335e-02
7.278e-01,6.750e-02
7.315e-01,7.203e-02
7.352e-01,7.698e-02
7.389e-01,8.240e-02
7.426e-01,8.834e-02
7.463e-01,9.488e-02
7.500e-01,1.021e-01
7.537e-01,1.100e-01
7.574e-01,1.188e-01
7.611e-01,1.285e-01
7.648e-01,1.392e-01
7.685e-01,1.511e-01
7.722e-01,1.643e-01
7.759e-01,1.789e-01
7.796e-01,1.952e-01
7.833e-01,2.132e-01
7.870e-01,2.333e-01
7.907e-01,2.557e-01
7.944e-01,2.805e-01
7.982e-01,3.082e-01
8.019e-01,3.390e-01
8.056e-01,3.732e-01
8.093e-01,4.112e-01
8.130e-01,4.535e-01
8.167e-01,5.004e-01
8.204e-01,5.526e-01
8.241e-01,6.106e-01
8.278e-01,6.749e-01
8.315e-01,7.465e-01
8.352e-01,8.260e-01
8.389e-01,9.145e-01
8.426e-01,1.013e+00
8.463e-01,1.123e+00
8.500e-01,1.246e+00
8.537e-01,1.384e+00
8.574e-01,1.540e+00
8.611e-01,1.715e+00
8.648e-01,1.915e+00
8.685e-01,2.141e+00
8.722e-01,2.401e+00
8.759e-01,2.699e+00
8.796e-01,3.043e+00
8.833e-01,3.440e+00
8.870e-01,3.901e+00
8.907e-01,4.436e+00
8.944e-01,5.057e+00
8.981e-01,5.772e+00
9.019e-01,6.591e+00
9.056e-01,7.514e+00
9.093e-01,8.535e+00
9.130e-01,9.632e+00
9.167e-01,1.077e+01
9.204e-01,1.189e+01
9.241e-01,1.292e+01
9.278e-01,1.378e+01
9.315e-01,1.438e+01
9.352e-01,1.466e+01
9.389e-01,1.456e+01
9.426e-01,1.407e+01
9.463e-01,1.322e+01
9.500e-01,1.206e+01
9.537e-01,1.069e+01
9.574e-01,9.198e+00
9.611e-01,7.693e+00
9.648e-01,6.259e+00
9.685e-01,4.959e+00
9.722e-01,3.834e+00
9.759e-01,2.897e+00
9.796e-01,2.146e+00
9.833e-01,1.562e+00
9.870e-01,1.121e+00
9.907e-01,7.957e-01
9.944e-01,5.607e-01
9.981e-01,3.935e-01
