transmittance,probability_density
1.824e-03,3.094e-03
5.471e-03,3.162e-02
9.118e-03,1.005e-01
1.276e-02,2.248e-01
1.641e-02,4.093e-01
2.006e-02,6.555e-01
2.371e-02,9.607e-01
2.735e-02,1.318e+00
3.100e-02,1.717e+00
3.465e-02,2.144e+00
3.829e-02,2.588e+00
4.194e-02,3.035e+00
4.559e-02,3.473e+00
4.924e-02,3.892e+00
5.288e-02,4.285e+00
5.653e-02,4.646e+00
6.018e-02,4.970e+00
6.382e-02,5.255e+00
6.747e-02,5.499e+00
7.112e-02,5.703e+00
7.476e-02,5.868e+00
7.841e-02,5.995e+00
8.206e-02,6.086e+00
8.571e-02,6.144e+00
8.935e-02,6.172e+00
9.300e-02,6.171e+00
9.665e-02,6.146e+00
1.003e-01,6.098e+00
1.039e-01,6.030e+00
1.076e-01,5.946e+00
1.112e-01,5.846e+00
1.149e-01,5.734e+00
1.185e-01,5.612e+00
1.222e-01,5.481e+00
1.258e-01,5.343e+00
1.295e-01,5.200e+00
1.331e-01,5.053e+00
1.368e-01,4.902e+00
1.404e-01,4.751e+00
1.441e-01,4.598e+00
1.477e-01,4.445e+00
1.514e-01,4.294e+00
1.550e-01,4.143e+00
1.586e-01,3.995e+00
1.623e-01,3.849e+00
1.659e-01,3.705e+00
1.696e-01,3.565e+00
1.732e-01,3.428e+00
1.769e-01,3.294e+00
1.805e-01,3.164e+00
1.842e-01,3.038e+00
1.878e-01,2.916e+00
1.915e-01,2.797e+00
1.951e-01,2.682e+00
1.988e-01,2.572e+00
2.024e-01,2.465e+00
2.061e-01,2.362e+00
2.097e-01,2.262e+00
2.134e-01,2.167e+00
2.170e-01,2.075e+00
2.206e-01,1.987e+00
2.243e-01,1.902e+00
2.279e-01,1.820e+00
2.316e-01,1.742e+00
2.352e-01,1.667e+00
2.389e-01,1.595e+00
2.425e-01,1.526e+00
2.462e-01,1.460e+00
2.498e-01,1.397e+00
2.535e-01,1.336e+00
2.571e-01,1.278e+00
2.608e-01,1.223e+00
2.644e-01,1.170e+00
2.681e-01,1.119e+00
2.717e-01,1.070e+00
2.754e-01,1.024e+00
2.790e-01,9.794e-01
2.826e-01,9.369e-01
2.863e-01,8.963e-01
2.899e-01,8.574e-01
2.936e-01,8.203e-01
2.972e-01,7.849e-01
3.009e-01,7.510e-01
3.045e-01,7.186e-01
3.082e-01,6.876e-01
3.118e-01,6.581e-01
3.155e-01,6.298e-01
3.191e-01,6.028e-01
3.228e-01,5.770e-01
3.264e-01,5.523e-01
3.301e-01,5.287e-01
3.337e-01,5.062e-01
3.374e-01,4.847e-01
3.410e-01,4.641e-01
3.446e-01,4.445e-01
3.483e-01,4.257e-01
3.519e-01,4.077e-01
3.556e-01,3.906e-01
3.592e-01,3.741e-01
3.629e-01,3.585e-01
3.665e-01,3.435e-01
3.702e-01,3.291e-01
3.738e-01,3.154e-01
3.775e-01,3.023e-01
3.811e-01,2.898e-01
3.848e-01,2.778e-01
3.884e-01,2.664e-01
3.921e-01,2.554e-01
3.957e-01,2.449e-01
3.994e-01,2.349e-01
4.030e-01,2.253e-01
4.066e-01,2.161e-01
4.103e-01,2.073e-01
4.139e-01,1.989e-01
4.176e-01,1.909e-01
4.212e-01,1.832e-01
4.249e-01,1.758e-01
4.285e-01,1.687e-01
4.322e-01,1.620e-01
4.358e-01,1.555e-01
4.395e-01,1.493e-01
4.431e-01,1.434e-01
4.468e-01,1.377e-01
4.504e-01,1.323e-01
4.541e-01,1.270e-01
4.577e-01,1.220e-01
4.614e-01,1.173e-01
4.650e-01,1.127e-01
4.686e-01,1.083e-01
4.723e-01,1.041e-01
4.759e-01,1.000e-01
4.796e-01,9.615e-02
4.832e-01,9.244e-02
4.869e-01,8.888e-02
4.905e-01,8.547e-02
4.942e-01,8.220e-02
4.978e-01,7.906e-02
5.015e-01,7.605e-02
5.051e-01,7.316e-02
5.088e-01,7.038e-02
5.124e-01,6.772e-02
5.161e-01,6.517e-02
5.197e-01,6.272e-02
5.234e-01,6.037e-02
5.270e-01,5.811e-02
5.306e-01,5.594e-02
5.343e-01,5.386e-02
5.379e-01,5.186e-02
5.416e-01,4.994e-02
5.452e-01,4.810e-02
5.489e-01,4.633e-02
5.525e-01,4.463e-02
5.562e-01,4.300e-02
5.598e-01,4.143e-02
5.635e-01,3.992e-02
5.671e-01,3.847e-02
5.708e-01,3.707e-02
5.744e-01,3.573e-02
5.781e-01,3.444e-02
5.817e-01,3.321e-02
5.854e-01,3.202e-02
5.890e-01,3.087e-02
5.926e-01,2.977e-02
5.963e-01,2.871e-02
5.999e-01,2.769e-02
6.036e-01,2.671e-02
6.072e-01,2.577e-02
6.109e-01,2.486e-02
6.145e-01,2.399e-02
6.182e-01,2.315e-02
6.218e-01,2.234e-02
6.255e-01,2.156e-02
6.291e-01,2.081e-02
6.328e-01,2.009e-02
6.364e-01,1.939e-02
6.401e-01,1.872e-02
6.437e-01,1.808e-02
6.474e-01,1.746e-02
6.510e-01,1.686e-02
6.546e-01,1.628e-02
6.583e-01,1.573e-02
6.619e-01,1.519e-02
6.656e-01,1.468e-02
6.692e-01,1.418e-02
6.729e-01,1.370e-02
6.765e-01,1.324e-02
6.802e-01,1.280e-02
6.838e-01,1.237e-02
6.875e-01,1.196e-02
6.911e-01,1.156e-02
6.948e-01,1.117e-02
6.984e-01,1.080e-02
7.021e-01,1.045e-02
7.057e-01,1.010e-02
7.094e-01,9.768e-03
7.130e-01,9.447e-03
7.166e-01,9.138e-03
7.203e-01,8.839e-03
7.239e-01,8.551e-03
7.276e-01,8.273e-03
