transmittance,probability_density
3.855e-01,0.000e+00
3.886e-01,0.000e+00
3.917e-01,0.000e+00
3.948e-01,0.000e+00
3.979e-01,0.000e+00
4.009e-01,0.000e+00
4.040e-01,0.000e+00
4.071e-01,0.000e+00
4.102e-01,0.000e+00
4.133e-01,0.000e+00
4.163e-01,0.000e+00
4.194e-01,0.000e+00
4.225e-01,3.247e-03
4.256e-01,3.247e-03
4.287e-01,0.000e+00
4.317e-01,0.000e+00
4.348e-01,0.000e+00
4.379e-01,0.000e+00
4.410e-01,0.000e+00
4.441e-01,0.000e+00
4.471e-01,0.000e+00
4.502e-01,0.000e+00
4.533e-01,0.000e+00
4.564e-01,0.000e+00
4.595e-01,0.000e+00
4.625e-01,0.000e+00
4.656e-01,0.000e+00
4.687e-01,0.000e+00
4.718e-01,3.247e-03
4.749e-01,0.000e+00
4.779e-01,0.000e+00
4.810e-01,3.247e-03
4.841e-01,0.000e+00
4.872e-01,0.000e+00
4.903e-01,3.247e-03
4.933e-01,0.000e+00
4.964e-01,0.000e+00
4.995e-01,0.000e+00
5.026e-01,0.000e+00
5.057e-01,0.000e+00
5.087e-01,0.000e+00
5.118e-01,0.000e+00
5.149e-01,0.000e+00
5.180e-01,0.000e+00
5.211e-01,0.000e+00
5.241e-01,0.000e+00
5.272e-01,0.000e+00
5.303e-01,6.494e-03
5.334e-01,3.247e-03
5.365e-01,3.247e-03
5.395e-01,3.247e-03
5.426e-01,3.247e-03
5.457e-01,3.247e-03
5.488e-01,6.494e-03
5.519e-01,3.247e-03
5.549e-01,6.494e-03
5.580e-01,6.494e-03
5.611e-01,3.247e-03
5.642e-01,9.740e-03
5.673e-01,3.247e-03
5.703e-01,3.247e-03
5.734e-01,3.247e-03
5.765e-01,3.247e-03
5.796e-01,9.740e-03
5.827e-01,9.740e-03
5.857e-01,0.000e+00
5.888e-01,6.494e-03
5.919e-01,1.299e-02
5.950e-01,6.494e-03
5.981e-01,1.948e-02
6.011e-01,6.494e-03
6.042e-01,1.299e-02
6.073e-01,1.623e-02
6.104e-01,1.948e-02
6.135e-01,1.623e-02
6.165e-01,1.948e-02
6.196e-01,3.247e-02
6.227e-01,2.273e-02
6.258e-01,1.948e-02
6.289e-01,2.273e-02
6.319e-01,1.299e-02
6.350e-01,3.247e-02
6.381e-01,3.571e-02
6.412e-01,2.922e-02
6.443e-01,3.247e-02
6.473e-01,4.221e-02
6.504e-01,2.597e-02
6.535e-01,4.221e-02
6.566e-01,4.545e-02
6.597e-01,8.117e-02
6.627e-01,5.519e-02
6.658e-01,5.844e-02
6.689e-01,8.117e-02
6.720e-01,7.468e-02
6.751e-01,1.006e-01
6.781e-01,7.143e-02
6.812e-01,1.071e-01
6.843e-01,1.266e-01
6.874e-01,9.091e-02
6.905e-01,1.006e-01
6.935e-01,1.136e-01
6.966e-01,1.494e-01
