transmittance,probability_density
2.500e-03,1.076e-09
7.500e-03,2.244e-08
1.250e-02,9.924e-08
1.750e-02,2.725e-07
2.250e-02,5.898e-07
2.750e-02,1.106e-06
3.250e-02,1.882e-06
3.750e-02,2.987e-06
4.250e-02,4.499e-06
4.750e-02,6.502e-06
5.250e-02,9.091e-06
5.750e-02,1.237e-05
6.250e-02,1.644e-05
6.750e-02,2.144e-05
7.250e-02,2.749e-05
7.750e-02,3.473e-05
8.250e-02,4.333e-05
8.750e-02,5.344e-05
9.250e-02,6.524e-05
9.750e-02,7.892e-05
1.025e-01,9.469e-05
1.075e-01,1.128e-04
1.125e-01,1.334e-04
1.175e-01,1.568e-04
1.225e-01,1.832e-04
1.275e-01,2.130e-04
1.325e-01,2.464e-04
1.375e-01,2.837e-04
1.425e-01,3.253e-04
1.475e-01,3.716e-04
1.525e-01,4.228e-04
1.575e-01,4.795e-04
1.625e-01,5.419e-04
1.675e-01,6.107e-04
1.725e-01,6.862e-04
1.775e-01,7.689e-04
1.825e-01,8.593e-04
1.875e-01,9.581e-04
1.925e-01,1.066e-03
1.975e-01,1.183e-03
2.025e-01,1.310e-03
2.075e-01,1.448e-03
2.125e-01,1.598e-03
2.175e-01,1.760e-03
2.225e-01,1.934e-03
2.275e-01,2.123e-03
2.325e-01,2.326e-03
2.375e-01,2.546e-03
2.425e-01,2.781e-03
2.475e-01,3.034e-03
2.525e-01,3.306e-03
2.575e-01,3.598e-03
2.625e-01,3.910e-03
2.675e-01,4.245e-03
2.725e-01,4.603e-03
2.775e-01,4.985e-03
2.825e-01,5.394e-03
2.875e-01,5.830e-03
2.925e-01,6.295e-03
2.975e-01,6.790e-03
3.025e-01,7.318e-03
3.075e-01,7.880e-03
3.125e-01,8.478e-03
3.175e-01,9.114e-03
3.225e-01,9.789e-03
3.275e-01,1.051e-02
3.325e-01,1.127e-02
3.375e-01,1.208e-02
3.425e-01,1.293e-02
3.475e-01,1.384e-02
3.525e-01,1.480e-02
3.575e-01,1.582e-02
3.625e-01,1.690e-02
3.675e-01,1.804e-02
3.725e-01,1.924e-02
3.775e-01,2.051e-02
3.825e-01,2.186e-02
3.875e-01,2.328e-02
3.925e-01,2.479e-02
