transmittance,probability_density
2.500e-03,1.789e-31
7.500e-03,1.915e-25
1.250e-02,1.215e-22
1.750e-02,8.512e-21
2.250e-02,2.032e-19
2.750e-02,2.557e-18
3.250e-02,2.103e-17
3.750e-02,1.278e-16
4.250e-02,6.191e-16
4.750e-02,2.515e-15
5.250e-02,8.872e-15
5.750e-02,2.789e-14
6.250e-02,7.967e-14
6.750e-02,2.098e-13
7.250e-02,5.154e-13
7.750e-02,1.192e-12
8.250e-02,2.615e-12
8.750e-02,5.477e-12
9.250e-02,1.100e-11
9.750e-02,2.131e-11
1.025e-01,3.991e-11
1.075e-01,7.252e-11
1.125e-01,1.282e-10
1.175e-01,2.211e-10
1.225e-01,3.727e-10
1.275e-01,6.150e-10
1.325e-01,9.952e-10
1.375e-01,1.582e-09
1.425e-01,2.472e-09
1.475e-01,3.804e-09
1.525e-01,5.769e-09
1.575e-01,8.630e-09
1.625e-01,1.275e-08
1.675e-01,1.860e-08
1.725e-01,2.684e-08
1.775e-01,3.832e-08
1.825e-01,5.417e-08
1.875e-01,7.583e-08
1.925e-01,1.052e-07
1.975e-01,1.447e-07
2.025e-01,1.975e-07
2.075e-01,2.674e-07
2.125e-01,3.593e-07
2.175e-01,4.795e-07
2.225e-01,6.357e-07
2.275e-01,8.373e-07
2.325e-01,1.096e-06
2.375e-01,1.426e-06
2.425e-01,1.846e-06
2.475e-01,2.376e-06
2.525e-01,3.042e-06
2.575e-01,3.875e-06
2.625e-01,4.913e-06
2.675e-01,6.201e-06
2.725e-01,7.791e-06
2.775e-01,9.747e-06
2.825e-01,1.214e-05
2.875e-01,1.507e-05
2.925e-01,1.863e-05
2.975e-01,2.294e-05
3.025e-01,2.815e-05
3.075e-01,3.442e-05
3.125e-01,4.195e-05
3.175e-01,5.095e-05
3.225e-01,6.169e-05
3.275e-01,7.447e-05
3.325e-01,8.962e-05
3.375e-01,1.075e-04
3.425e-01,1.287e-04
3.475e-01,1.536e-04
3.525e-01,1.828e-04
3.575e-01,2.169e-04
3.625e-01,2.569e-04
3.675e-01,3.034e-04
3.725e-01,3.575e-04
3.775e-01,4.203e-04
3.825e-01,4.929e-04
3.875e-01,5.769e-04
3.925e-01,6.737e-04
3.975e-01,7.851e-04
4.025e-01,9.130e-04
4.075e-01,1.060e-03
4.125e-01,1.227e-03
4.175e-01,1.419e-03
4.225e-01,1.637e-03
4.275e-01,1.886e-03
4.325e-01,2.168e-03
4.375e-01,2.489e-03
4.425e-01,2.851e-03
4.475e-01,3.262e-03
4.525e-01,3.725e-03
4.575e-01,4.247e-03
4.625e-01,4.834e-03
4.675e-01,5.494e-03
4.725e-01,6.235e-03
4.775e-01,7.065e-03
4.825e-01,7.994e-03
4.875e-01,9.031e-03
4.925e-01,1.019e-02
4.975e-01,1.148e-02
5.025e-01,1.292e-02
5.075e-01,1.452e-02
5.125e-01,1.629e-02
5.175e-01,1.826e-02
5.225e-01,2.043e-02
5.275e-01,2.284e-02
5.325e-01,2.550e-02
5.375e-01,2.844e-02
5.425e-01,3.168e-02
5.475e-01,3.525e-02
5.525e-01,3.917e-02
5.575e-01,4.348e-02
5.625e-01,4.820e-02
5.675e-01,5.338e-02
5.725e-01,5.906e-02
5.775e-01,6.527e-02
5.825e-01,7.205e-02
5.875e-01,7.945e-02
5.925e-01,8.753e-02
5.975e-01,9.632e-02
6.025e-01,1.059e-01
6.075e-01,1.163e-01
6.125e-01,1.276e-01
6.175e-01,1.399e-01
6.225e-01,1.532e-01
6.275e-01,1.675e-01
6.325e-01,1.831e-01
6.375e-01,1.999e-01
6.425e-01,2.181e-01
6.475e-01,2.377e-01
6.525e-01,2.588e-01
6.575e-01,2.816e-01
6.625e-01,3.060e-01
6.675e-01,3.323e-01
6.725e-01,3.605e-01
6.775e-01,3.908e-01
6.825e-01,4.232e-01
6.875e-01,4.579e-01
6.925e-01,4.950e-01
6.975e-01,5.346e-01
7.025e-01,5.769e-01
7.075e-01,6.220e-01
7.125e-01,6.701e-01
7.175e-01,7.212e-01
7.225e-01,7.755e-01
7.275e-01,8.332e-01
7.325e-01,8.944e-01
7.375e-01,9.592e-01
7.425e-01,1.028e+00
7.475e-01,1.100e+00
7.525e-01,1.177e+00
7.575e-01,1.258e+00
7.625e-01,1.343e+00
7.675e-01,1.433e+00
7.725e-01,1.527e+00
7.775e-01,1.625e+00
7.825e-01,1.729e+00
7.875e-01,1.837e+00
7.925e-01,1.951e+00
7.975e-01,2.069e+00
8.025e-01,2.192e+00
8.075e-01,2.320e+00
8.125e-01,2.453e+00
8.175e-01,2.590e+00
8.225e-01,2.733e+00
8.275e-01,2.880e+00
8.325e-01,3.031e+00
8.375e-01,3.186e+00
8.425e-01,3.345e+00
8.475e-01,3.508e+00
8.525e-01,3.673e+00
8.575e-01,3.841e+00
8.625e-01,4.011e+00
8.675e-01,4.181e+00
8.725e-01,4.352e+00
8.775e-01,4.522e+00
8.825e-01,4.690e+00
8.875e-01,4.854e+00
8.925e-01,5.014e+00
8.975e-01,5.168e+00
9.025e-01,5.314e+00
9.075e-01,5.449e+00
9.125e-01,5.572e+00
9.175e-01,5.680e+00
9.225e-01,5.770e+00
9.275e-01,5.838e+00
9.325e-01,5.881e+00
9.375e-01,5.894e+00
9.425e-01,5.874e+00
9.475e-01,5.814e+00
9.525e-01,5.708e+00
9.575e-01,5.549e+00
9.625e-01,5.330e+00
9.675e-01,5.040e+00
9.725e-01,4.668e+00
9.775e-01,4.201e+00
9.825e-01,3.620e+00
9.875e-01,2.902e+00
9.925e-01,2.005e+00
9.975e-01,8.412e-01
