transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,1.482e-323
3.250e-02,1.440e-307
3.750e-02,7.460e-294
4.250e-02,7.321e-282
4.750e-02,3.295e-271
5.250e-02,1.069e-237
5.750e-02,4.423e-180
6.250e-02,3.986e-133
6.750e-02,3.012e-95
7.250e-02,3.346e-65
7.750e-02,5.387e-42
8.250e-02,8.050e-25
8.750e-02,5.142e-13
9.250e-02,5.002e-06
9.750e-02,2.157e-03
1.025e-01,1.030e-04
1.075e-01,1.101e-03
1.125e-01,6.683e-04
1.175e-01,8.037e-05
1.225e-01,2.027e-03
1.275e-01,2.525e-03
1.325e-01,1.534e-03
1.375e-01,8.073e-04
1.425e-01,5.863e-03
1.475e-01,5.289e-03
1.525e-01,2.915e-03
1.575e-01,2.843e-03
1.625e-01,3.843e-03
1.675e-01,6.339e-03
1.725e-01,2.061e-03
1.775e-01,4.033e-04
1.825e-01,3.025e-03
1.875e-01,5.642e-03
1.925e-01,3.641e-03
1.975e-01,6.667e-03
2.025e-01,5.514e-03
2.075e-01,7.689e-03
2.125e-01,1.318e-02
2.175e-01,1.167e-02
2.225e-01,1.055e-02
2.275e-01,8.547e-03
2.325e-01,7.412e-03
2.375e-01,1.088e-02
2.425e-01,1.406e-02
2.475e-01,1.446e-02
2.525e-01,1.436e-02
2.575e-01,1.227e-02
2.625e-01,1.414e-02
2.675e-01,2.123e-02
2.725e-01,2.663e-02
2.775e-01,2.336e-02
2.825e-01,1.894e-02
2.875e-01,2.068e-02
2.925e-01,2.799e-02
2.975e-01,3.172e-02
3.025e-01,3.014e-02
3.075e-01,2.903e-02
3.125e-01,3.379e-02
3.175e-01,4.177e-02
3.225e-01,4.777e-02
3.275e-01,4.762e-02
3.325e-01,4.330e-02
3.375e-01,4.194e-02
3.425e-01,4.360e-02
3.475e-01,4.751e-02
3.525e-01,5.480e-02
3.575e-01,6.378e-02
3.625e-01,7.141e-02
3.675e-01,7.972e-02
3.725e-01,8.810e-02
3.775e-01,9.038e-02
3.825e-01,8.662e-02
3.875e-01,8.384e-02
3.925e-01,8.701e-02
3.975e-01,9.565e-02
4.025e-01,1.061e-01
4.075e-01,1.147e-01
4.125e-01,1.210e-01
4.175e-01,1.271e-01
4.225e-01,1.326e-01
4.275e-01,1.373e-01
4.325e-01,1.431e-01
4.375e-01,1.507e-01
4.425e-01,1.584e-01
4.475e-01,1.659e-01
4.525e-01,1.733e-01
4.575e-01,1.791e-01
4.625e-01,1.840e-01
4.675e-01,1.897e-01
4.725e-01,1.957e-01
4.775e-01,2.011e-01
4.825e-01,2.074e-01
4.875e-01,2.163e-01
4.925e-01,2.276e-01
4.975e-01,2.399e-01
5.025e-01,2.523e-01
5.075e-01,2.631e-01
5.125e-01,2.720e-01
5.175e-01,2.813e-01
5.225e-01,2.940e-01
5.275e-01,3.105e-01
5.325e-01,3.278e-01
5.375e-01,3.438e-01
5.425e-01,3.591e-01
5.475e-01,3.741e-01
5.525e-01,3.885e-01
5.575e-01,4.026e-01
5.625e-01,4.178e-01
5.675e-01,4.340e-01
5.725e-01,4.495e-01
5.775e-01,4.637e-01
5.825e-01,4.780e-01
5.875e-01,4.940e-01
5.925e-01,5.121e-01
5.975e-01,5.317e-01
6.025e-01,5.525e-01
6.075e-01,5.746e-01
6.125e-01,5.982e-01
6.175e-01,6.230e-01
6.225e-01,6.490e-01
6.275e-01,6.770e-01
6.325e-01,7.073e-01
6.375e-01,7.396e-01
6.425e-01,7.729e-01
6.475e-01,8.062e-01
6.525e-01,8.384e-01
6.575e-01,8.688e-01
6.625e-01,8.973e-01
6.675e-01,9.247e-01
6.725e-01,9.530e-01
6.775e-01,9.844e-01
6.825e-01,1.020e+00
6.875e-01,1.060e+00
6.925e-01,1.103e+00
6.975e-01,1.148e+00
7.025e-01,1.196e+00
7.075e-01,1.247e+00
7.125e-01,1.304e+00
7.175e-01,1.365e+00
7.225e-01,1.426e+00
7.275e-01,1.485e+00
7.325e-01,1.540e+00
7.375e-01,1.592e+00
7.425e-01,1.641e+00
7.475e-01,1.692e+00
7.525e-01,1.744e+00
7.575e-01,1.802e+00
7.625e-01,1.865e+00
7.675e-01,1.937e+00
7.725e-01,2.016e+00
7.775e-01,2.101e+00
7.825e-01,2.190e+00
7.875e-01,2.282e+00
7.925e-01,2.375e+00
7.975e-01,2.470e+00
8.025e-01,2.568e+00
8.075e-01,2.668e+00
8.125e-01,2.773e+00
8.175e-01,2.881e+00
8.225e-01,2.995e+00
8.275e-01,3.114e+00
8.325e-01,3.240e+00
8.375e-01,3.374e+00
8.425e-01,3.519e+00
8.475e-01,3.675e+00
8.525e-01,3.843e+00
8.575e-01,4.022e+00
8.625e-01,4.211e+00
8.675e-01,4.412e+00
8.725e-01,4.627e+00
8.775e-01,4.859e+00
8.825e-01,5.108e+00
8.875e-01,5.375e+00
8.925e-01,5.655e+00
8.975e-01,5.938e+00
9.025e-01,6.205e+00
9.075e-01,6.428e+00
9.125e-01,6.568e+00
9.175e-01,6.576e+00
9.225e-01,6.402e+00
9.275e-01,6.000e+00
9.325e-01,5.354e+00
9.375e-01,4.487e+00
9.425e-01,3.476e+00
9.475e-01,2.441e+00
9.525e-01,1.517e+00
9.575e-01,8.082e-01
9.625e-01,3.539e-01
9.675e-01,1.200e-01
9.725e-01,2.884e-02
9.775e-01,4.262e-03
9.825e-01,3.025e-04
9.875e-01,6.247e-06
9.925e-01,1.032e-08
9.975e-01,3.482e-15
