transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,2.000e-03
2.750e-02,0.000e+00
3.250e-02,2.000e-03
3.750e-02,0.000e+00
4.250e-02,4.000e-03
4.750e-02,2.000e-03
5.250e-02,2.000e-03
5.750e-02,4.000e-03
6.250e-02,2.000e-03
6.750e-02,4.000e-03
7.250e-02,4.000e-03
7.750e-02,4.000e-03
8.250e-02,1.400e-02
8.750e-02,8.001e-03
9.250e-02,2.000e-03
9.750e-02,8.001e-03
1.025e-01,1.000e-02
1.075e-01,1.400e-02
1.125e-01,1.000e-02
1.175e-01,1.000e-02
1.225e-01,1.400e-02
1.275e-01,3.000e-02
1.325e-01,1.400e-02
1.375e-01,2.400e-02
1.425e-01,2.400e-02
1.475e-01,2.600e-02
1.525e-01,2.000e-02
1.575e-01,2.800e-02
1.625e-01,1.800e-02
1.675e-01,1.600e-02
1.725e-01,4.400e-02
1.775e-01,3.400e-02
1.825e-01,3.200e-02
1.875e-01,6.001e-02
1.925e-01,4.600e-02
1.975e-01,5.400e-02
2.025e-01,5.200e-02
2.075e-01,8.201e-02
2.125e-01,5.400e-02
2.175e-01,7.801e-02
2.225e-01,5.200e-02
2.275e-01,8.201e-02
2.325e-01,8.001e-02
2.375e-01,7.401e-02
2.425e-01,1.100e-01
2.475e-01,1.100e-01
2.525e-01,1.180e-01
2.575e-01,1.100e-01
2.625e-01,1.240e-01
2.675e-01,1.520e-01
2.725e-01,1.600e-01
2.775e-01,1.540e-01
2.825e-01,1.560e-01
2.875e-01,1.640e-01
2.925e-01,1.780e-01
2.975e-01,1.900e-01
3.025e-01,1.620e-01
3.075e-01,2.060e-01
3.125e-01,2.200e-01
3.175e-01,1.780e-01
3.225e-01,2.560e-01
3.275e-01,2.060e-01
3.325e-01,2.240e-01
3.375e-01,2.520e-01
3.425e-01,2.720e-01
3.475e-01,2.460e-01
3.525e-01,3.460e-01
3.575e-01,3.000e-01
3.625e-01,3.240e-01
3.675e-01,3.060e-01
3.725e-01,3.500e-01
3.775e-01,3.400e-01
3.825e-01,3.840e-01
3.875e-01,3.760e-01
3.925e-01,4.160e-01
3.975e-01,4.380e-01
4.025e-01,3.920e-01
4.075e-01,4.500e-01
4.125e-01,4.760e-01
4.175e-01,4.340e-01
4.225e-01,4.640e-01
4.275e-01,5.500e-01
4.325e-01,5.260e-01
4.375e-01,6.601e-01
4.425e-01,6.481e-01
4.475e-01,6.901e-01
4.525e-01,6.621e-01
4.575e-01,6.601e-01
4.625e-01,7.141e-01
4.675e-01,7.381e-01
4.725e-01,7.601e-01
4.775e-01,8.481e-01
4.825e-01,9.181e-01
4.875e-01,8.281e-01
4.925e-01,9.581e-01
4.975e-01,9.761e-01
5.025e-01,9.661e-01
5.075e-01,1.050e+00
5.125e-01,1.046e+00
5.175e-01,1.078e+00
5.225e-01,1.122e+00
5.275e-01,1.146e+00
5.325e-01,1.212e+00
5.375e-01,1.152e+00
5.425e-01,1.232e+00
5.475e-01,1.270e+00
5.525e-01,1.422e+00
5.575e-01,1.322e+00
5.625e-01,1.478e+00
5.675e-01,1.554e+00
5.725e-01,1.602e+00
5.775e-01,1.530e+00
5.825e-01,1.702e+00
5.875e-01,1.678e+00
5.925e-01,1.800e+00
5.975e-01,1.794e+00
6.025e-01,1.846e+00
6.075e-01,2.110e+00
6.125e-01,1.902e+00
6.175e-01,2.010e+00
6.225e-01,2.148e+00
6.275e-01,2.218e+00
6.325e-01,2.150e+00
6.375e-01,2.386e+00
6.425e-01,2.490e+00
6.475e-01,2.354e+00
6.525e-01,2.516e+00
6.575e-01,2.540e+00
6.625e-01,2.600e+00
6.675e-01,2.658e+00
6.725e-01,2.678e+00
6.775e-01,2.778e+00
6.825e-01,2.952e+00
6.875e-01,2.892e+00
6.925e-01,2.942e+00
6.975e-01,3.074e+00
7.025e-01,3.094e+00
7.075e-01,3.142e+00
7.125e-01,3.292e+00
7.175e-01,3.156e+00
7.225e-01,3.138e+00
7.275e-01,3.206e+00
7.325e-01,3.372e+00
7.375e-01,3.302e+00
7.425e-01,3.352e+00
7.475e-01,3.316e+00
7.525e-01,3.468e+00
7.575e-01,3.356e+00
7.625e-01,3.314e+00
7.675e-01,3.184e+00
7.725e-01,3.418e+00
7.775e-01,3.224e+00
7.825e-01,3.268e+00
7.875e-01,2.986e+00
7.925e-01,2.926e+00
7.975e-01,3.010e+00
8.025e-01,2.890e+00
8.075e-01,2.738e+00
8.125e-01,2.594e+00
8.175e-01,2.554e+00
8.225e-01,2.414e+00
8.275e-01,2.352e+00
8.325e-01,2.232e+00
8.375e-01,2.076e+00
8.425e-01,1.982e+00
8.475e-01,1.808e+00
8.525e-01,1.642e+00
8.575e-01,1.586e+00
8.625e-01,1.414e+00
8.675e-01,1.212e+00
8.725e-01,1.106e+00
8.775e-01,1.020e+00
8.825e-01,9.541e-01
8.875e-01,8.281e-01
8.925e-01,6.981e-01
8.975e-01,6.301e-01
9.025e-01,4.720e-01
9.075e-01,4.220e-01
9.125e-01,3.420e-01
9.175e-01,3.080e-01
9.225e-01,2.480e-01
9.275e-01,1.560e-01
9.325e-01,1.020e-01
9.375e-01,9.001e-02
9.425e-01,6.201e-02
9.475e-01,4.400e-02
9.525e-01,2.400e-02
9.575e-01,1.600e-02
9.625e-01,1.000e-02
9.675e-01,6.001e-03
9.725e-01,2.000e-03
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
