aperture_radius,lognormal,beam_wandering,elliptical_beam,total_probability,beta,beta_total_probability,num_total_probability,num_beta_total_probability,num_elliptical_beam
1.000e-03,1.550e-01,4.395e-01,3.058e-01,1.269e-01,6.214e-02,7.376e-02,5.010e-02,3.510e-02,2.621e-01
2.000e-03,1.538e-01,3.947e-01,2.918e-01,1.261e-01,6.189e-02,7.339e-02,3.485e-02,2.130e-02,3.160e-01
3.000e-03,1.519e-01,4.065e-01,2.820e-01,1.248e-01,6.172e-02,7.354e-02,2.280e-02,1.045e-02,3.102e-01
4.000e-03,1.506e-01,3.903e-01,2.882e-01,1.230e-01,6.125e-02,7.288e-02,2.525e-02,1.474e-02,3.366e-01
5.000e-03,1.476e-01,3.880e-01,2.858e-01,1.199e-01,5.996e-02,7.074e-02,1.983e-02,1.048e-02,3.111e-01
6.000e-03,1.453e-01,3.859e-01,2.889e-01,1.160e-01,5.878e-02,7.050e-02,1.960e-02,1.159e-02,2.981e-01
7.000e-03,1.424e-01,4.391e-01,2.988e-01,1.139e-01,5.699e-02,6.900e-02,2.434e-02,1.827e-02,3.178e-01
8.000e-03,1.390e-01,4.330e-01,2.972e-01,1.096e-01,5.517e-02,6.684e-02,1.960e-02,1.369e-02,3.105e-01
9.000e-03,1.355e-01,4.352e-01,3.053e-01,1.061e-01,5.320e-02,6.525e-02,2.077e-02,1.546e-02,3.305e-01
1.000e-02,1.317e-01,4.301e-01,3.035e-01,1.016e-01,5.105e-02,6.353e-02,1.818e-02,1.330e-02,3.281e-01
1.100e-02,1.283e-01,4.152e-01,3.092e-01,9.886e-02,4.911e-02,6.062e-02,1.872e-02,1.440e-02,3.233e-01
1.200e-02,1.244e-01,4.406e-01,3.098e-01,9.354e-02,4.728e-02,5.904e-02,1.666e-02,1.218e-02,3.210e-01
1.300e-02,1.208e-01,4.276e-01,3.166e-01,9.032e-02,4.511e-02,5.772e-02,1.763e-02,1.331e-02,3.364e-01
1.400e-02,1.169e-01,4.486e-01,3.221e-01,8.544e-02,4.283e-02,5.497e-02,1.911e-02,1.438e-02,3.423e-01
1.500e-02,1.132e-01,4.564e-01,3.273e-01,8.658e-02,4.328e-02,5.347e-02,1.909e-02,1.399e-02,3.422e-01
1.600e-02,1.116e-01,4.457e-01,3.297e-01,8.814e-02,4.452e-02,5.543e-02,1.893e-02,1.331e-02,3.440e-01
