transmittance,probability_density
1.130e-01,0.000e+00
1.174e-01,0.000e+00
1.218e-01,0.000e+00
1.263e-01,0.000e+00
1.307e-01,0.000e+00
1.352e-01,5.323e-319
1.396e-01,2.562e-308
1.441e-01,3.826e-298
1.485e-01,1.926e-288
1.530e-01,3.525e-279
1.574e-01,2.510e-270
1.619e-01,7.395e-262
1.663e-01,9.537e-254
1.708e-01,5.668e-246
1.752e-01,1.627e-238
1.796e-01,2.355e-231
1.841e-01,1.788e-224
1.885e-01,7.389e-218
1.930e-01,1.718e-211
1.974e-01,2.320e-205
2.019e-01,1.872e-199
2.063e-01,9.269e-194
2.108e-01,2.888e-188
2.152e-01,5.795e-183
2.197e-01,7.652e-178
2.241e-01,6.783e-173
2.286e-01,4.113e-168
2.330e-01,1.737e-163
2.374e-01,5.190e-159
2.419e-01,1.115e-154
2.463e-01,1.748e-150
2.508e-01,2.025e-146
2.552e-01,1.758e-142
2.597e-01,1.157e-138
2.641e-01,5.838e-135
2.686e-01,2.284e-131
2.730e-01,6.995e-128
2.775e-01,1.694e-124
2.819e-01,3.275e-121
2.864e-01,5.095e-118
2.908e-01,6.432e-115
2.953e-01,6.640e-112
2.997e-01,5.648e-109
3.041e-01,3.987e-106
3.086e-01,2.350e-103
3.130e-01,1.165e-100
3.175e-01,4.881e-98
3.219e-01,1.740e-95
3.264e-01,5.304e-93
3.308e-01,1.390e-90
3.353e-01,3.149e-88
3.397e-01,6.193e-86
3.442e-01,1.062e-83
3.486e-01,1.596e-81
3.531e-01,2.110e-79
3.575e-01,2.464e-77
3.619e-01,2.551e-75
3.664e-01,2.350e-73
3.708e-01,1.934e-71
3.753e-01,1.426e-69
3.797e-01,9.455e-68
3.842e-01,5.653e-66
3.886e-01,3.057e-64
3.931e-01,1.500e-62
3.975e-01,6.694e-61
4.020e-01,2.725e-59
4.064e-01,1.015e-57
4.109e-01,3.462e-56
4.153e-01,1.086e-54
4.197e-01,3.136e-53
4.242e-01,8.362e-52
4.286e-01,2.062e-50
4.331e-01,4.715e-49
4.375e-01,1.001e-47
4.420e-01,1.978e-46
4.464e-01,3.644e-45
4.509e-01,6.269e-44
4.553e-01,1.009e-42
4.598e-01,1.522e-41
4.642e-01,2.155e-40
4.687e-01,2.869e-39
4.731e-01,3.595e-38
4.776e-01,4.248e-37
4.820e-01,4.740e-36
4.864e-01,5.001e-35
4.909e-01,4.995e-34
4.953e-01,4.730e-33
4.998e-01,4.252e-32
5.042e-01,3.632e-31
5.087e-01,2.952e-30
5.131e-01,2.285e-29
5.176e-01,1.687e-28
5.220e-01,1.189e-27
5.265e-01,8.004e-27
5.309e-01,5.155e-26
5.354e-01,3.179e-25
5.398e-01,1.879e-24
5.442e-01,1.065e-23
5.487e-01,5.800e-23
5.531e-01,3.034e-22
5.576e-01,1.527e-21
5.620e-01,7.394e-21
5.665e-01,3.450e-20
5.709e-01,1.552e-19
5.754e-01,6.734e-19
5.798e-01,2.821e-18
5.843e-01,1.142e-17
5.887e-01,4.472e-17
5.932e-01,1.694e-16
5.976e-01,6.211e-16
6.021e-01,2.207e-15
6.065e-01,7.601e-15
6.109e-01,2.539e-14
6.154e-01,8.234e-14
6.198e-01,2.593e-13
6.243e-01,7.936e-13
