transmittance,probability_density
2.500e-03,1.445e-123
7.500e-03,9.720e-99
1.250e-02,3.751e-87
1.750e-02,1.780e-79
2.250e-02,1.042e-73
2.750e-02,4.415e-69
3.250e-02,3.235e-65
3.750e-02,6.725e-62
4.250e-02,5.411e-59
4.750e-02,2.075e-56
5.250e-02,4.392e-54
5.750e-02,5.713e-52
6.250e-02,4.951e-50
6.750e-02,3.044e-48
7.250e-02,1.395e-46
7.750e-02,4.956e-45
8.250e-02,1.411e-43
8.750e-02,3.303e-42
9.250e-02,6.506e-41
9.750e-02,1.098e-39
1.025e-01,1.616e-38
1.075e-01,2.101e-37
1.125e-01,2.443e-36
1.175e-01,2.571e-35
1.225e-01,2.473e-34
1.275e-01,2.196e-33
1.325e-01,1.814e-32
1.375e-01,1.406e-31
1.425e-01,1.029e-30
1.475e-01,7.150e-30
1.525e-01,4.737e-29
1.575e-01,3.000e-28
1.625e-01,1.820e-27
1.675e-01,1.058e-26
1.725e-01,5.896e-26
1.775e-01,3.149e-25
1.825e-01,1.612e-24
1.875e-01,7.909e-24
1.925e-01,3.721e-23
1.975e-01,1.679e-22
2.025e-01,7.273e-22
2.075e-01,3.026e-21
2.125e-01,1.211e-20
2.175e-01,4.662e-20
2.225e-01,1.730e-19
2.275e-01,6.191e-19
2.325e-01,2.140e-18
2.375e-01,7.148e-18
2.425e-01,2.311e-17
2.475e-01,7.238e-17
2.525e-01,2.198e-16
2.575e-01,6.480e-16
2.625e-01,1.856e-15
2.675e-01,5.169e-15
2.725e-01,1.401e-14
2.775e-01,3.699e-14
2.825e-01,9.521e-14
2.875e-01,2.390e-13
2.925e-01,5.858e-13
2.975e-01,1.403e-12
3.025e-01,3.283e-12
3.075e-01,7.514e-12
3.125e-01,1.683e-11
3.175e-01,3.692e-11
3.225e-01,7.934e-11
3.275e-01,1.671e-10
3.325e-01,3.453e-10
3.375e-01,6.997e-10
3.425e-01,1.392e-09
3.475e-01,2.719e-09
3.525e-01,5.218e-09
3.575e-01,9.839e-09
3.625e-01,1.824e-08
3.675e-01,3.325e-08
3.725e-01,5.962e-08
3.775e-01,1.052e-07
3.825e-01,1.827e-07
3.875e-01,3.125e-07
3.925e-01,5.264e-07
3.975e-01,8.734e-07
4.025e-01,1.428e-06
4.075e-01,2.301e-06
4.125e-01,3.655e-06
4.175e-01,5.724e-06
4.225e-01,8.843e-06
4.275e-01,1.347e-05
4.325e-01,2.026e-05
4.375e-01,3.005e-05
4.425e-01,4.400e-05
4.475e-01,6.360e-05
4.525e-01,9.076e-05
4.575e-01,1.279e-04
