transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,0.000e+00
3.250e-02,0.000e+00
3.750e-02,0.000e+00
4.250e-02,0.000e+00
4.750e-02,0.000e+00
5.250e-02,0.000e+00
5.750e-02,0.000e+00
6.250e-02,0.000e+00
6.750e-02,0.000e+00
7.250e-02,0.000e+00
7.750e-02,0.000e+00
8.250e-02,0.000e+00
8.750e-02,0.000e+00
9.250e-02,0.000e+00
9.750e-02,0.000e+00
1.025e-01,0.000e+00
1.075e-01,2.000e-03
1.125e-01,0.000e+00
1.175e-01,0.000e+00
1.225e-01,2.000e-03
1.275e-01,0.000e+00
1.325e-01,0.000e+00
1.375e-01,0.000e+00
1.425e-01,2.000e-03
1.475e-01,0.000e+00
1.525e-01,6.000e-03
1.575e-01,2.000e-03
1.625e-01,4.000e-03
1.675e-01,8.000e-03
1.725e-01,6.000e-03
1.775e-01,0.000e+00
1.825e-01,6.000e-03
1.875e-01,6.000e-03
1.925e-01,6.000e-03
1.975e-01,6.000e-03
2.025e-01,2.000e-03
2.075e-01,1.000e-02
2.125e-01,1.200e-02
2.175e-01,1.000e-02
2.225e-01,8.000e-03
2.275e-01,2.000e-02
2.325e-01,1.400e-02
2.375e-01,2.000e-02
2.425e-01,1.800e-02
2.475e-01,1.000e-02
2.525e-01,1.800e-02
2.575e-01,2.600e-02
2.625e-01,1.000e-02
2.675e-01,2.600e-02
2.725e-01,3.800e-02
2.775e-01,3.200e-02
2.825e-01,2.800e-02
2.875e-01,4.400e-02
2.925e-01,2.200e-02
2.975e-01,4.400e-02
3.025e-01,4.200e-02
3.075e-01,4.600e-02
3.125e-01,5.600e-02
3.175e-01,5.400e-02
3.225e-01,5.800e-02
3.275e-01,5.200e-02
3.325e-01,5.200e-02
3.375e-01,5.800e-02
3.425e-01,4.400e-02
3.475e-01,5.400e-02
3.525e-01,6.200e-02
3.575e-01,9.000e-02
3.625e-01,1.020e-01
3.675e-01,1.100e-01
3.725e-01,1.000e-01
3.775e-01,1.140e-01
3.825e-01,1.300e-01
3.875e-01,1.060e-01
3.925e-01,1.660e-01
3.975e-01,1.680e-01
4.025e-01,1.600e-01
4.075e-01,1.680e-01
4.125e-01,1.520e-01
4.175e-01,1.800e-01
4.225e-01,1.720e-01
4.275e-01,2.180e-01
4.325e-01,1.960e-01
4.375e-01,2.100e-01
4.425e-01,2.240e-01
4.475e-01,1.980e-01
4.525e-01,2.620e-01
4.575e-01,2.420e-01
4.625e-01,2.500e-01
4.675e-01,2.760e-01
4.725e-01,2.760e-01
4.775e-01,3.200e-01
4.825e-01,3.120e-01
4.875e-01,3.600e-01
4.925e-01,3.800e-01
4.975e-01,3.760e-01
5.025e-01,4.200e-01
5.075e-01,4.280e-01
5.125e-01,4.920e-01
5.175e-01,4.960e-01
5.225e-01,4.620e-01
5.275e-01,5.100e-01
5.325e-01,5.300e-01
5.375e-01,5.140e-01
5.425e-01,5.460e-01
5.475e-01,6.240e-01
5.525e-01,6.380e-01
5.575e-01,6.760e-01
5.625e-01,6.960e-01
5.675e-01,7.220e-01
5.725e-01,7.240e-01
5.775e-01,7.720e-01
5.825e-01,7.760e-01
5.875e-01,8.100e-01
5.925e-01,9.300e-01
5.975e-01,9.680e-01
6.025e-01,1.020e+00
6.075e-01,9.920e-01
6.125e-01,9.560e-01
6.175e-01,1.086e+00
6.225e-01,1.092e+00
6.275e-01,1.224e+00
6.325e-01,1.184e+00
6.375e-01,1.290e+00
6.425e-01,1.240e+00
6.475e-01,1.344e+00
6.525e-01,1.478e+00
6.575e-01,1.494e+00
6.625e-01,1.668e+00
6.675e-01,1.540e+00
6.725e-01,1.720e+00
6.775e-01,1.782e+00
6.825e-01,1.830e+00
6.875e-01,1.780e+00
6.925e-01,1.848e+00
6.975e-01,2.122e+00
7.025e-01,2.116e+00
7.075e-01,2.154e+00
7.125e-01,2.318e+00
7.175e-01,2.448e+00
7.225e-01,2.498e+00
7.275e-01,2.602e+00
7.325e-01,2.640e+00
7.375e-01,2.786e+00
7.425e-01,2.896e+00
7.475e-01,2.930e+00
7.525e-01,3.158e+00
7.575e-01,3.034e+00
7.625e-01,3.290e+00
7.675e-01,3.288e+00
7.725e-01,3.434e+00
7.775e-01,3.576e+00
7.825e-01,3.794e+00
7.875e-01,3.602e+00
7.925e-01,3.884e+00
7.975e-01,3.970e+00
8.025e-01,4.140e+00
8.075e-01,4.128e+00
8.125e-01,4.306e+00
8.175e-01,4.498e+00
8.225e-01,4.172e+00
8.275e-01,4.334e+00
8.325e-01,4.544e+00
8.375e-01,4.426e+00
8.425e-01,4.598e+00
8.475e-01,4.630e+00
8.525e-01,4.416e+00
8.575e-01,4.012e+00
8.625e-01,4.110e+00
8.675e-01,4.078e+00
8.725e-01,3.882e+00
8.775e-01,3.634e+00
8.825e-01,3.292e+00
8.875e-01,3.168e+00
8.925e-01,2.858e+00
8.975e-01,2.774e+00
9.025e-01,2.228e+00
9.075e-01,2.108e+00
9.125e-01,1.686e+00
9.175e-01,1.380e+00
9.225e-01,1.070e+00
9.275e-01,8.860e-01
9.325e-01,6.440e-01
9.375e-01,4.120e-01
9.425e-01,3.020e-01
9.475e-01,1.980e-01
9.525e-01,1.060e-01
9.575e-01,4.400e-02
9.625e-01,1.600e-02
9.675e-01,8.000e-03
9.725e-01,4.000e-03
9.775e-01,2.000e-03
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
