transmittance,probability_density
2.500e-03,3.696e-271
7.500e-03,8.789e-162
1.250e-02,1.283e-120
1.750e-02,7.264e-97
2.250e-02,7.260e-81
2.750e-02,3.692e-69
3.250e-02,3.874e-60
3.750e-02,6.200e-53
4.250e-02,4.985e-47
4.750e-02,4.320e-42
5.250e-02,6.748e-38
5.750e-02,2.731e-34
6.250e-02,3.723e-31
6.750e-02,2.083e-28
7.250e-02,5.560e-26
7.750e-02,7.961e-24
8.250e-02,6.710e-22
8.750e-02,3.589e-20
9.250e-02,1.295e-18
9.750e-02,3.313e-17
1.025e-01,6.270e-16
1.075e-01,9.093e-15
1.125e-01,1.041e-13
1.175e-01,9.650e-13
1.225e-01,7.404e-12
1.275e-01,4.791e-11
1.325e-01,2.659e-10
1.375e-01,1.283e-09
1.425e-01,5.457e-09
1.475e-01,2.067e-08
1.525e-01,7.043e-08
1.575e-01,2.178e-07
1.625e-01,6.161e-07
1.675e-01,1.606e-06
1.725e-01,3.878e-06
1.775e-01,8.734e-06
1.825e-01,1.843e-05
1.875e-01,3.663e-05
1.925e-01,6.884e-05
1.975e-01,1.228e-04
2.025e-01,2.088e-04
2.075e-01,3.393e-04
2.125e-01,5.288e-04
2.175e-01,7.928e-04
2.225e-01,1.146e-03
2.275e-01,1.603e-03
2.325e-01,2.173e-03
2.375e-01,2.862e-03
2.425e-01,3.671e-03
2.475e-01,4.594e-03
2.525e-01,5.621e-03
2.575e-01,6.736e-03
2.625e-01,7.921e-03
2.675e-01,9.153e-03
2.725e-01,1.041e-02
2.775e-01,1.166e-02
2.825e-01,1.290e-02
2.875e-01,1.409e-02
2.925e-01,1.523e-02
2.975e-01,1.629e-02
3.025e-01,1.728e-02
3.075e-01,1.819e-02
3.125e-01,1.903e-02
3.175e-01,1.981e-02
3.225e-01,2.054e-02
3.275e-01,2.126e-02
3.325e-01,2.199e-02
3.375e-01,2.277e-02
3.425e-01,2.364e-02
3.475e-01,2.467e-02
3.525e-01,2.589e-02
3.575e-01,2.736e-02
3.625e-01,2.913e-02
3.675e-01,3.123e-02
3.725e-01,3.369e-02
3.775e-01,3.651e-02
3.825e-01,3.967e-02
3.875e-01,4.313e-02
3.925e-01,4.681e-02
3.975e-01,5.062e-02
4.025e-01,5.446e-02
4.075e-01,5.821e-02
4.125e-01,6.175e-02
4.175e-01,6.497e-02
4.225e-01,6.779e-02
4.275e-01,7.015e-02
4.325e-01,7.201e-02
4.375e-01,7.339e-02
4.425e-01,7.433e-02
4.475e-01,7.491e-02
4.525e-01,7.523e-02
4.575e-01,7.542e-02
4.625e-01,7.561e-02
4.675e-01,7.593e-02
4.725e-01,7.649e-02
4.775e-01,7.740e-02
4.825e-01,7.873e-02
4.875e-01,8.054e-02
4.925e-01,8.282e-02
4.975e-01,8.558e-02
5.025e-01,8.877e-02
5.075e-01,9.234e-02
5.125e-01,9.624e-02
5.175e-01,1.004e-01
5.225e-01,1.048e-01
5.275e-01,1.093e-01
5.325e-01,1.139e-01
