transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,0.000e+00
3.250e-02,0.000e+00
3.750e-02,0.000e+00
4.250e-02,5.992e-04
4.750e-02,0.000e+00
5.250e-02,0.000e+00
5.750e-02,0.000e+00
6.250e-02,0.000e+00
6.750e-02,0.000e+00
7.250e-02,0.000e+00
7.750e-02,5.992e-04
8.250e-02,0.000e+00
8.750e-02,0.000e+00
9.250e-02,0.000e+00
9.750e-02,0.000e+00
1.025e-01,0.000e+00
1.075e-01,0.000e+00
1.125e-01,0.000e+00
1.175e-01,0.000e+00
1.225e-01,0.000e+00
1.275e-01,5.992e-04
1.325e-01,0.000e+00
1.375e-01,0.000e+00
1.425e-01,5.992e-04
1.475e-01,0.000e+00
1.525e-01,0.000e+00
1.575e-01,5.992e-04
1.625e-01,0.000e+00
1.675e-01,0.000e+00
1.725e-01,5.992e-04
1.775e-01,5.992e-04
1.825e-01,1.798e-03
1.875e-01,0.000e+00
1.925e-01,0.000e+00
1.975e-01,1.798e-03
2.025e-01,0.000e+00
2.075e-01,0.000e+00
2.125e-01,5.992e-04
2.175e-01,1.198e-03
2.225e-01,0.000e+00
2.275e-01,0.000e+00
2.325e-01,1.198e-03
2.375e-01,1.198e-03
2.425e-01,2.397e-03
2.475e-01,1.798e-03
2.525e-01,1.798e-03
2.575e-01,1.198e-03
2.625e-01,1.798e-03
2.675e-01,2.397e-03
2.725e-01,5.992e-04
2.775e-01,1.198e-03
2.825e-01,1.198e-03
2.875e-01,1.798e-03
2.925e-01,5.992e-04
2.975e-01,1.198e-03
3.025e-01,5.992e-04
3.075e-01,2.996e-03
3.125e-01,3.595e-03
3.175e-01,1.798e-03
3.225e-01,1.198e-03
3.275e-01,5.992e-04
3.325e-01,1.798e-03
3.375e-01,1.798e-03
3.425e-01,1.798e-03
3.475e-01,6.591e-03
3.525e-01,3.595e-03
3.575e-01,1.798e-03
3.625e-01,5.393e-03
3.675e-01,4.195e-03
3.725e-01,2.996e-03
3.775e-01,1.798e-03
3.825e-01,4.794e-03
3.875e-01,2.996e-03
3.925e-01,4.794e-03
3.975e-01,2.996e-03
4.025e-01,2.996e-03
4.075e-01,2.397e-03
4.125e-01,4.794e-03
4.175e-01,4.794e-03
4.225e-01,5.992e-03
4.275e-01,7.191e-03
4.325e-01,1.079e-02
4.375e-01,5.992e-03
4.425e-01,6.591e-03
4.475e-01,5.992e-03
4.525e-01,5.393e-03
4.575e-01,1.198e-02
4.625e-01,5.992e-03
4.675e-01,7.790e-03
4.725e-01,5.992e-03
4.775e-01,1.019e-02
4.825e-01,1.079e-02
4.875e-01,6.591e-03
4.925e-01,1.198e-02
4.975e-01,1.618e-02
5.025e-01,1.139e-02
5.075e-01,1.019e-02
5.125e-01,1.258e-02
5.175e-01,1.019e-02
5.225e-01,1.318e-02
5.275e-01,1.618e-02
5.325e-01,1.558e-02
5.375e-01,1.079e-02
5.425e-01,1.798e-02
5.475e-01,1.918e-02
5.525e-01,1.977e-02
5.575e-01,1.977e-02
5.625e-01,1.918e-02
5.675e-01,1.558e-02
5.725e-01,2.037e-02
5.775e-01,2.217e-02
5.825e-01,1.918e-02
5.875e-01,1.977e-02
5.925e-01,2.936e-02
5.975e-01,2.996e-02
6.025e-01,2.936e-02
6.075e-01,3.116e-02
6.125e-01,2.756e-02
6.175e-01,3.475e-02
6.225e-01,3.356e-02
6.275e-01,4.075e-02
6.325e-01,3.955e-02
6.375e-01,3.895e-02
6.425e-01,4.374e-02
6.475e-01,4.974e-02
6.525e-01,5.213e-02
6.575e-01,5.812e-02
6.625e-01,5.393e-02
6.675e-01,6.711e-02
6.725e-01,5.213e-02
6.775e-01,5.992e-02
6.825e-01,8.269e-02
6.875e-01,7.370e-02
6.925e-01,8.509e-02
6.975e-01,7.370e-02
7.025e-01,9.168e-02
7.075e-01,9.108e-02
7.125e-01,9.887e-02
7.175e-01,1.025e-01
7.225e-01,1.216e-01
7.275e-01,1.043e-01
7.325e-01,1.186e-01
7.375e-01,1.318e-01
7.425e-01,1.474e-01
7.475e-01,1.534e-01
7.525e-01,1.738e-01
7.575e-01,1.900e-01
7.625e-01,1.935e-01
7.675e-01,2.043e-01
7.725e-01,2.271e-01
7.775e-01,2.385e-01
7.825e-01,2.661e-01
7.875e-01,2.882e-01
7.925e-01,3.134e-01
7.975e-01,3.499e-01
8.025e-01,3.350e-01
8.075e-01,3.865e-01
8.125e-01,3.991e-01
8.175e-01,4.674e-01
8.225e-01,5.004e-01
8.275e-01,5.633e-01
8.325e-01,5.693e-01
8.375e-01,7.011e-01
8.425e-01,7.041e-01
8.475e-01,8.131e-01
8.525e-01,9.048e-01
8.575e-01,1.042e+00
8.625e-01,1.204e+00
8.675e-01,1.336e+00
8.725e-01,1.545e+00
8.775e-01,1.675e+00
8.825e-01,1.991e+00
8.875e-01,2.307e+00
8.925e-01,2.720e+00
8.975e-01,3.178e+00
9.025e-01,3.876e+00
9.075e-01,4.649e+00
9.125e-01,5.731e+00
9.175e-01,7.017e+00
9.225e-01,8.873e+00
9.275e-01,1.141e+01
9.325e-01,1.451e+01
9.375e-01,1.878e+01
9.425e-01,2.243e+01
9.475e-01,2.510e+01
9.525e-01,2.402e+01
9.575e-01,1.657e+01
9.625e-01,7.093e+00
9.675e-01,1.313e+00
9.725e-01,4.914e-02
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
