transmittance,probability_density
1.308e-04,1.183e+01
3.925e-04,3.721e+01
6.541e-04,6.239e+01
9.157e-04,8.509e+01
1.177e-03,1.041e+02
1.439e-03,1.190e+02
1.701e-03,1.297e+02
1.962e-03,1.368e+02
2.224e-03,1.407e+02
2.486e-03,1.420e+02
2.747e-03,1.413e+02
3.009e-03,1.390e+02
3.270e-03,1.354e+02
3.532e-03,1.311e+02
3.794e-03,1.261e+02
4.055e-03,1.207e+02
4.317e-03,1.152e+02
4.579e-03,1.095e+02
4.840e-03,1.039e+02
5.102e-03,9.833e+01
5.364e-03,9.292e+01
5.625e-03,8.769e+01
5.887e-03,8.267e+01
6.148e-03,7.786e+01
6.410e-03,7.328e+01
6.672e-03,6.894e+01
6.933e-03,6.483e+01
7.195e-03,6.094e+01
7.457e-03,5.728e+01
7.718e-03,5.383e+01
7.980e-03,5.058e+01
8.242e-03,4.754e+01
8.503e-03,4.468e+01
8.765e-03,4.199e+01
9.026e-03,3.948e+01
9.288e-03,3.712e+01
9.550e-03,3.491e+01
9.811e-03,3.284e+01
1.007e-02,3.090e+01
1.033e-02,2.908e+01
1.060e-02,2.738e+01
1.086e-02,2.578e+01
1.112e-02,2.429e+01
1.138e-02,2.289e+01
1.164e-02,2.158e+01
1.190e-02,2.035e+01
1.217e-02,1.919e+01
1.243e-02,1.811e+01
1.269e-02,1.709e+01
1.295e-02,1.614e+01
1.321e-02,1.525e+01
1.347e-02,1.441e+01
1.374e-02,1.362e+01
1.400e-02,1.288e+01
1.426e-02,1.218e+01
1.452e-02,1.153e+01
1.478e-02,1.091e+01
1.504e-02,1.033e+01
1.531e-02,9.785e+00
1.557e-02,9.271e+00
1.583e-02,8.788e+00
1.609e-02,8.332e+00
1.635e-02,7.903e+00
1.661e-02,7.498e+00
1.688e-02,7.116e+00
1.714e-02,6.756e+00
1.740e-02,6.417e+00
1.766e-02,6.096e+00
1.792e-02,5.793e+00
1.818e-02,5.507e+00
1.845e-02,5.236e+00
1.871e-02,4.981e+00
1.897e-02,4.739e+00
1.923e-02,4.510e+00
1.949e-02,4.294e+00
1.975e-02,4.089e+00
2.002e-02,3.895e+00
2.028e-02,3.712e+00
2.054e-02,3.538e+00
2.080e-02,3.373e+00
2.106e-02,3.216e+00
2.132e-02,3.068e+00
2.158e-02,2.928e+00
2.185e-02,2.794e+00
2.211e-02,2.668e+00
2.237e-02,2.547e+00
2.263e-02,2.433e+00
2.289e-02,2.325e+00
2.315e-02,2.222e+00
2.342e-02,2.124e+00
2.368e-02,2.030e+00
2.394e-02,1.942e+00
2.420e-02,1.858e+00
2.446e-02,1.777e+00
2.472e-02,1.701e+00
2.499e-02,1.628e+00
2.525e-02,1.559e+00
2.551e-02,1.493e+00
2.577e-02,1.430e+00
2.603e-02,1.370e+00
2.629e-02,1.313e+00
2.656e-02,1.259e+00
2.682e-02,1.207e+00
2.708e-02,1.157e+00
2.734e-02,1.110e+00
2.760e-02,1.065e+00
2.786e-02,1.022e+00
2.813e-02,9.809e-01
2.839e-02,9.417e-01
2.865e-02,9.041e-01
2.891e-02,8.683e-01
2.917e-02,8.340e-01
2.943e-02,8.013e-01
2.970e-02,7.699e-01
2.996e-02,7.400e-01
3.022e-02,7.113e-01
3.048e-02,6.839e-01
3.074e-02,6.576e-01
3.100e-02,6.325e-01
3.127e-02,6.084e-01
3.153e-02,5.854e-01
3.179e-02,5.633e-01
3.205e-02,5.422e-01
3.231e-02,5.219e-01
3.257e-02,5.025e-01
3.284e-02,4.839e-01
3.310e-02,4.661e-01
3.336e-02,4.490e-01
3.362e-02,4.326e-01
3.388e-02,4.168e-01
3.414e-02,4.017e-01
3.441e-02,3.872e-01
3.467e-02,3.733e-01
3.493e-02,3.600e-01
3.519e-02,3.471e-01
3.545e-02,3.348e-01
3.571e-02,3.230e-01
3.597e-02,3.116e-01
3.624e-02,3.007e-01
3.650e-02,2.902e-01
3.676e-02,2.801e-01
3.702e-02,2.704e-01
3.728e-02,2.611e-01
3.754e-02,2.521e-01
3.781e-02,2.435e-01
3.807e-02,2.352e-01
3.833e-02,2.272e-01
3.859e-02,2.195e-01
3.885e-02,2.122e-01
