transmittance,probability_density
4.915e-01,0.000e+00
4.940e-01,0.000e+00
4.966e-01,0.000e+00
4.991e-01,0.000e+00
5.017e-01,0.000e+00
5.042e-01,0.000e+00
5.068e-01,0.000e+00
5.093e-01,0.000e+00
5.118e-01,0.000e+00
5.144e-01,0.000e+00
5.169e-01,0.000e+00
5.195e-01,0.000e+00
5.220e-01,0.000e+00
5.246e-01,0.000e+00
5.271e-01,0.000e+00
5.297e-01,0.000e+00
5.322e-01,0.000e+00
5.348e-01,0.000e+00
5.373e-01,0.000e+00
5.399e-01,3.923e-03
5.424e-01,0.000e+00
5.450e-01,0.000e+00
5.475e-01,0.000e+00
5.501e-01,0.000e+00
5.526e-01,3.923e-03
5.552e-01,3.923e-03
5.577e-01,3.923e-03
5.603e-01,3.923e-03
5.628e-01,0.000e+00
5.654e-01,0.000e+00
5.679e-01,3.923e-03
5.705e-01,0.000e+00
5.730e-01,0.000e+00
5.756e-01,3.923e-03
5.781e-01,0.000e+00
5.807e-01,1.177e-02
5.832e-01,3.923e-03
5.858e-01,7.846e-03
5.883e-01,0.000e+00
5.909e-01,7.846e-03
5.934e-01,0.000e+00
5.960e-01,0.000e+00
5.985e-01,0.000e+00
6.011e-01,3.923e-03
6.036e-01,7.846e-03
6.062e-01,0.000e+00
6.087e-01,1.177e-02
6.113e-01,0.000e+00
6.138e-01,3.923e-03
6.164e-01,1.961e-02
6.189e-01,3.923e-03
6.215e-01,1.569e-02
6.240e-01,1.177e-02
6.266e-01,0.000e+00
6.291e-01,1.177e-02
6.317e-01,1.177e-02
6.342e-01,1.177e-02
6.368e-01,2.354e-02
6.393e-01,1.961e-02
6.419e-01,1.961e-02
6.444e-01,2.354e-02
6.470e-01,1.961e-02
6.495e-01,1.961e-02
6.520e-01,2.746e-02
6.546e-01,3.531e-02
6.571e-01,4.315e-02
6.597e-01,1.177e-02
6.622e-01,3.138e-02
6.648e-01,3.923e-02
6.673e-01,3.923e-02
6.699e-01,4.315e-02
6.724e-01,4.315e-02
6.750e-01,4.315e-02
6.775e-01,4.708e-02
6.801e-01,7.454e-02
6.826e-01,7.454e-02
6.852e-01,5.884e-02
6.877e-01,7.846e-02
6.903e-01,3.923e-02
6.928e-01,6.277e-02
6.954e-01,8.631e-02
6.979e-01,1.177e-01
7.005e-01,9.807e-02
7.030e-01,1.059e-01
7.056e-01,1.295e-01
7.081e-01,1.059e-01
7.107e-01,8.631e-02
7.132e-01,1.608e-01
7.158e-01,1.255e-01
7.183e-01,1.687e-01
7.209e-01,1.648e-01
7.234e-01,1.687e-01
7.260e-01,2.118e-01
7.285e-01,2.668e-01
7.311e-01,2.550e-01
7.336e-01,3.060e-01
7.362e-01,2.707e-01
7.387e-01,2.825e-01
7.413e-01,3.099e-01
7.438e-01,3.060e-01
7.464e-01,3.178e-01
7.489e-01,4.315e-01
7.515e-01,4.198e-01
7.540e-01,4.590e-01
7.566e-01,4.708e-01
7.591e-01,5.767e-01
7.617e-01,5.021e-01
7.642e-01,6.316e-01
7.668e-01,6.630e-01
7.693e-01,7.375e-01
7.719e-01,8.121e-01
7.744e-01,7.767e-01
7.770e-01,9.101e-01
7.795e-01,8.631e-01
7.821e-01,1.114e+00
7.846e-01,1.110e+00
7.872e-01,1.169e+00
7.897e-01,1.393e+00
7.922e-01,1.604e+00
7.948e-01,1.448e+00
7.973e-01,1.706e+00
7.999e-01,1.726e+00
8.024e-01,1.914e+00
8.050e-01,2.032e+00
8.075e-01,2.197e+00
8.101e-01,2.432e+00
8.126e-01,2.621e+00
8.152e-01,2.691e+00
8.177e-01,3.217e+00
8.203e-01,3.366e+00
8.228e-01,3.590e+00
8.254e-01,3.535e+00
8.279e-01,4.315e+00
8.305e-01,4.221e+00
8.330e-01,4.915e+00
8.356e-01,4.751e+00
8.381e-01,5.280e+00
8.407e-01,5.527e+00
8.432e-01,6.218e+00
8.458e-01,6.081e+00
8.483e-01,6.736e+00
8.509e-01,6.622e+00
8.534e-01,7.528e+00
8.560e-01,7.952e+00
8.585e-01,8.258e+00
8.611e-01,8.964e+00
8.636e-01,8.717e+00
8.662e-01,1.015e+01
8.687e-01,1.003e+01
8.713e-01,1.082e+01
8.738e-01,1.102e+01
8.764e-01,1.160e+01
8.789e-01,1.166e+01
8.815e-01,1.243e+01
8.840e-01,1.191e+01
8.866e-01,1.318e+01
8.891e-01,1.213e+01
8.917e-01,1.253e+01
8.942e-01,1.197e+01
8.968e-01,1.232e+01
8.993e-01,1.116e+01
9.019e-01,1.119e+01
9.044e-01,1.025e+01
9.070e-01,9.898e+00
9.095e-01,8.913e+00
9.121e-01,8.352e+00
9.146e-01,7.159e+00
9.172e-01,6.065e+00
9.197e-01,5.010e+00
9.223e-01,4.241e+00
9.248e-01,3.095e+00
9.274e-01,2.381e+00
9.299e-01,1.761e+00
9.324e-01,1.173e+00
9.350e-01,6.904e-01
9.375e-01,3.962e-01
9.401e-01,2.589e-01
9.426e-01,1.295e-01
9.452e-01,3.923e-02
9.477e-01,1.569e-02
9.503e-01,1.961e-02
9.528e-01,0.000e+00
9.554e-01,0.000e+00
9.579e-01,0.000e+00
9.605e-01,0.000e+00
9.630e-01,0.000e+00
9.656e-01,0.000e+00
9.681e-01,0.000e+00
9.707e-01,0.000e+00
9.732e-01,0.000e+00
9.758e-01,0.000e+00
9.783e-01,0.000e+00
9.809e-01,0.000e+00
9.834e-01,0.000e+00
9.860e-01,0.000e+00
9.885e-01,0.000e+00
9.911e-01,0.000e+00
9.936e-01,0.000e+00
9.962e-01,0.000e+00
9.987e-01,0.000e+00
