transmittance,probability_density
2.070e-03,3.313e-05
6.209e-03,5.742e-04
1.035e-02,2.164e-03
1.449e-02,5.188e-03
1.863e-02,9.969e-03
2.277e-02,1.680e-02
2.691e-02,2.593e-02
3.104e-02,3.762e-02
3.518e-02,5.209e-02
3.932e-02,6.957e-02
4.346e-02,9.026e-02
4.760e-02,1.144e-01
5.174e-02,1.421e-01
5.588e-02,1.736e-01
6.002e-02,2.091e-01
6.416e-02,2.487e-01
6.830e-02,2.927e-01
7.244e-02,3.411e-01
7.658e-02,3.942e-01
8.072e-02,4.521e-01
8.486e-02,5.150e-01
8.899e-02,5.830e-01
9.313e-02,6.563e-01
9.727e-02,7.351e-01
1.014e-01,8.194e-01
1.056e-01,9.094e-01
1.097e-01,1.005e+00
1.138e-01,1.107e+00
1.180e-01,1.215e+00
1.221e-01,1.330e+00
1.262e-01,1.450e+00
1.304e-01,1.578e+00
1.345e-01,1.711e+00
1.387e-01,1.852e+00
1.428e-01,2.000e+00
1.469e-01,2.155e+00
1.511e-01,2.317e+00
1.552e-01,2.486e+00
1.594e-01,2.663e+00
1.635e-01,2.847e+00
1.676e-01,3.039e+00
1.718e-01,3.239e+00
1.759e-01,3.447e+00
1.801e-01,3.663e+00
1.842e-01,3.887e+00
1.883e-01,4.119e+00
1.925e-01,4.360e+00
1.966e-01,4.609e+00
2.008e-01,4.867e+00
2.049e-01,5.134e+00
2.090e-01,5.409e+00
2.132e-01,5.694e+00
2.173e-01,5.988e+00
2.215e-01,6.291e+00
2.256e-01,6.604e+00
2.297e-01,6.926e+00
2.339e-01,7.258e+00
2.380e-01,7.599e+00
2.421e-01,7.951e+00
2.463e-01,8.312e+00
2.504e-01,8.684e+00
2.546e-01,9.067e+00
2.587e-01,9.459e+00
2.628e-01,9.863e+00
2.670e-01,1.028e+01
2.711e-01,1.070e+01
2.753e-01,1.114e+01
2.794e-01,1.160e+01
2.835e-01,1.206e+01
2.877e-01,1.258e+01
2.918e-01,0.000e+00
2.960e-01,0.000e+00
3.001e-01,0.000e+00
3.042e-01,0.000e+00
3.084e-01,0.000e+00
3.125e-01,0.000e+00
3.167e-01,0.000e+00
3.208e-01,0.000e+00
3.249e-01,0.000e+00
3.291e-01,0.000e+00
3.332e-01,0.000e+00
3.374e-01,0.000e+00
3.415e-01,0.000e+00
3.456e-01,0.000e+00
3.498e-01,0.000e+00
3.539e-01,0.000e+00
3.580e-01,0.000e+00
3.622e-01,0.000e+00
3.663e-01,0.000e+00
3.705e-01,0.000e+00
3.746e-01,0.000e+00
3.787e-01,0.000e+00
3.829e-01,0.000e+00
3.870e-01,0.000e+00
3.912e-01,0.000e+00
3.953e-01,0.000e+00
3.994e-01,0.000e+00
4.036e-01,0.000e+00
4.077e-01,0.000e+00
4.119e-01,0.000e+00
4.160e-01,0.000e+00
4.201e-01,0.000e+00
4.243e-01,0.000e+00
4.284e-01,0.000e+00
4.326e-01,0.000e+00
4.367e-01,0.000e+00
4.408e-01,0.000e+00
4.450e-01,0.000e+00
4.491e-01,0.000e+00
4.533e-01,0.000e+00
4.574e-01,0.000e+00
4.615e-01,0.000e+00
4.657e-01,0.000e+00
4.698e-01,0.000e+00
4.739e-01,0.000e+00
4.781e-01,0.000e+00
4.822e-01,0.000e+00
4.864e-01,0.000e+00
4.905e-01,0.000e+00
4.946e-01,0.000e+00
4.988e-01,0.000e+00
5.029e-01,0.000e+00
5.071e-01,0.000e+00
5.112e-01,0.000e+00
5.153e-01,0.000e+00
5.195e-01,0.000e+00
5.236e-01,0.000e+00
5.278e-01,0.000e+00
5.319e-01,0.000e+00
5.360e-01,0.000e+00
5.402e-01,0.000e+00
5.443e-01,0.000e+00
5.485e-01,0.000e+00
5.526e-01,0.000e+00
5.567e-01,0.000e+00
5.609e-01,0.000e+00
5.650e-01,0.000e+00
5.692e-01,0.000e+00
5.733e-01,0.000e+00
5.774e-01,0.000e+00
5.816e-01,0.000e+00
5.857e-01,0.000e+00
5.899e-01,0.000e+00
5.940e-01,0.000e+00
5.981e-01,0.000e+00
6.023e-01,0.000e+00
6.064e-01,0.000e+00
6.105e-01,0.000e+00
6.147e-01,0.000e+00
6.188e-01,0.000e+00
6.230e-01,0.000e+00
6.271e-01,0.000e+00
6.312e-01,0.000e+00
6.354e-01,0.000e+00
6.395e-01,0.000e+00
6.437e-01,0.000e+00
