transmittance,probability_density
2.070e-03,3.771e-02
6.209e-03,1.265e-01
1.035e-02,2.200e-01
1.449e-02,3.149e-01
1.863e-02,4.098e-01
2.277e-02,5.038e-01
2.691e-02,5.965e-01
3.104e-02,6.876e-01
3.518e-02,7.768e-01
3.932e-02,8.639e-01
4.346e-02,9.489e-01
4.760e-02,1.032e+00
5.174e-02,1.112e+00
5.588e-02,1.190e+00
6.002e-02,1.265e+00
6.416e-02,1.338e+00
6.830e-02,1.409e+00
7.244e-02,1.477e+00
7.658e-02,1.542e+00
8.072e-02,1.605e+00
8.486e-02,1.666e+00
8.899e-02,1.724e+00
9.313e-02,1.779e+00
9.727e-02,1.832e+00
1.014e-01,1.883e+00
1.056e-01,1.932e+00
1.097e-01,1.978e+00
1.138e-01,2.021e+00
1.180e-01,2.063e+00
1.221e-01,2.102e+00
1.262e-01,2.139e+00
1.304e-01,2.174e+00
1.345e-01,2.207e+00
1.387e-01,2.238e+00
1.428e-01,2.266e+00
1.469e-01,2.293e+00
1.511e-01,2.318e+00
1.552e-01,2.340e+00
1.594e-01,2.361e+00
1.635e-01,2.380e+00
1.676e-01,2.397e+00
1.718e-01,2.413e+00
1.759e-01,2.426e+00
1.801e-01,2.438e+00
1.842e-01,2.449e+00
1.883e-01,2.457e+00
1.925e-01,2.465e+00
1.966e-01,2.470e+00
2.008e-01,2.474e+00
2.049e-01,2.477e+00
2.090e-01,2.478e+00
2.132e-01,2.478e+00
2.173e-01,2.477e+00
2.215e-01,2.474e+00
2.256e-01,2.470e+00
2.297e-01,2.465e+00
2.339e-01,2.458e+00
2.380e-01,2.451e+00
2.421e-01,2.442e+00
2.463e-01,2.433e+00
2.504e-01,2.422e+00
2.546e-01,2.410e+00
2.587e-01,2.398e+00
2.628e-01,2.384e+00
2.670e-01,2.369e+00
2.711e-01,2.354e+00
2.753e-01,2.338e+00
2.794e-01,2.321e+00
2.835e-01,2.303e+00
2.877e-01,2.285e+00
2.918e-01,2.266e+00
2.960e-01,2.246e+00
3.001e-01,2.225e+00
3.042e-01,2.204e+00
3.084e-01,2.183e+00
3.125e-01,2.160e+00
3.167e-01,2.138e+00
3.208e-01,2.115e+00
3.249e-01,2.091e+00
3.291e-01,2.067e+00
3.332e-01,2.042e+00
3.374e-01,2.017e+00
3.415e-01,1.992e+00
3.456e-01,1.967e+00
3.498e-01,1.941e+00
3.539e-01,1.915e+00
3.580e-01,1.888e+00
3.622e-01,1.861e+00
3.663e-01,1.835e+00
3.705e-01,1.808e+00
3.746e-01,1.780e+00
3.787e-01,1.753e+00
3.829e-01,1.725e+00
3.870e-01,1.698e+00
3.912e-01,1.670e+00
3.953e-01,1.642e+00
3.994e-01,1.614e+00
4.036e-01,1.587e+00
4.077e-01,1.559e+00
4.119e-01,1.531e+00
4.160e-01,1.503e+00
4.201e-01,1.475e+00
4.243e-01,1.447e+00
4.284e-01,1.420e+00
4.326e-01,1.392e+00
4.367e-01,1.364e+00
4.408e-01,1.337e+00
4.450e-01,1.310e+00
4.491e-01,1.282e+00
4.533e-01,1.255e+00
4.574e-01,1.229e+00
4.615e-01,1.202e+00
4.657e-01,1.175e+00
4.698e-01,1.149e+00
4.739e-01,1.123e+00
4.781e-01,1.097e+00
4.822e-01,1.071e+00
4.864e-01,1.046e+00
4.905e-01,1.021e+00
4.946e-01,9.957e-01
4.988e-01,9.710e-01
5.029e-01,9.466e-01
5.071e-01,9.225e-01
5.112e-01,8.986e-01
5.153e-01,8.751e-01
5.195e-01,8.518e-01
5.236e-01,8.288e-01
5.278e-01,8.062e-01
5.319e-01,7.838e-01
5.360e-01,7.618e-01
5.402e-01,7.401e-01
5.443e-01,7.187e-01
5.485e-01,6.977e-01
5.526e-01,6.770e-01
5.567e-01,6.566e-01
5.609e-01,6.366e-01
5.650e-01,6.169e-01
5.692e-01,5.976e-01
5.733e-01,5.786e-01
5.774e-01,5.599e-01
5.816e-01,5.417e-01
5.857e-01,5.237e-01
5.899e-01,5.061e-01
5.940e-01,4.889e-01
5.981e-01,4.720e-01
6.023e-01,4.555e-01
6.064e-01,4.394e-01
6.105e-01,4.236e-01
6.147e-01,4.081e-01
6.188e-01,3.930e-01
6.230e-01,3.783e-01
6.271e-01,3.639e-01
6.312e-01,3.498e-01
6.354e-01,3.361e-01
6.395e-01,3.228e-01
6.437e-01,3.098e-01
6.478e-01,2.971e-01
6.519e-01,2.848e-01
6.561e-01,2.728e-01
6.602e-01,2.612e-01
6.644e-01,2.499e-01
6.685e-01,2.389e-01
6.726e-01,2.282e-01
6.768e-01,2.179e-01
6.809e-01,2.078e-01
6.851e-01,1.981e-01
6.892e-01,1.887e-01
6.933e-01,1.796e-01
6.975e-01,1.708e-01
7.016e-01,1.623e-01
7.058e-01,1.541e-01
7.099e-01,1.462e-01
7.140e-01,1.386e-01
7.182e-01,1.312e-01
7.223e-01,1.241e-01
7.264e-01,1.173e-01
7.306e-01,1.108e-01
7.347e-01,1.045e-01
7.389e-01,9.844e-02
7.430e-01,9.265e-02
7.471e-01,8.711e-02
7.513e-01,8.180e-02
7.554e-01,7.672e-02
7.596e-01,7.187e-02
7.637e-01,6.724e-02
7.678e-01,6.283e-02
7.720e-01,5.862e-02
7.761e-01,5.462e-02
7.803e-01,5.082e-02
7.844e-01,4.721e-02
7.885e-01,4.379e-02
7.927e-01,4.055e-02
7.968e-01,3.749e-02
8.010e-01,3.459e-02
8.051e-01,3.186e-02
8.092e-01,2.929e-02
8.134e-01,2.688e-02
8.175e-01,2.461e-02
8.217e-01,2.248e-02
8.258e-01,2.049e-02
