transmittance,probability_density
2.500e-03,7.167e-71
7.500e-03,2.423e-57
1.250e-02,4.784e-51
1.750e-02,6.734e-47
2.250e-02,8.463e-44
2.750e-02,2.528e-41
3.250e-02,2.907e-39
3.750e-02,1.694e-37
4.250e-02,5.931e-36
4.750e-02,1.398e-34
5.250e-02,2.400e-33
5.750e-02,3.282e-32
6.250e-02,5.795e-29
6.750e-02,7.690e-25
7.250e-02,2.930e-21
7.750e-02,3.746e-18
8.250e-02,1.832e-15
8.750e-02,3.816e-13
9.250e-02,3.706e-11
9.750e-02,1.809e-09
1.025e-01,4.734e-08
1.075e-01,7.013e-07
1.125e-01,6.168e-06
1.175e-01,3.355e-05
1.225e-01,1.170e-04
1.275e-01,2.699e-04
1.325e-01,4.242e-04
1.375e-01,4.678e-04
1.425e-01,3.803e-04
1.475e-01,2.643e-04
1.525e-01,2.261e-04
1.575e-01,2.814e-04
1.625e-01,3.714e-04
1.675e-01,4.323e-04
1.725e-01,4.521e-04
1.775e-01,4.751e-04
1.825e-01,5.606e-04
1.875e-01,7.420e-04
1.925e-01,1.018e-03
1.975e-01,1.359e-03
2.025e-01,1.716e-03
2.075e-01,2.028e-03
2.125e-01,2.253e-03
2.175e-01,2.394e-03
2.225e-01,2.504e-03
2.275e-01,2.653e-03
2.325e-01,2.884e-03
2.375e-01,3.189e-03
2.425e-01,3.529e-03
2.475e-01,3.867e-03
2.525e-01,4.201e-03
2.575e-01,4.569e-03
2.625e-01,5.022e-03
2.675e-01,5.593e-03
2.725e-01,6.272e-03
2.775e-01,7.008e-03
2.825e-01,7.724e-03
2.875e-01,8.356e-03
2.925e-01,8.867e-03
2.975e-01,9.269e-03
3.025e-01,9.612e-03
3.075e-01,9.973e-03
3.125e-01,1.044e-02
3.175e-01,1.108e-02
3.225e-01,1.196e-02
3.275e-01,1.309e-02
3.325e-01,1.448e-02
3.375e-01,1.608e-02
3.425e-01,1.786e-02
3.475e-01,1.976e-02
3.525e-01,2.174e-02
