transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,0.000e+00
3.250e-02,0.000e+00
3.750e-02,0.000e+00
4.250e-02,0.000e+00
4.750e-02,0.000e+00
5.250e-02,0.000e+00
5.750e-02,0.000e+00
6.250e-02,0.000e+00
6.750e-02,0.000e+00
7.250e-02,0.000e+00
7.750e-02,0.000e+00
8.250e-02,0.000e+00
8.750e-02,0.000e+00
9.250e-02,0.000e+00
9.750e-02,0.000e+00
1.025e-01,0.000e+00
1.075e-01,0.000e+00
1.125e-01,0.000e+00
1.175e-01,0.000e+00
1.225e-01,0.000e+00
1.275e-01,0.000e+00
1.325e-01,0.000e+00
1.375e-01,6.000e-03
1.425e-01,0.000e+00
1.475e-01,0.000e+00
1.525e-01,0.000e+00
1.575e-01,6.000e-03
1.625e-01,2.000e-03
1.675e-01,6.000e-03
1.725e-01,4.000e-03
1.775e-01,0.000e+00
1.825e-01,4.000e-03
1.875e-01,4.000e-03
1.925e-01,2.000e-03
1.975e-01,6.000e-03
2.025e-01,6.000e-03
2.075e-01,8.000e-03
2.125e-01,8.000e-03
2.175e-01,4.000e-03
2.225e-01,1.200e-02
2.275e-01,1.600e-02
2.325e-01,1.600e-02
2.375e-01,2.800e-02
2.425e-01,1.000e-02
2.475e-01,1.600e-02
2.525e-01,2.400e-02
2.575e-01,2.000e-02
2.625e-01,3.200e-02
2.675e-01,3.200e-02
2.725e-01,1.800e-02
2.775e-01,3.000e-02
2.825e-01,2.600e-02
2.875e-01,5.200e-02
2.925e-01,4.000e-02
2.975e-01,4.000e-02
3.025e-01,4.000e-02
3.075e-01,5.200e-02
3.125e-01,5.400e-02
3.175e-01,5.600e-02
3.225e-01,7.400e-02
3.275e-01,5.400e-02
3.325e-01,6.600e-02
3.375e-01,7.800e-02
3.425e-01,7.800e-02
3.475e-01,1.020e-01
3.525e-01,1.160e-01
3.575e-01,1.040e-01
3.625e-01,1.080e-01
3.675e-01,1.340e-01
3.725e-01,1.400e-01
3.775e-01,1.340e-01
3.825e-01,1.680e-01
3.875e-01,1.440e-01
3.925e-01,1.660e-01
3.975e-01,1.480e-01
4.025e-01,2.180e-01
4.075e-01,2.080e-01
4.125e-01,2.220e-01
4.175e-01,2.220e-01
4.225e-01,2.240e-01
4.275e-01,2.960e-01
4.325e-01,2.760e-01
4.375e-01,2.840e-01
4.425e-01,3.180e-01
4.475e-01,3.480e-01
4.525e-01,3.820e-01
4.575e-01,3.700e-01
4.625e-01,3.980e-01
4.675e-01,3.640e-01
4.725e-01,4.760e-01
4.775e-01,4.780e-01
4.825e-01,5.720e-01
4.875e-01,5.360e-01
4.925e-01,6.480e-01
4.975e-01,5.440e-01
5.025e-01,6.500e-01
5.075e-01,6.920e-01
5.125e-01,6.780e-01
5.175e-01,6.600e-01
5.225e-01,7.920e-01
5.275e-01,8.600e-01
5.325e-01,9.200e-01
5.375e-01,9.820e-01
5.425e-01,1.004e+00
5.475e-01,1.006e+00
5.525e-01,1.156e+00
5.575e-01,1.088e+00
5.625e-01,1.198e+00
5.675e-01,1.276e+00
5.725e-01,1.378e+00
5.775e-01,1.394e+00
5.825e-01,1.516e+00
5.875e-01,1.592e+00
5.925e-01,1.680e+00
5.975e-01,1.612e+00
6.025e-01,1.850e+00
6.075e-01,1.976e+00
6.125e-01,2.040e+00
6.175e-01,2.210e+00
6.225e-01,2.206e+00
6.275e-01,2.158e+00
6.325e-01,2.362e+00
6.375e-01,2.360e+00
6.425e-01,2.402e+00
6.475e-01,2.530e+00
6.525e-01,2.644e+00
6.575e-01,2.862e+00
6.625e-01,2.846e+00
6.675e-01,2.908e+00
6.725e-01,3.076e+00
6.775e-01,3.178e+00
6.825e-01,3.436e+00
6.875e-01,3.398e+00
6.925e-01,3.564e+00
6.975e-01,3.502e+00
7.025e-01,3.646e+00
7.075e-01,3.706e+00
7.125e-01,3.804e+00
7.175e-01,3.734e+00
7.225e-01,3.912e+00
7.275e-01,4.086e+00
7.325e-01,3.968e+00
7.375e-01,3.938e+00
7.425e-01,3.960e+00
7.475e-01,3.958e+00
7.525e-01,3.980e+00
7.575e-01,3.994e+00
7.625e-01,3.780e+00
7.675e-01,3.788e+00
7.725e-01,3.790e+00
7.775e-01,3.800e+00
7.825e-01,3.740e+00
7.875e-01,3.442e+00
7.925e-01,3.506e+00
7.975e-01,3.124e+00
8.025e-01,3.166e+00
8.075e-01,3.256e+00
8.125e-01,2.874e+00
8.175e-01,2.792e+00
8.225e-01,2.590e+00
8.275e-01,2.438e+00
8.325e-01,2.356e+00
8.375e-01,2.248e+00
8.425e-01,2.198e+00
8.475e-01,1.852e+00
8.525e-01,1.734e+00
8.575e-01,1.580e+00
8.625e-01,1.462e+00
8.675e-01,1.236e+00
8.725e-01,1.186e+00
8.775e-01,9.480e-01
8.825e-01,8.460e-01
8.875e-01,8.320e-01
8.925e-01,6.560e-01
8.975e-01,5.200e-01
9.025e-01,4.520e-01
9.075e-01,3.640e-01
9.125e-01,3.140e-01
9.175e-01,1.780e-01
9.225e-01,2.180e-01
9.275e-01,1.680e-01
9.325e-01,1.040e-01
9.375e-01,7.800e-02
9.425e-01,7.000e-02
9.475e-01,4.200e-02
9.525e-01,2.600e-02
9.575e-01,1.600e-02
9.625e-01,1.000e-02
9.675e-01,2.000e-03
9.725e-01,2.000e-03
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
