aperture_radius,lognormal,beam_wandering,elliptical_beam,total_probability,beta,beta_total_probability,num_total_probability,num_beta_total_probability,num_elliptical_beam
5.000e-02,2.946e-02,5.191e-01,3.728e-01,2.983e-02,1.469e-01,1.314e-01,4.066e-02,7.802e-02,3.137e-01
1.000e-01,6.433e-02,3.258e-01,3.174e-01,5.979e-02,8.964e-02,8.419e-02,7.255e-02,5.283e-02,3.564e-01
1.500e-01,7.882e-02,4.195e-01,2.787e-01,7.373e-02,6.363e-02,5.492e-02,8.010e-02,6.101e-02,3.034e-01
2.000e-01,8.830e-02,4.459e-01,2.897e-01,8.167e-02,3.850e-02,2.934e-02,8.193e-02,6.728e-02,3.071e-01
2.500e-01,9.368e-02,4.721e-01,3.083e-01,8.667e-02,2.043e-02,1.843e-02,8.137e-02,7.037e-02,3.445e-01
3.000e-01,9.596e-02,4.797e-01,3.268e-01,8.786e-02,1.954e-02,2.305e-02,8.090e-02,7.229e-02,3.535e-01
3.500e-01,9.622e-02,4.907e-01,3.444e-01,8.702e-02,2.419e-02,2.992e-02,8.032e-02,7.344e-02,3.721e-01
4.000e-01,9.513e-02,5.151e-01,3.596e-01,8.524e-02,3.187e-02,3.792e-02,7.890e-02,7.345e-02,3.842e-01
4.500e-01,9.870e-02,5.091e-01,3.715e-01,9.152e-02,4.058e-02,4.755e-02,7.745e-02,7.293e-02,3.942e-01
5.000e-01,1.100e-01,5.624e-01,3.837e-01,1.018e-01,4.909e-02,5.635e-02,7.666e-02,7.277e-02,4.108e-01
5.500e-01,1.222e-01,5.632e-01,3.898e-01,1.095e-01,5.779e-02,6.610e-02,7.414e-02,7.077e-02,4.262e-01
6.000e-01,1.329e-01,5.554e-01,3.949e-01,1.178e-01,6.560e-02,7.484e-02,7.115e-02,6.825e-02,4.269e-01
6.500e-01,1.422e-01,5.766e-01,3.954e-01,1.235e-01,7.218e-02,8.179e-02,6.795e-02,6.551e-02,4.248e-01
7.000e-01,1.520e-01,5.895e-01,3.901e-01,1.292e-01,8.029e-02,8.872e-02,6.500e-02,6.299e-02,4.178e-01
7.500e-01,1.607e-01,5.881e-01,3.822e-01,1.329e-01,8.714e-02,9.599e-02,6.115e-02,5.949e-02,4.124e-01
8.000e-01,1.684e-01,5.594e-01,3.676e-01,1.344e-01,9.295e-02,1.005e-01,5.650e-02,5.511e-02,4.022e-01
8.500e-01,1.749e-01,5.489e-01,3.440e-01,1.341e-01,9.777e-02,1.020e-01,5.145e-02,5.029e-02,3.749e-01
9.000e-01,1.790e-01,5.126e-01,3.201e-01,1.300e-01,1.078e-01,1.074e-01,4.648e-02,4.533e-02,3.400e-01
9.500e-01,1.824e-01,4.941e-01,2.822e-01,1.224e-01,1.172e-01,1.134e-01,4.214e-02,4.117e-02,3.078e-01
1.000e+00,1.844e-01,4.492e-01,2.443e-01,1.142e-01,1.253e-01,1.147e-01,3.675e-02,3.587e-02,2.663e-01
1.050e+00,1.851e-01,3.651e-01,2.020e-01,1.041e-01,1.320e-01,1.129e-01,3.213e-02,3.138e-02,2.221e-01
1.100e+00,1.848e-01,2.341e-01,1.554e-01,9.921e-02,1.379e-01,1.066e-01,3.015e-02,2.695e-02,1.754e-01
1.150e+00,1.837e-01,1.173e-01,1.415e-01,8.720e-02,1.435e-01,9.334e-02,3.037e-02,2.241e-02,1.363e-01
1.200e+00,1.822e-01,1.105e-01,2.039e-01,6.165e-02,1.461e-01,6.643e-02,3.479e-02,2.358e-02,1.534e-01
1.250e+00,1.797e-01,2.538e-01,2.771e-01,,1.486e-01,,3.803e-02,2.698e-02,2.221e-01
1.300e+00,1.764e-01,3.829e-01,3.546e-01,,1.492e-01,,4.116e-02,3.063e-02,2.981e-01
1.350e+00,1.731e-01,4.942e-01,4.298e-01,,1.490e-01,,4.631e-02,3.577e-02,3.762e-01
1.400e+00,1.700e-01,5.883e-01,5.060e-01,,1.486e-01,,5.179e-02,4.144e-02,4.467e-01
1.450e+00,1.675e-01,6.650e-01,5.728e-01,,1.459e-01,,5.750e-02,4.785e-02,5.211e-01
1.500e+00,1.630e-01,7.296e-01,6.375e-01,,1.418e-01,,6.422e-02,5.472e-02,5.803e-01
