transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,8.750e-285
1.750e-02,3.217e-240
2.250e-02,2.093e-209
2.750e-02,2.548e-186
3.250e-02,3.945e-168
3.750e-02,2.720e-153
4.250e-02,7.094e-141
4.750e-02,2.783e-130
5.250e-02,4.195e-121
5.750e-02,4.726e-113
6.250e-02,6.471e-106
6.750e-02,1.554e-99
7.250e-02,8.671e-94
7.750e-02,1.403e-88
8.250e-02,7.855e-84
8.750e-02,1.754e-79
9.250e-02,1.758e-75
9.750e-02,8.704e-72
1.025e-01,2.311e-68
1.075e-01,3.522e-65
1.125e-01,3.268e-62
1.175e-01,1.940e-59
1.225e-01,7.700e-57
1.275e-01,2.120e-54
1.325e-01,4.188e-52
1.375e-01,6.104e-50
1.425e-01,6.738e-48
1.475e-01,5.760e-46
1.525e-01,3.891e-44
1.575e-01,2.114e-42
1.625e-01,9.395e-41
1.675e-01,3.463e-39
1.725e-01,1.073e-37
1.775e-01,2.826e-36
1.825e-01,6.400e-35
1.875e-01,1.258e-33
1.925e-01,2.167e-32
1.975e-01,3.295e-31
2.025e-01,4.458e-30
2.075e-01,5.403e-29
2.125e-01,5.904e-28
2.175e-01,5.851e-27
2.225e-01,5.285e-26
2.275e-01,4.375e-25
2.325e-01,3.334e-24
2.375e-01,2.349e-23
2.425e-01,1.536e-22
2.475e-01,9.357e-22
2.525e-01,5.330e-21
2.575e-01,2.847e-20
2.625e-01,1.431e-19
2.675e-01,6.786e-19
2.725e-01,3.044e-18
2.775e-01,1.295e-17
2.825e-01,5.238e-17
2.875e-01,2.018e-16
2.925e-01,7.423e-16
2.975e-01,2.612e-15
3.025e-01,8.807e-15
3.075e-01,2.851e-14
3.125e-01,8.873e-14
3.175e-01,2.660e-13
3.225e-01,7.691e-13
3.275e-01,2.148e-12
3.325e-01,5.801e-12
3.375e-01,1.517e-11
3.425e-01,3.848e-11
3.475e-01,9.471e-11
3.525e-01,2.265e-10
3.575e-01,5.270e-10
3.625e-01,1.194e-09
3.675e-01,2.635e-09
3.725e-01,5.674e-09
3.775e-01,1.193e-08
3.825e-01,2.450e-08
3.875e-01,4.920e-08
3.925e-01,9.669e-08
3.975e-01,1.861e-07
4.025e-01,3.509e-07
4.075e-01,6.488e-07
4.125e-01,1.177e-06
4.175e-01,2.096e-06
4.225e-01,3.667e-06
4.275e-01,6.306e-06
4.325e-01,1.066e-05
4.375e-01,1.774e-05
4.425e-01,2.904e-05
4.475e-01,4.683e-05
4.525e-01,7.440e-05
4.575e-01,1.165e-04
4.625e-01,1.799e-04
4.675e-01,2.740e-04
4.725e-01,4.119e-04
4.775e-01,6.113e-04
4.825e-01,8.958e-04
4.875e-01,1.297e-03
4.925e-01,1.855e-03
4.975e-01,2.624e-03
5.025e-01,3.670e-03
5.075e-01,5.076e-03
5.125e-01,6.948e-03
5.175e-01,9.412e-03
5.225e-01,1.262e-02
5.275e-01,1.676e-02
5.325e-01,2.204e-02
5.375e-01,2.872e-02
5.425e-01,3.709e-02
5.475e-01,4.747e-02
5.525e-01,6.023e-02
5.575e-01,7.578e-02
5.625e-01,9.457e-02
5.675e-01,1.171e-01
5.725e-01,1.438e-01
5.775e-01,1.753e-01
5.825e-01,2.120e-01
5.875e-01,2.547e-01
5.925e-01,3.037e-01
5.975e-01,3.597e-01
6.025e-01,4.231e-01
6.075e-01,4.944e-01
6.125e-01,5.740e-01
6.175e-01,6.622e-01
6.225e-01,7.592e-01
6.275e-01,8.652e-01
6.325e-01,9.801e-01
6.375e-01,1.104e+00
6.425e-01,1.236e+00
6.475e-01,1.377e+00
6.525e-01,1.526e+00
6.575e-01,1.681e+00
6.625e-01,1.843e+00
6.675e-01,2.010e+00
6.725e-01,2.182e+00
6.775e-01,2.357e+00
6.825e-01,2.534e+00
6.875e-01,2.711e+00
6.925e-01,2.887e+00
6.975e-01,3.062e+00
7.025e-01,3.233e+00
7.075e-01,3.398e+00
7.125e-01,3.558e+00
7.175e-01,3.709e+00
7.225e-01,3.852e+00
7.275e-01,3.984e+00
7.325e-01,4.105e+00
7.375e-01,4.213e+00
7.425e-01,4.308e+00
7.475e-01,4.390e+00
7.525e-01,4.457e+00
7.575e-01,4.510e+00
7.625e-01,4.547e+00
7.675e-01,4.570e+00
7.725e-01,4.577e+00
7.775e-01,4.570e+00
7.825e-01,4.548e+00
7.875e-01,4.512e+00
7.925e-01,4.463e+00
7.975e-01,4.401e+00
8.025e-01,4.328e+00
8.075e-01,4.243e+00
8.125e-01,4.149e+00
8.175e-01,4.045e+00
8.225e-01,3.933e+00
8.275e-01,3.814e+00
8.325e-01,3.689e+00
8.375e-01,3.559e+00
8.425e-01,3.424e+00
8.475e-01,3.287e+00
8.525e-01,3.148e+00
8.575e-01,3.007e+00
8.625e-01,2.866e+00
8.675e-01,2.725e+00
8.725e-01,2.585e+00
8.775e-01,2.447e+00
8.825e-01,2.311e+00
8.875e-01,2.178e+00
8.925e-01,2.049e+00
8.975e-01,1.923e+00
9.025e-01,1.801e+00
9.075e-01,1.684e+00
9.125e-01,1.571e+00
9.175e-01,1.463e+00
9.225e-01,1.359e+00
9.275e-01,1.261e+00
9.325e-01,1.168e+00
9.375e-01,1.079e+00
9.425e-01,9.958e-01
9.475e-01,9.172e-01
9.525e-01,8.434e-01
9.575e-01,7.742e-01
9.625e-01,7.095e-01
9.675e-01,6.492e-01
9.725e-01,5.930e-01
9.775e-01,5.409e-01
9.825e-01,4.925e-01
9.875e-01,4.478e-01
9.925e-01,4.066e-01
9.975e-01,3.686e-01
