transmittance,probability_density
2.500e-03,1.106e-08
7.500e-03,1.838e-06
1.250e-02,1.809e-05
1.750e-02,7.699e-05
2.250e-02,2.179e-04
2.750e-02,4.841e-04
3.250e-02,9.168e-04
3.750e-02,1.551e-03
4.250e-02,2.411e-03
4.750e-02,3.515e-03
5.250e-02,4.872e-03
5.750e-02,6.481e-03
6.250e-02,8.340e-03
6.750e-02,1.044e-02
7.250e-02,1.277e-02
7.750e-02,1.533e-02
8.250e-02,1.810e-02
8.750e-02,2.108e-02
9.250e-02,2.425e-02
9.750e-02,2.762e-02
1.025e-01,3.118e-02
1.075e-01,3.492e-02
1.125e-01,3.884e-02
1.175e-01,4.294e-02
1.225e-01,4.722e-02
1.275e-01,5.167e-02
1.325e-01,5.630e-02
1.375e-01,6.109e-02
1.425e-01,6.605e-02
1.475e-01,7.116e-02
1.525e-01,7.643e-02
1.575e-01,8.184e-02
1.625e-01,8.738e-02
1.675e-01,9.305e-02
1.725e-01,9.884e-02
1.775e-01,1.047e-01
1.825e-01,1.107e-01
1.875e-01,1.168e-01
1.925e-01,1.229e-01
1.975e-01,1.291e-01
2.025e-01,1.354e-01
2.075e-01,1.417e-01
2.125e-01,1.480e-01
2.175e-01,1.543e-01
2.225e-01,1.605e-01
2.275e-01,1.668e-01
2.325e-01,1.731e-01
2.375e-01,1.793e-01
2.425e-01,1.855e-01
2.475e-01,1.916e-01
2.525e-01,1.977e-01
2.575e-01,2.037e-01
2.625e-01,2.097e-01
2.675e-01,2.156e-01
2.725e-01,2.216e-01
2.775e-01,2.275e-01
2.825e-01,2.334e-01
2.875e-01,2.393e-01
2.925e-01,2.452e-01
2.975e-01,2.512e-01
3.025e-01,2.573e-01
3.075e-01,2.635e-01
3.125e-01,2.698e-01
3.175e-01,2.763e-01
3.225e-01,2.831e-01
3.275e-01,2.901e-01
3.325e-01,2.973e-01
3.375e-01,3.049e-01
3.425e-01,3.129e-01
3.475e-01,3.213e-01
3.525e-01,3.301e-01
3.575e-01,3.394e-01
3.625e-01,3.492e-01
3.675e-01,3.597e-01
3.725e-01,3.707e-01
3.775e-01,3.824e-01
3.825e-01,3.947e-01
3.875e-01,4.079e-01
3.925e-01,4.217e-01
3.975e-01,4.364e-01
4.025e-01,4.520e-01
4.075e-01,4.684e-01
4.125e-01,4.857e-01
4.175e-01,5.040e-01
4.225e-01,5.233e-01
4.275e-01,5.436e-01
4.325e-01,5.650e-01
4.375e-01,5.874e-01
4.425e-01,6.110e-01
4.475e-01,6.358e-01
4.525e-01,6.617e-01
4.575e-01,6.888e-01
4.625e-01,7.173e-01
4.675e-01,7.469e-01
4.725e-01,7.780e-01
4.775e-01,8.103e-01
4.825e-01,8.441e-01
4.875e-01,8.792e-01
4.925e-01,9.158e-01
4.975e-01,9.538e-01
5.025e-01,9.933e-01
5.075e-01,1.034e+00
5.125e-01,1.077e+00
5.175e-01,1.121e+00
5.225e-01,1.167e+00
5.275e-01,1.214e+00
5.325e-01,1.264e+00
5.375e-01,1.314e+00
5.425e-01,1.367e+00
5.475e-01,1.421e+00
5.525e-01,1.477e+00
5.575e-01,1.535e+00
5.625e-01,1.595e+00
5.675e-01,1.657e+00
5.725e-01,1.721e+00
5.775e-01,1.787e+00
5.825e-01,1.854e+00
5.875e-01,1.924e+00
5.925e-01,1.996e+00
5.975e-01,2.070e+00
6.025e-01,2.146e+00
6.075e-01,2.224e+00
6.125e-01,2.303e+00
6.175e-01,2.385e+00
6.225e-01,2.469e+00
6.275e-01,2.554e+00
6.325e-01,2.641e+00
6.375e-01,2.728e+00
6.425e-01,2.817e+00
6.475e-01,2.906e+00
6.525e-01,2.996e+00
6.575e-01,3.085e+00
6.625e-01,3.174e+00
6.675e-01,3.261e+00
6.725e-01,3.345e+00
6.775e-01,3.427e+00
6.825e-01,3.505e+00
6.875e-01,3.579e+00
6.925e-01,3.647e+00
6.975e-01,3.708e+00
7.025e-01,3.762e+00
7.075e-01,3.807e+00
7.125e-01,3.842e+00
7.175e-01,3.866e+00
7.225e-01,3.878e+00
7.275e-01,3.878e+00
7.325e-01,3.864e+00
7.375e-01,3.835e+00
7.425e-01,3.792e+00
7.475e-01,3.733e+00
7.525e-01,3.659e+00
7.575e-01,3.569e+00
7.625e-01,3.465e+00
7.675e-01,3.346e+00
7.725e-01,3.213e+00
7.775e-01,3.067e+00
7.825e-01,2.910e+00
7.875e-01,2.743e+00
7.925e-01,2.568e+00
7.975e-01,2.387e+00
8.025e-01,2.202e+00
8.075e-01,2.016e+00
8.125e-01,1.829e+00
8.175e-01,1.646e+00
8.225e-01,1.466e+00
8.275e-01,1.294e+00
8.325e-01,1.130e+00
8.375e-01,9.757e-01
8.425e-01,8.327e-01
8.475e-01,7.018e-01
8.525e-01,5.836e-01
8.575e-01,4.785e-01
8.625e-01,3.864e-01
8.675e-01,3.070e-01
8.725e-01,2.397e-01
8.775e-01,1.836e-01
8.825e-01,1.379e-01
8.875e-01,1.012e-01
8.925e-01,7.256e-02
8.975e-01,5.067e-02
9.025e-01,3.438e-02
9.075e-01,2.260e-02
9.125e-01,1.434e-02
9.175e-01,8.750e-03
9.225e-01,5.109e-03
9.275e-01,2.839e-03
9.325e-01,1.490e-03
9.375e-01,7.328e-04
9.425e-01,3.340e-04
9.475e-01,1.392e-04
9.525e-01,5.207e-05
9.575e-01,1.709e-05
9.625e-01,4.763e-06
9.675e-01,1.076e-06
9.725e-01,1.836e-07
9.775e-01,2.118e-08
9.825e-01,1.354e-09
9.875e-01,3.221e-11
9.925e-01,1.018e-13
9.975e-01,3.678e-19
