transmittance,probability_density
2.360e-01,0.000e+00
2.398e-01,0.000e+00
2.437e-01,0.000e+00
2.475e-01,0.000e+00
2.513e-01,0.000e+00
2.552e-01,0.000e+00
2.590e-01,0.000e+00
2.628e-01,0.000e+00
2.666e-01,0.000e+00
2.705e-01,0.000e+00
2.743e-01,0.000e+00
2.781e-01,0.000e+00
2.820e-01,0.000e+00
2.858e-01,0.000e+00
2.896e-01,0.000e+00
2.934e-01,0.000e+00
2.973e-01,0.000e+00
3.011e-01,0.000e+00
3.049e-01,0.000e+00
3.088e-01,0.000e+00
3.126e-01,0.000e+00
3.164e-01,0.000e+00
3.203e-01,0.000e+00
3.241e-01,0.000e+00
3.279e-01,0.000e+00
3.317e-01,0.000e+00
3.356e-01,0.000e+00
3.394e-01,0.000e+00
3.432e-01,0.000e+00
3.471e-01,0.000e+00
3.509e-01,0.000e+00
3.547e-01,0.000e+00
3.586e-01,0.000e+00
3.624e-01,0.000e+00
3.662e-01,0.000e+00
3.700e-01,0.000e+00
3.739e-01,0.000e+00
3.777e-01,0.000e+00
3.815e-01,0.000e+00
3.854e-01,0.000e+00
3.892e-01,0.000e+00
3.930e-01,0.000e+00
3.968e-01,0.000e+00
4.007e-01,0.000e+00
4.045e-01,0.000e+00
4.083e-01,0.000e+00
4.122e-01,0.000e+00
4.160e-01,0.000e+00
4.198e-01,0.000e+00
4.237e-01,0.000e+00
4.275e-01,0.000e+00
4.313e-01,0.000e+00
4.351e-01,0.000e+00
4.390e-01,0.000e+00
4.428e-01,0.000e+00
4.466e-01,0.000e+00
4.505e-01,0.000e+00
4.543e-01,2.611e-03
4.581e-01,0.000e+00
4.619e-01,0.000e+00
4.658e-01,0.000e+00
4.696e-01,0.000e+00
4.734e-01,0.000e+00
4.773e-01,0.000e+00
4.811e-01,0.000e+00
4.849e-01,0.000e+00
4.888e-01,0.000e+00
4.926e-01,0.000e+00
4.964e-01,0.000e+00
5.002e-01,0.000e+00
5.041e-01,0.000e+00
5.079e-01,0.000e+00
5.117e-01,0.000e+00
5.156e-01,2.611e-03
5.194e-01,0.000e+00
5.232e-01,0.000e+00
5.271e-01,0.000e+00
5.309e-01,0.000e+00
5.347e-01,0.000e+00
5.385e-01,0.000e+00
5.424e-01,0.000e+00
5.462e-01,5.223e-03
5.500e-01,0.000e+00
5.539e-01,0.000e+00
5.577e-01,2.611e-03
5.615e-01,0.000e+00
5.653e-01,0.000e+00
5.692e-01,0.000e+00
5.730e-01,2.611e-03
5.768e-01,5.223e-03
5.807e-01,0.000e+00
5.845e-01,0.000e+00
5.883e-01,2.611e-03
5.922e-01,2.611e-03
5.960e-01,5.223e-03
5.998e-01,0.000e+00
6.036e-01,0.000e+00
6.075e-01,0.000e+00
6.113e-01,5.223e-03
6.151e-01,2.611e-03
6.190e-01,2.611e-03
6.228e-01,0.000e+00
6.266e-01,0.000e+00
6.304e-01,2.611e-03
6.343e-01,5.223e-03
6.381e-01,7.834e-03
6.419e-01,1.045e-02
6.458e-01,2.611e-03
6.496e-01,2.611e-03
6.534e-01,1.567e-02
6.573e-01,2.611e-03
6.611e-01,1.045e-02
6.649e-01,2.089e-02
6.687e-01,1.045e-02
6.726e-01,1.567e-02
6.764e-01,2.350e-02
6.802e-01,1.567e-02
6.841e-01,1.828e-02
6.879e-01,1.045e-02
6.917e-01,1.567e-02
6.956e-01,1.567e-02
6.994e-01,2.872e-02
7.032e-01,3.656e-02
7.070e-01,2.872e-02
7.109e-01,4.700e-02
7.147e-01,2.872e-02
7.185e-01,3.656e-02
7.224e-01,4.700e-02
7.262e-01,5.484e-02
7.300e-01,6.006e-02
7.338e-01,7.050e-02
7.377e-01,6.528e-02
7.415e-01,5.223e-02
7.453e-01,7.312e-02
7.492e-01,6.789e-02
7.530e-01,8.356e-02
7.568e-01,8.878e-02
7.607e-01,1.097e-01
7.645e-01,9.139e-02
7.683e-01,1.018e-01
7.721e-01,1.149e-01
7.760e-01,1.149e-01
7.798e-01,1.750e-01
7.836e-01,1.436e-01
7.875e-01,1.697e-01
7.913e-01,2.193e-01
7.951e-01,1.880e-01
7.989e-01,1.906e-01
8.028e-01,2.428e-01
8.066e-01,2.611e-01
8.104e-01,2.481e-01
8.143e-01,2.794e-01
8.181e-01,3.055e-01
8.219e-01,2.872e-01
8.258e-01,4.074e-01
8.296e-01,4.309e-01
8.334e-01,4.309e-01
8.372e-01,4.805e-01
8.411e-01,4.518e-01
8.449e-01,5.693e-01
8.487e-01,5.614e-01
8.526e-01,6.189e-01
8.564e-01,6.763e-01
8.602e-01,7.181e-01
8.641e-01,8.565e-01
8.679e-01,8.800e-01
8.717e-01,9.688e-01
8.755e-01,1.068e+00
8.794e-01,1.167e+00
8.832e-01,1.230e+00
8.870e-01,1.363e+00
8.909e-01,1.535e+00
8.947e-01,1.635e+00
8.985e-01,1.815e+00
9.023e-01,2.123e+00
9.062e-01,2.162e+00
9.100e-01,2.588e+00
9.138e-01,2.731e+00
9.177e-01,3.126e+00
9.215e-01,3.295e+00
9.253e-01,3.820e+00
9.292e-01,4.293e+00
