transmittance,probability_density
3.024e-01,1.148e-34
3.059e-01,7.713e-34
3.094e-01,4.946e-33
3.129e-01,3.032e-32
3.164e-01,1.779e-31
3.199e-01,1.001e-30
3.234e-01,5.399e-30
3.269e-01,2.799e-29
3.304e-01,1.395e-28
3.339e-01,6.695e-28
3.374e-01,3.096e-27
3.408e-01,1.381e-26
3.443e-01,5.946e-26
3.478e-01,2.474e-25
3.513e-01,9.958e-25
3.548e-01,3.880e-24
3.583e-01,1.465e-23
3.618e-01,5.360e-23
3.653e-01,1.904e-22
3.688e-01,6.565e-22
3.723e-01,2.200e-21
3.758e-01,7.170e-21
3.793e-01,2.273e-20
3.828e-01,7.020e-20
3.863e-01,2.112e-19
3.898e-01,6.194e-19
3.933e-01,1.772e-18
3.968e-01,4.949e-18
4.003e-01,1.350e-17
4.038e-01,3.597e-17
4.073e-01,9.370e-17
4.108e-01,2.388e-16
4.143e-01,5.955e-16
4.178e-01,1.454e-15
4.213e-01,3.477e-15
4.248e-01,8.151e-15
4.283e-01,1.873e-14
4.318e-01,4.222e-14
4.353e-01,9.337e-14
4.388e-01,2.027e-13
4.423e-01,4.322e-13
4.458e-01,9.053e-13
4.493e-01,1.864e-12
4.527e-01,3.771e-12
4.562e-01,7.506e-12
4.597e-01,1.470e-11
4.632e-01,2.832e-11
4.667e-01,5.374e-11
4.702e-01,1.004e-10
4.737e-01,1.848e-10
4.772e-01,3.351e-10
4.807e-01,5.991e-10
4.842e-01,1.056e-09
4.877e-01,1.836e-09
4.912e-01,3.149e-09
4.947e-01,5.329e-09
4.982e-01,8.902e-09
5.017e-01,1.468e-08
5.052e-01,2.391e-08
5.087e-01,3.848e-08
5.122e-01,6.118e-08
5.157e-01,9.612e-08
5.192e-01,1.493e-07
5.227e-01,2.293e-07
5.262e-01,3.483e-07
5.297e-01,5.233e-07
5.332e-01,7.779e-07
5.367e-01,1.144e-06
5.402e-01,1.667e-06
5.437e-01,2.403e-06
5.472e-01,3.430e-06
5.507e-01,4.851e-06
5.542e-01,6.794e-06
5.577e-01,9.430e-06
5.611e-01,1.297e-05
5.646e-01,1.768e-05
5.681e-01,2.389e-05
5.716e-01,3.202e-05
5.751e-01,4.255e-05
5.786e-01,5.608e-05
5.821e-01,7.334e-05
5.856e-01,9.515e-05
5.891e-01,1.225e-04
5.926e-01,1.566e-04
5.961e-01,1.986e-04
5.996e-01,2.502e-04
6.031e-01,3.129e-04
6.066e-01,3.887e-04
6.101e-01,4.796e-04
6.136e-01,5.880e-04
6.171e-01,7.163e-04
6.206e-01,8.672e-04
6.241e-01,1.044e-03
6.276e-01,1.248e-03
6.311e-01,1.485e-03
6.346e-01,1.757e-03
6.381e-01,2.068e-03
6.416e-01,2.420e-03
6.451e-01,2.820e-03
6.486e-01,3.269e-03
6.521e-01,3.773e-03
6.556e-01,4.335e-03
6.591e-01,4.960e-03
6.626e-01,5.653e-03
6.661e-01,6.419e-03
6.696e-01,7.263e-03
6.730e-01,8.189e-03
6.765e-01,9.205e-03
6.800e-01,1.032e-02
6.835e-01,1.153e-02
6.870e-01,1.285e-02
6.905e-01,1.429e-02
6.940e-01,1.584e-02
6.975e-01,1.753e-02
7.010e-01,1.936e-02
7.045e-01,2.134e-02
7.080e-01,2.346e-02
7.115e-01,2.575e-02
7.150e-01,2.821e-02
7.185e-01,3.084e-02
7.220e-01,3.365e-02
7.255e-01,3.665e-02
7.290e-01,3.984e-02
7.325e-01,4.323e-02
7.360e-01,4.682e-02
7.395e-01,5.062e-02
7.430e-01,5.464e-02
7.465e-01,5.890e-02
7.500e-01,6.340e-02
7.535e-01,6.817e-02
7.570e-01,7.324e-02
7.605e-01,7.865e-02
7.640e-01,8.445e-02
7.675e-01,9.071e-02
7.710e-01,9.752e-02
7.745e-01,1.050e-01
7.780e-01,1.133e-01
7.814e-01,1.225e-01
7.849e-01,1.329e-01
7.884e-01,1.448e-01
7.919e-01,1.584e-01
7.954e-01,1.740e-01
7.989e-01,1.921e-01
8.024e-01,2.130e-01
8.059e-01,2.373e-01
8.094e-01,2.655e-01
8.129e-01,2.981e-01
8.164e-01,3.357e-01
8.199e-01,3.792e-01
8.234e-01,4.294e-01
