transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,0.000e+00
3.250e-02,0.000e+00
3.750e-02,0.000e+00
4.250e-02,0.000e+00
4.750e-02,0.000e+00
5.250e-02,0.000e+00
5.750e-02,0.000e+00
6.250e-02,8.000e-03
6.750e-02,4.000e-03
7.250e-02,0.000e+00
7.750e-02,0.000e+00
8.250e-02,4.000e-03
8.750e-02,0.000e+00
9.250e-02,2.000e-03
9.750e-02,1.000e-02
1.025e-01,8.000e-03
1.075e-01,8.000e-03
1.125e-01,1.000e-02
1.175e-01,1.000e-02
1.225e-01,8.000e-03
1.275e-01,1.600e-02
1.325e-01,1.400e-02
1.375e-01,1.400e-02
1.425e-01,2.600e-02
1.475e-01,2.000e-02
1.525e-01,1.600e-02
1.575e-01,1.600e-02
1.625e-01,1.200e-02
1.675e-01,2.600e-02
1.725e-01,3.400e-02
1.775e-01,3.600e-02
1.825e-01,2.600e-02
1.875e-01,2.600e-02
1.925e-01,3.600e-02
1.975e-01,3.200e-02
2.025e-01,2.600e-02
2.075e-01,3.600e-02
2.125e-01,4.000e-02
2.175e-01,3.000e-02
2.225e-01,4.800e-02
2.275e-01,4.600e-02
2.325e-01,5.800e-02
2.375e-01,4.400e-02
2.425e-01,5.600e-02
2.475e-01,6.200e-02
2.525e-01,5.800e-02
2.575e-01,7.200e-02
2.625e-01,6.000e-02
2.675e-01,7.000e-02
2.725e-01,8.400e-02
2.775e-01,5.800e-02
2.825e-01,8.600e-02
2.875e-01,9.600e-02
2.925e-01,9.400e-02
2.975e-01,6.600e-02
3.025e-01,9.200e-02
3.075e-01,1.060e-01
3.125e-01,1.100e-01
3.175e-01,1.000e-01
3.225e-01,9.800e-02
3.275e-01,1.220e-01
3.325e-01,1.120e-01
3.375e-01,1.040e-01
3.425e-01,1.540e-01
3.475e-01,9.400e-02
3.525e-01,1.300e-01
3.575e-01,1.440e-01
3.625e-01,1.260e-01
3.675e-01,1.560e-01
3.725e-01,1.560e-01
3.775e-01,1.380e-01
3.825e-01,1.420e-01
3.875e-01,1.660e-01
3.925e-01,1.420e-01
3.975e-01,1.680e-01
4.025e-01,2.000e-01
4.075e-01,1.760e-01
4.125e-01,2.320e-01
4.175e-01,2.380e-01
4.225e-01,2.120e-01
4.275e-01,2.200e-01
4.325e-01,2.460e-01
4.375e-01,2.380e-01
4.425e-01,2.380e-01
4.475e-01,2.620e-01
4.525e-01,2.960e-01
4.575e-01,2.740e-01
4.625e-01,3.100e-01
4.675e-01,3.180e-01
4.725e-01,3.460e-01
4.775e-01,2.960e-01
4.825e-01,3.580e-01
4.875e-01,3.500e-01
4.925e-01,3.700e-01
4.975e-01,4.000e-01
5.025e-01,4.160e-01
5.075e-01,4.240e-01
5.125e-01,3.840e-01
5.175e-01,4.880e-01
5.225e-01,4.780e-01
5.275e-01,4.740e-01
5.325e-01,5.220e-01
5.375e-01,5.300e-01
5.425e-01,5.360e-01
5.475e-01,5.560e-01
5.525e-01,5.720e-01
5.575e-01,6.220e-01
5.625e-01,6.260e-01
5.675e-01,6.520e-01
5.725e-01,6.840e-01
5.775e-01,7.660e-01
5.825e-01,7.720e-01
5.875e-01,7.400e-01
5.925e-01,7.020e-01
5.975e-01,8.660e-01
6.025e-01,9.020e-01
6.075e-01,9.400e-01
6.125e-01,9.360e-01
6.175e-01,1.082e+00
6.225e-01,1.128e+00
6.275e-01,1.068e+00
6.325e-01,1.260e+00
6.375e-01,1.086e+00
6.425e-01,1.330e+00
6.475e-01,1.364e+00
6.525e-01,1.524e+00
6.575e-01,1.508e+00
6.625e-01,1.532e+00
6.675e-01,1.726e+00
6.725e-01,1.696e+00
6.775e-01,1.858e+00
6.825e-01,1.854e+00
6.875e-01,2.164e+00
6.925e-01,2.188e+00
6.975e-01,2.352e+00
7.025e-01,2.354e+00
7.075e-01,2.672e+00
7.125e-01,2.710e+00
7.175e-01,2.974e+00
7.225e-01,3.024e+00
7.275e-01,3.198e+00
7.325e-01,3.464e+00
7.375e-01,3.628e+00
7.425e-01,3.784e+00
7.475e-01,4.248e+00
7.525e-01,4.534e+00
7.575e-01,4.668e+00
7.625e-01,4.956e+00
7.675e-01,5.056e+00
7.725e-01,5.478e+00
7.775e-01,5.730e+00
7.825e-01,5.926e+00
7.875e-01,6.112e+00
7.925e-01,6.274e+00
7.975e-01,6.422e+00
8.025e-01,6.602e+00
8.075e-01,6.708e+00
8.125e-01,6.586e+00
8.175e-01,6.184e+00
8.225e-01,6.198e+00
8.275e-01,5.694e+00
8.325e-01,5.144e+00
8.375e-01,4.664e+00
8.425e-01,4.012e+00
8.475e-01,3.154e+00
8.525e-01,2.398e+00
8.575e-01,1.808e+00
8.625e-01,1.206e+00
8.675e-01,7.420e-01
8.725e-01,3.340e-01
8.775e-01,1.940e-01
8.825e-01,7.200e-02
8.875e-01,2.600e-02
8.925e-01,2.000e-03
8.975e-01,0.000e+00
9.025e-01,0.000e+00
9.075e-01,0.000e+00
9.125e-01,0.000e+00
9.175e-01,0.000e+00
9.225e-01,0.000e+00
9.275e-01,0.000e+00
9.325e-01,0.000e+00
9.375e-01,0.000e+00
9.425e-01,0.000e+00
9.475e-01,0.000e+00
9.525e-01,0.000e+00
9.575e-01,0.000e+00
9.625e-01,0.000e+00
9.675e-01,0.000e+00
9.725e-01,0.000e+00
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
