transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,1.202e-311
1.250e-02,2.954e-210
1.750e-02,1.638e-154
2.250e-02,1.347e-118
2.750e-02,1.970e-93
3.250e-02,7.329e-75
3.750e-02,1.132e-60
4.250e-02,1.459e-49
4.750e-02,1.045e-40
5.250e-02,1.471e-33
5.750e-02,9.828e-28
6.250e-02,5.866e-23
6.750e-02,4.995e-19
7.250e-02,8.650e-16
7.750e-02,4.006e-13
8.250e-02,6.148e-11
8.750e-02,3.712e-09
9.250e-02,1.012e-07
9.750e-02,1.396e-06
1.025e-01,1.068e-05
1.075e-01,4.898e-05
1.125e-01,1.438e-04
1.175e-01,2.860e-04
1.225e-01,4.069e-04
1.275e-01,4.452e-04
1.325e-01,4.317e-04
1.375e-01,4.716e-04
1.425e-01,6.416e-04
1.475e-01,9.172e-04
1.525e-01,1.191e-03
1.575e-01,1.354e-03
1.625e-01,1.368e-03
1.675e-01,1.274e-03
1.725e-01,1.154e-03
1.775e-01,1.083e-03
1.825e-01,1.096e-03
1.875e-01,1.184e-03
1.925e-01,1.305e-03
1.975e-01,1.411e-03
2.025e-01,1.477e-03
2.075e-01,1.517e-03
2.125e-01,1.577e-03
2.175e-01,1.719e-03
2.225e-01,1.993e-03
2.275e-01,2.426e-03
2.325e-01,3.017e-03
2.375e-01,3.740e-03
2.425e-01,4.561e-03
2.475e-01,5.444e-03
2.525e-01,6.359e-03
2.575e-01,7.283e-03
2.625e-01,8.204e-03
2.675e-01,9.116e-03
2.725e-01,1.002e-02
2.775e-01,1.094e-02
2.825e-01,1.187e-02
2.875e-01,1.283e-02
2.925e-01,1.384e-02
2.975e-01,1.491e-02
3.025e-01,1.605e-02
3.075e-01,1.726e-02
3.125e-01,1.854e-02
3.175e-01,1.991e-02
3.225e-01,2.137e-02
3.275e-01,2.293e-02
3.325e-01,2.459e-02
3.375e-01,2.636e-02
3.425e-01,2.824e-02
3.475e-01,3.025e-02
3.525e-01,3.239e-02
3.575e-01,3.468e-02
3.625e-01,3.713e-02
3.675e-01,3.976e-02
3.725e-01,4.260e-02
3.775e-01,4.567e-02
3.825e-01,4.899e-02
3.875e-01,5.258e-02
3.925e-01,5.647e-02
3.975e-01,6.069e-02
4.025e-01,6.527e-02
4.075e-01,7.023e-02
4.125e-01,7.562e-02
4.175e-01,8.146e-02
4.225e-01,8.779e-02
4.275e-01,9.464e-02
4.325e-01,1.020e-01
4.375e-01,1.100e-01
4.425e-01,1.185e-01
4.475e-01,1.275e-01
4.525e-01,1.370e-01
4.575e-01,1.471e-01
4.625e-01,1.576e-01
4.675e-01,1.686e-01
4.725e-01,1.800e-01
4.775e-01,1.918e-01
4.825e-01,2.040e-01
4.875e-01,2.167e-01
4.925e-01,2.298e-01
4.975e-01,2.434e-01
5.025e-01,2.576e-01
5.075e-01,2.723e-01
5.125e-01,2.878e-01
5.175e-01,3.039e-01
5.225e-01,3.209e-01
5.275e-01,3.387e-01
5.325e-01,3.574e-01
5.375e-01,3.772e-01
5.425e-01,3.981e-01
5.475e-01,4.202e-01
5.525e-01,4.435e-01
5.575e-01,4.680e-01
5.625e-01,4.940e-01
5.675e-01,5.214e-01
5.725e-01,5.503e-01
5.775e-01,5.808e-01
5.825e-01,6.130e-01
5.875e-01,6.470e-01
5.925e-01,6.828e-01
5.975e-01,7.205e-01
6.025e-01,7.603e-01
6.075e-01,8.023e-01
6.125e-01,8.465e-01
6.175e-01,8.931e-01
6.225e-01,9.423e-01
6.275e-01,9.941e-01
6.325e-01,1.049e+00
6.375e-01,1.106e+00
6.425e-01,1.167e+00
6.475e-01,1.231e+00
6.525e-01,1.298e+00
6.575e-01,1.369e+00
6.625e-01,1.443e+00
6.675e-01,1.522e+00
6.725e-01,1.604e+00
6.775e-01,1.691e+00
6.825e-01,1.782e+00
6.875e-01,1.877e+00
6.925e-01,1.977e+00
6.975e-01,2.081e+00
7.025e-01,2.190e+00
7.075e-01,2.302e+00
7.125e-01,2.419e+00
7.175e-01,2.539e+00
7.225e-01,2.663e+00
7.275e-01,2.790e+00
7.325e-01,2.919e+00
7.375e-01,3.049e+00
7.425e-01,3.180e+00
7.475e-01,3.310e+00
7.525e-01,3.439e+00
7.575e-01,3.564e+00
7.625e-01,3.686e+00
7.675e-01,3.802e+00
7.725e-01,3.911e+00
7.775e-01,4.011e+00
7.825e-01,4.102e+00
7.875e-01,4.181e+00
7.925e-01,4.247e+00
7.975e-01,4.300e+00
8.025e-01,4.337e+00
8.075e-01,4.359e+00
8.125e-01,4.365e+00
8.175e-01,4.354e+00
8.225e-01,4.325e+00
8.275e-01,4.280e+00
8.325e-01,4.218e+00
8.375e-01,4.140e+00
8.425e-01,4.046e+00
8.475e-01,3.938e+00
8.525e-01,3.817e+00
8.575e-01,3.684e+00
8.625e-01,3.541e+00
8.675e-01,3.389e+00
8.725e-01,3.230e+00
8.775e-01,3.065e+00
8.825e-01,2.897e+00
8.875e-01,2.726e+00
8.925e-01,2.554e+00
8.975e-01,2.384e+00
9.025e-01,2.215e+00
9.075e-01,2.051e+00
9.125e-01,1.890e+00
9.175e-01,1.735e+00
