transmittance,probability_density
4.630e-01,0.000e+00
4.657e-01,0.000e+00
4.684e-01,0.000e+00
4.711e-01,0.000e+00
4.737e-01,0.000e+00
4.764e-01,0.000e+00
4.791e-01,0.000e+00
4.818e-01,0.000e+00
4.845e-01,0.000e+00
4.872e-01,0.000e+00
4.899e-01,0.000e+00
4.926e-01,0.000e+00
4.953e-01,0.000e+00
4.980e-01,0.000e+00
5.007e-01,0.000e+00
5.034e-01,0.000e+00
5.061e-01,0.000e+00
5.087e-01,3.715e-03
5.114e-01,0.000e+00
5.141e-01,0.000e+00
5.168e-01,0.000e+00
5.195e-01,0.000e+00
5.222e-01,0.000e+00
5.249e-01,0.000e+00
5.276e-01,0.000e+00
5.303e-01,0.000e+00
5.330e-01,0.000e+00
5.357e-01,0.000e+00
5.384e-01,0.000e+00
5.410e-01,0.000e+00
5.437e-01,0.000e+00
5.464e-01,0.000e+00
5.491e-01,0.000e+00
5.518e-01,0.000e+00
5.545e-01,0.000e+00
5.572e-01,0.000e+00
5.599e-01,0.000e+00
5.626e-01,0.000e+00
5.653e-01,0.000e+00
5.680e-01,0.000e+00
5.707e-01,0.000e+00
5.733e-01,0.000e+00
5.760e-01,0.000e+00
5.787e-01,0.000e+00
5.814e-01,0.000e+00
5.841e-01,0.000e+00
5.868e-01,0.000e+00
5.895e-01,0.000e+00
5.922e-01,0.000e+00
5.949e-01,0.000e+00
5.976e-01,0.000e+00
6.003e-01,0.000e+00
6.030e-01,0.000e+00
6.056e-01,0.000e+00
6.083e-01,0.000e+00
6.110e-01,0.000e+00
6.137e-01,0.000e+00
6.164e-01,0.000e+00
6.191e-01,0.000e+00
6.218e-01,0.000e+00
6.245e-01,0.000e+00
6.272e-01,0.000e+00
6.299e-01,0.000e+00
6.326e-01,0.000e+00
6.353e-01,0.000e+00
6.380e-01,0.000e+00
6.406e-01,0.000e+00
6.433e-01,0.000e+00
6.460e-01,0.000e+00
6.487e-01,0.000e+00
6.514e-01,0.000e+00
6.541e-01,0.000e+00
