transmittance,probability_density
2.500e-03,3.420e-12
7.500e-03,2.252e-10
1.250e-02,1.705e-09
1.750e-02,6.673e-09
2.250e-02,1.883e-08
2.750e-02,4.365e-08
3.250e-02,8.866e-08
3.750e-02,1.638e-07
4.250e-02,2.817e-07
4.750e-02,4.581e-07
5.250e-02,7.123e-07
5.750e-02,1.067e-06
6.250e-02,1.550e-06
6.750e-02,2.194e-06
7.250e-02,3.035e-06
7.750e-02,4.116e-06
8.250e-02,5.488e-06
8.750e-02,7.205e-06
9.250e-02,9.331e-06
9.750e-02,1.194e-05
1.025e-01,1.511e-05
1.075e-01,1.893e-05
1.125e-01,2.349e-05
1.175e-01,2.892e-05
1.225e-01,3.533e-05
1.275e-01,4.286e-05
1.325e-01,5.165e-05
1.375e-01,6.187e-05
1.425e-01,7.369e-05
1.475e-01,8.731e-05
1.525e-01,1.029e-04
1.575e-01,1.208e-04
1.625e-01,1.412e-04
1.675e-01,1.643e-04
1.725e-01,1.905e-04
1.775e-01,2.200e-04
1.825e-01,2.533e-04
1.875e-01,2.906e-04
1.925e-01,3.324e-04
1.975e-01,3.791e-04
2.025e-01,4.312e-04
2.075e-01,4.892e-04
2.125e-01,5.536e-04
2.175e-01,6.249e-04
2.225e-01,7.037e-04
2.275e-01,7.909e-04
2.325e-01,8.869e-04
2.375e-01,9.925e-04
2.425e-01,1.109e-03
2.475e-01,1.236e-03
2.525e-01,1.376e-03
2.575e-01,1.528e-03
2.625e-01,1.695e-03
2.675e-01,1.878e-03
2.725e-01,2.076e-03
2.775e-01,2.293e-03
2.825e-01,2.528e-03
2.875e-01,2.784e-03
2.925e-01,3.061e-03
2.975e-01,3.362e-03
3.025e-01,3.688e-03
3.075e-01,4.040e-03
3.125e-01,4.422e-03
3.175e-01,4.834e-03
3.225e-01,5.278e-03
3.275e-01,5.758e-03
3.325e-01,6.275e-03
3.375e-01,6.831e-03
3.425e-01,7.430e-03
3.475e-01,8.074e-03
3.525e-01,8.766e-03
3.575e-01,9.510e-03
3.625e-01,1.031e-02
3.675e-01,1.116e-02
3.725e-01,1.208e-02
3.775e-01,1.306e-02
3.825e-01,1.411e-02
3.875e-01,1.524e-02
3.925e-01,1.644e-02
3.975e-01,1.773e-02
4.025e-01,1.910e-02
4.075e-01,2.057e-02
4.125e-01,2.214e-02
4.175e-01,2.381e-02
4.225e-01,2.559e-02
4.275e-01,2.749e-02
4.325e-01,2.951e-02
4.375e-01,3.167e-02
4.425e-01,3.396e-02
4.475e-01,3.640e-02
4.525e-01,3.900e-02
4.575e-01,4.177e-02
4.625e-01,4.471e-02
4.675e-01,4.783e-02
4.725e-01,5.115e-02
4.775e-01,5.467e-02
4.825e-01,5.841e-02
4.875e-01,6.238e-02
4.925e-01,6.660e-02
4.975e-01,7.107e-02
5.025e-01,7.582e-02
5.075e-01,8.085e-02
5.125e-01,8.618e-02
5.175e-01,9.183e-02
5.225e-01,9.783e-02
5.275e-01,1.042e-01
5.325e-01,1.109e-01
5.375e-01,1.180e-01
5.425e-01,1.256e-01
5.475e-01,1.336e-01
5.525e-01,1.420e-01
5.575e-01,1.510e-01
5.625e-01,1.604e-01
5.675e-01,1.704e-01
5.725e-01,1.811e-01
5.775e-01,1.923e-01
5.825e-01,2.041e-01
5.875e-01,2.167e-01
5.925e-01,2.300e-01
5.975e-01,2.440e-01
6.025e-01,2.589e-01
6.075e-01,2.746e-01
6.125e-01,2.912e-01
6.175e-01,3.088e-01
6.225e-01,3.273e-01
6.275e-01,3.470e-01
6.325e-01,3.677e-01
6.375e-01,3.897e-01
6.425e-01,4.129e-01
6.475e-01,4.375e-01
6.525e-01,4.635e-01
6.575e-01,4.910e-01
6.625e-01,5.201e-01
6.675e-01,5.508e-01
6.725e-01,5.834e-01
6.775e-01,6.178e-01
6.825e-01,6.543e-01
6.875e-01,6.929e-01
6.925e-01,7.338e-01
6.975e-01,7.771e-01
7.025e-01,8.229e-01
7.075e-01,8.715e-01
7.125e-01,9.230e-01
7.175e-01,9.776e-01
7.225e-01,1.035e+00
7.275e-01,1.097e+00
7.325e-01,1.162e+00
7.375e-01,1.231e+00
7.425e-01,1.305e+00
7.475e-01,1.383e+00
7.525e-01,1.466e+00
7.575e-01,1.555e+00
7.625e-01,1.649e+00
7.675e-01,1.749e+00
7.725e-01,1.856e+00
7.775e-01,1.970e+00
7.825e-01,2.092e+00
7.875e-01,2.222e+00
7.925e-01,2.362e+00
7.975e-01,2.511e+00
8.025e-01,2.671e+00
8.075e-01,2.843e+00
8.125e-01,3.029e+00
8.175e-01,3.228e+00
8.225e-01,3.444e+00
8.275e-01,3.677e+00
8.325e-01,3.930e+00
8.375e-01,4.206e+00
8.425e-01,4.506e+00
8.475e-01,4.835e+00
8.525e-01,5.198e+00
8.575e-01,5.598e+00
8.625e-01,6.044e+00
8.675e-01,6.543e+00
8.725e-01,7.108e+00
8.775e-01,7.756e+00
8.825e-01,8.508e+00
8.875e-01,9.403e+00
8.925e-01,1.050e+01
8.975e-01,1.192e+01
9.025e-01,1.393e+01
9.075e-01,1.750e+01
9.125e-01,0.000e+00
9.175e-01,0.000e+00
9.225e-01,0.000e+00
9.275e-01,0.000e+00
9.325e-01,0.000e+00
9.375e-01,0.000e+00
9.425e-01,0.000e+00
9.475e-01,0.000e+00
9.525e-01,0.000e+00
9.575e-01,0.000e+00
9.625e-01,0.000e+00
9.675e-01,0.000e+00
9.725e-01,0.000e+00
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
