transmittance,probability_density
2.500e-03,1.419e-14
7.500e-03,1.237e-11
1.250e-02,2.870e-10
1.750e-02,2.270e-09
2.250e-02,1.061e-08
2.750e-02,3.631e-08
3.250e-02,1.009e-07
3.750e-02,2.420e-07
4.250e-02,5.195e-07
4.750e-02,1.023e-06
5.250e-02,1.881e-06
5.750e-02,3.269e-06
6.250e-02,5.421e-06
6.750e-02,8.640e-06
7.250e-02,1.331e-05
7.750e-02,1.991e-05
8.250e-02,2.902e-05
8.750e-02,4.135e-05
9.250e-02,5.775e-05
9.750e-02,7.919e-05
1.025e-01,1.068e-04
1.075e-01,1.420e-04
1.125e-01,1.863e-04
1.175e-01,2.414e-04
1.225e-01,3.093e-04
1.275e-01,3.922e-04
1.325e-01,4.926e-04
1.375e-01,6.133e-04
1.425e-01,7.572e-04
1.475e-01,9.279e-04
1.525e-01,1.129e-03
1.575e-01,1.364e-03
1.625e-01,1.638e-03
1.675e-01,1.956e-03
1.725e-01,2.322e-03
1.775e-01,2.742e-03
1.825e-01,3.223e-03
1.875e-01,3.770e-03
1.925e-01,4.390e-03
1.975e-01,5.090e-03
2.025e-01,5.879e-03
2.075e-01,6.763e-03
2.125e-01,7.753e-03
2.175e-01,8.856e-03
2.225e-01,1.008e-02
2.275e-01,1.144e-02
2.325e-01,1.295e-02
2.375e-01,1.461e-02
2.425e-01,1.643e-02
2.475e-01,1.844e-02
2.525e-01,2.063e-02
2.575e-01,2.303e-02
2.625e-01,2.565e-02
2.675e-01,2.849e-02
2.725e-01,3.158e-02
2.775e-01,3.494e-02
2.825e-01,3.857e-02
2.875e-01,4.249e-02
2.925e-01,4.671e-02
2.975e-01,5.126e-02
3.025e-01,5.615e-02
3.075e-01,6.140e-02
3.125e-01,6.703e-02
3.175e-01,7.304e-02
3.225e-01,7.947e-02
3.275e-01,8.633e-02
3.325e-01,9.364e-02
3.375e-01,1.014e-01
3.425e-01,1.097e-01
3.475e-01,1.184e-01
3.525e-01,1.277e-01
3.575e-01,1.376e-01
3.625e-01,1.480e-01
3.675e-01,1.590e-01
3.725e-01,1.706e-01
3.775e-01,1.828e-01
3.825e-01,1.956e-01
3.875e-01,2.091e-01
3.925e-01,2.233e-01
3.975e-01,2.382e-01
4.025e-01,2.538e-01
4.075e-01,2.702e-01
4.125e-01,2.873e-01
4.175e-01,3.051e-01
4.225e-01,3.238e-01
4.275e-01,3.432e-01
4.325e-01,3.635e-01
4.375e-01,3.846e-01
4.425e-01,4.065e-01
4.475e-01,4.293e-01
4.525e-01,4.530e-01
4.575e-01,4.775e-01
4.625e-01,5.029e-01
4.675e-01,5.292e-01
4.725e-01,5.565e-01
4.775e-01,5.846e-01
4.825e-01,6.137e-01
4.875e-01,6.436e-01
