transmittance,probability_density
2.192e-03,5.119e-04
6.576e-03,4.764e-03
1.096e-02,1.482e-02
1.534e-02,3.066e-02
1.973e-02,5.169e-02
2.411e-02,7.757e-02
2.850e-02,1.082e-01
3.288e-02,1.434e-01
3.726e-02,1.828e-01
4.165e-02,2.263e-01
4.603e-02,2.732e-01
5.042e-02,3.233e-01
5.480e-02,3.759e-01
5.918e-02,4.307e-01
6.357e-02,4.872e-01
6.795e-02,5.450e-01
7.234e-02,6.038e-01
7.672e-02,6.632e-01
8.110e-02,7.229e-01
8.549e-02,7.826e-01
8.987e-02,8.422e-01
9.426e-02,9.012e-01
9.864e-02,9.597e-01
1.030e-01,1.017e+00
1.074e-01,1.074e+00
1.118e-01,1.130e+00
1.162e-01,1.184e+00
1.206e-01,1.237e+00
1.249e-01,1.289e+00
1.293e-01,1.339e+00
1.337e-01,1.388e+00
1.381e-01,1.436e+00
1.425e-01,1.481e+00
1.469e-01,1.525e+00
1.512e-01,1.568e+00
1.556e-01,1.609e+00
1.600e-01,1.648e+00
1.644e-01,1.686e+00
1.688e-01,1.721e+00
1.732e-01,1.756e+00
1.776e-01,1.788e+00
1.819e-01,1.819e+00
1.863e-01,1.848e+00
1.907e-01,1.876e+00
1.951e-01,1.902e+00
1.995e-01,1.927e+00
2.039e-01,1.950e+00
2.082e-01,1.971e+00
2.126e-01,1.991e+00
2.170e-01,2.010e+00
2.214e-01,2.027e+00
2.258e-01,2.042e+00
2.302e-01,2.057e+00
2.345e-01,2.070e+00
2.389e-01,2.081e+00
2.433e-01,2.092e+00
2.477e-01,2.101e+00
2.521e-01,2.108e+00
2.565e-01,2.115e+00
2.609e-01,2.121e+00
2.652e-01,2.125e+00
2.696e-01,2.128e+00
2.740e-01,2.130e+00
2.784e-01,2.131e+00
2.828e-01,2.131e+00
2.872e-01,2.130e+00
2.915e-01,2.129e+00
2.959e-01,2.126e+00
3.003e-01,2.122e+00
3.047e-01,2.118e+00
3.091e-01,2.112e+00
3.135e-01,2.106e+00
3.178e-01,2.099e+00
3.222e-01,2.091e+00
3.266e-01,2.083e+00
3.310e-01,2.073e+00
3.354e-01,2.064e+00
3.398e-01,2.053e+00
3.441e-01,2.042e+00
3.485e-01,2.030e+00
3.529e-01,2.018e+00
3.573e-01,2.005e+00
3.617e-01,1.991e+00
3.661e-01,1.978e+00
3.705e-01,1.963e+00
3.748e-01,1.948e+00
3.792e-01,1.933e+00
3.836e-01,1.917e+00
3.880e-01,1.901e+00
3.924e-01,1.884e+00
3.968e-01,1.867e+00
4.011e-01,1.850e+00
4.055e-01,1.832e+00
4.099e-01,1.814e+00
4.143e-01,1.796e+00
4.187e-01,1.777e+00
4.231e-01,1.759e+00
4.274e-01,1.739e+00
4.318e-01,1.720e+00
4.362e-01,1.701e+00
4.406e-01,1.681e+00
4.450e-01,1.661e+00
4.494e-01,1.641e+00
4.537e-01,1.621e+00
4.581e-01,1.600e+00
4.625e-01,1.580e+00
4.669e-01,1.559e+00
4.713e-01,1.538e+00
4.757e-01,1.517e+00
4.801e-01,1.496e+00
4.844e-01,1.475e+00
4.888e-01,1.454e+00
4.932e-01,1.433e+00
4.976e-01,1.412e+00
5.020e-01,1.390e+00
5.064e-01,1.369e+00
5.107e-01,1.348e+00
5.151e-01,1.326e+00
5.195e-01,1.305e+00
5.239e-01,1.284e+00
5.283e-01,1.263e+00
5.327e-01,1.241e+00
5.370e-01,1.220e+00
5.414e-01,1.199e+00
5.458e-01,1.178e+00
5.502e-01,1.157e+00
5.546e-01,1.136e+00
5.590e-01,1.115e+00
5.634e-01,1.094e+00
5.677e-01,1.074e+00
5.721e-01,1.053e+00
5.765e-01,1.033e+00
5.809e-01,1.012e+00
5.853e-01,9.919e-01
5.897e-01,9.718e-01
5.940e-01,9.517e-01
5.984e-01,9.319e-01
6.028e-01,9.121e-01
6.072e-01,8.925e-01
6.116e-01,8.730e-01
6.160e-01,8.537e-01
6.203e-01,8.345e-01
6.247e-01,8.155e-01
6.291e-01,7.967e-01
6.335e-01,7.780e-01
6.379e-01,7.595e-01
6.423e-01,7.412e-01
6.466e-01,7.231e-01
6.510e-01,7.051e-01
6.554e-01,6.874e-01
6.598e-01,6.698e-01
6.642e-01,6.524e-01
6.686e-01,6.352e-01
6.730e-01,6.182e-01
6.773e-01,6.015e-01
6.817e-01,5.849e-01
6.861e-01,5.685e-01
6.905e-01,5.524e-01
6.949e-01,5.364e-01
6.993e-01,5.207e-01
7.036e-01,5.052e-01
7.080e-01,4.899e-01
7.124e-01,4.748e-01
7.168e-01,4.600e-01
7.212e-01,4.454e-01
7.256e-01,4.310e-01
7.299e-01,4.168e-01
7.343e-01,4.029e-01
7.387e-01,3.892e-01
7.431e-01,3.757e-01
7.475e-01,3.625e-01
7.519e-01,3.495e-01
7.562e-01,3.367e-01
7.606e-01,3.242e-01
7.650e-01,3.119e-01
7.694e-01,2.999e-01
7.738e-01,2.881e-01
7.782e-01,2.765e-01
7.826e-01,2.652e-01
7.869e-01,2.541e-01
7.913e-01,2.433e-01
7.957e-01,2.327e-01
8.001e-01,2.223e-01
8.045e-01,2.122e-01
8.089e-01,2.024e-01
8.132e-01,1.927e-01
8.176e-01,1.833e-01
8.220e-01,1.742e-01
8.264e-01,1.653e-01
8.308e-01,1.567e-01
8.352e-01,1.483e-01
8.395e-01,1.401e-01
8.439e-01,1.322e-01
8.483e-01,1.245e-01
8.527e-01,1.171e-01
8.571e-01,1.099e-01
8.615e-01,1.029e-01
8.658e-01,9.621e-02
8.702e-01,8.974e-02
8.746e-01,8.350e-02
