transmittance,probability_density
1.334e-03,2.854e-01
4.002e-03,4.916e+00
6.670e-03,1.078e+01
9.338e-03,1.499e+01
1.201e-02,1.741e+01
1.467e-02,1.849e+01
1.734e-02,1.867e+01
2.001e-02,1.829e+01
2.268e-02,1.757e+01
2.535e-02,1.667e+01
2.801e-02,1.568e+01
3.068e-02,1.466e+01
3.335e-02,1.365e+01
3.602e-02,1.268e+01
3.869e-02,1.176e+01
4.135e-02,1.089e+01
4.402e-02,1.009e+01
4.669e-02,9.339e+00
4.936e-02,8.647e+00
5.203e-02,8.009e+00
5.470e-02,7.422e+00
5.736e-02,6.881e+00
6.003e-02,6.385e+00
6.270e-02,5.928e+00
6.537e-02,5.508e+00
6.804e-02,5.122e+00
7.070e-02,4.767e+00
7.337e-02,4.440e+00
7.604e-02,4.140e+00
7.871e-02,3.862e+00
8.138e-02,3.607e+00
8.404e-02,3.371e+00
8.671e-02,3.153e+00
8.938e-02,2.951e+00
9.205e-02,2.765e+00
9.472e-02,2.592e+00
9.738e-02,2.432e+00
1.001e-01,2.284e+00
1.027e-01,2.146e+00
1.054e-01,2.018e+00
1.081e-01,1.899e+00
1.107e-01,1.788e+00
1.134e-01,1.685e+00
1.161e-01,1.589e+00
1.187e-01,1.499e+00
1.214e-01,1.415e+00
1.241e-01,1.337e+00
1.267e-01,1.264e+00
1.294e-01,1.195e+00
1.321e-01,1.131e+00
1.347e-01,1.071e+00
1.374e-01,1.015e+00
1.401e-01,9.624e-01
1.427e-01,9.129e-01
1.454e-01,8.663e-01
1.481e-01,8.226e-01
1.507e-01,7.815e-01
1.534e-01,7.427e-01
1.561e-01,7.063e-01
1.587e-01,6.719e-01
1.614e-01,6.396e-01
1.641e-01,6.090e-01
1.668e-01,5.802e-01
1.694e-01,5.530e-01
1.721e-01,5.272e-01
1.748e-01,5.029e-01
1.774e-01,4.799e-01
1.801e-01,4.582e-01
1.828e-01,4.376e-01
1.854e-01,4.181e-01
1.881e-01,3.996e-01
1.908e-01,3.821e-01
1.934e-01,3.655e-01
1.961e-01,3.497e-01
1.988e-01,3.347e-01
2.014e-01,3.205e-01
2.041e-01,3.070e-01
2.068e-01,2.941e-01
2.094e-01,2.819e-01
2.121e-01,2.703e-01
2.148e-01,2.593e-01
2.174e-01,2.487e-01
2.201e-01,2.387e-01
2.228e-01,2.292e-01
2.255e-01,2.201e-01
2.281e-01,2.114e-01
2.308e-01,2.031e-01
2.335e-01,1.952e-01
2.361e-01,1.877e-01
2.388e-01,1.805e-01
2.415e-01,1.736e-01
2.441e-01,1.670e-01
2.468e-01,1.608e-01
2.495e-01,1.548e-01
2.521e-01,1.490e-01
2.548e-01,1.435e-01
2.575e-01,1.383e-01
2.601e-01,1.332e-01
2.628e-01,1.284e-01
2.655e-01,1.238e-01
2.681e-01,1.194e-01
2.708e-01,1.152e-01
2.735e-01,1.111e-01
2.761e-01,1.072e-01
2.788e-01,1.035e-01
2.815e-01,9.991e-02
2.841e-01,9.647e-02
2.868e-01,9.317e-02
2.895e-01,9.001e-02
2.922e-01,8.697e-02
2.948e-01,8.405e-02
2.975e-01,8.124e-02
3.002e-01,7.854e-02
3.028e-01,7.595e-02
3.055e-01,7.346e-02
3.082e-01,7.106e-02
3.108e-01,6.875e-02
3.135e-01,6.653e-02
3.162e-01,6.440e-02
3.188e-01,6.234e-02
3.215e-01,6.036e-02
3.242e-01,5.846e-02
3.268e-01,5.662e-02
3.295e-01,5.485e-02
3.322e-01,5.315e-02
3.348e-01,5.150e-02
3.375e-01,4.992e-02
3.402e-01,4.839e-02
3.428e-01,4.692e-02
3.455e-01,4.550e-02
3.482e-01,4.413e-02
3.508e-01,4.281e-02
3.535e-01,4.153e-02
3.562e-01,4.030e-02
3.589e-01,3.911e-02
3.615e-01,3.796e-02
3.642e-01,3.685e-02
3.669e-01,3.578e-02
3.695e-01,3.474e-02
3.722e-01,3.374e-02
3.749e-01,3.277e-02
3.775e-01,3.184e-02
3.802e-01,3.093e-02
3.829e-01,3.006e-02
3.855e-01,2.921e-02
3.882e-01,2.839e-02
3.909e-01,2.760e-02
3.935e-01,2.683e-02
3.962e-01,2.609e-02
3.989e-01,2.538e-02
4.015e-01,2.468e-02
4.042e-01,2.401e-02
4.069e-01,2.336e-02
4.095e-01,2.273e-02
4.122e-01,2.211e-02
4.149e-01,2.152e-02
4.175e-01,2.095e-02
4.202e-01,2.039e-02
4.229e-01,1.985e-02
4.256e-01,1.933e-02
4.282e-01,1.882e-02
4.309e-01,1.833e-02
4.336e-01,1.786e-02
4.362e-01,1.739e-02
4.389e-01,1.695e-02
4.416e-01,1.651e-02
4.442e-01,1.609e-02
4.469e-01,1.568e-02
4.496e-01,1.528e-02
4.522e-01,1.490e-02
4.549e-01,1.452e-02
4.576e-01,1.416e-02
4.602e-01,1.381e-02
4.629e-01,1.346e-02
4.656e-01,1.313e-02
4.682e-01,1.281e-02
4.709e-01,1.249e-02
4.736e-01,1.219e-02
4.762e-01,1.189e-02
4.789e-01,1.160e-02
4.816e-01,1.132e-02
4.843e-01,1.105e-02
4.869e-01,1.078e-02
4.896e-01,1.053e-02
4.923e-01,1.028e-02
4.949e-01,1.003e-02
4.976e-01,9.795e-03
5.003e-01,9.564e-03
5.029e-01,9.340e-03
5.056e-01,9.122e-03
5.083e-01,8.910e-03
5.109e-01,8.703e-03
5.136e-01,8.502e-03
5.163e-01,8.306e-03
5.189e-01,8.116e-03
5.216e-01,7.930e-03
5.243e-01,7.750e-03
5.269e-01,7.574e-03
5.296e-01,7.403e-03
5.323e-01,7.236e-03
