transmittance,probability_density
2.500e-03,6.409e-06
7.500e-03,2.240e-04
1.250e-02,1.065e-03
1.750e-02,2.800e-03
2.250e-02,5.509e-03
2.750e-02,9.135e-03
3.250e-02,1.353e-02
3.750e-02,1.853e-02
4.250e-02,2.393e-02
4.750e-02,2.959e-02
5.250e-02,3.537e-02
5.750e-02,4.116e-02
6.250e-02,4.689e-02
6.750e-02,5.253e-02
7.250e-02,5.805e-02
7.750e-02,6.343e-02
8.250e-02,6.870e-02
8.750e-02,7.386e-02
9.250e-02,7.894e-02
9.750e-02,8.395e-02
1.025e-01,8.892e-02
1.075e-01,9.388e-02
1.125e-01,9.883e-02
1.175e-01,1.038e-01
1.225e-01,1.088e-01
1.275e-01,1.139e-01
1.325e-01,1.190e-01
1.375e-01,1.242e-01
1.425e-01,1.294e-01
1.475e-01,1.347e-01
1.525e-01,1.401e-01
1.575e-01,1.456e-01
1.625e-01,1.511e-01
1.675e-01,1.567e-01
1.725e-01,1.623e-01
1.775e-01,1.680e-01
1.825e-01,1.737e-01
1.875e-01,1.795e-01
1.925e-01,1.852e-01
1.975e-01,1.910e-01
2.025e-01,1.967e-01
2.075e-01,2.025e-01
2.125e-01,2.082e-01
2.175e-01,2.140e-01
2.225e-01,2.197e-01
2.275e-01,2.254e-01
2.325e-01,2.312e-01
2.375e-01,2.369e-01
2.425e-01,2.426e-01
2.475e-01,2.483e-01
2.525e-01,2.540e-01
2.575e-01,2.598e-01
2.625e-01,2.656e-01
2.675e-01,2.714e-01
2.725e-01,2.773e-01
2.775e-01,2.833e-01
2.825e-01,2.894e-01
2.875e-01,2.956e-01
2.925e-01,3.019e-01
2.975e-01,3.084e-01
3.025e-01,3.151e-01
3.075e-01,3.219e-01
3.125e-01,3.290e-01
3.175e-01,3.362e-01
3.225e-01,3.438e-01
3.275e-01,3.516e-01
3.325e-01,3.597e-01
3.375e-01,3.681e-01
3.425e-01,3.769e-01
3.475e-01,3.860e-01
3.525e-01,3.956e-01
3.575e-01,4.055e-01
3.625e-01,4.159e-01
3.675e-01,4.268e-01
3.725e-01,4.382e-01
3.775e-01,4.501e-01
3.825e-01,4.625e-01
3.875e-01,4.755e-01
3.925e-01,4.892e-01
3.975e-01,5.034e-01
4.025e-01,5.184e-01
4.075e-01,5.340e-01
4.125e-01,5.503e-01
4.175e-01,5.674e-01
4.225e-01,5.852e-01
4.275e-01,6.038e-01
4.325e-01,6.232e-01
4.375e-01,6.435e-01
4.425e-01,6.646e-01
4.475e-01,6.867e-01
4.525e-01,7.096e-01
4.575e-01,7.335e-01
4.625e-01,7.584e-01
4.675e-01,7.843e-01
4.725e-01,8.112e-01
4.775e-01,8.392e-01
4.825e-01,8.683e-01
4.875e-01,8.986e-01
4.925e-01,9.300e-01
4.975e-01,9.626e-01
5.025e-01,9.965e-01
5.075e-01,1.032e+00
5.125e-01,1.068e+00
5.175e-01,1.106e+00
5.225e-01,1.146e+00
5.275e-01,1.187e+00
5.325e-01,1.229e+00
5.375e-01,1.274e+00
5.425e-01,1.320e+00
5.475e-01,1.368e+00
5.525e-01,1.418e+00
5.575e-01,1.470e+00
5.625e-01,1.524e+00
5.675e-01,1.581e+00
5.725e-01,1.640e+00
5.775e-01,1.701e+00
5.825e-01,1.765e+00
5.875e-01,1.832e+00
5.925e-01,1.901e+00
5.975e-01,1.973e+00
6.025e-01,2.048e+00
6.075e-01,2.126e+00
6.125e-01,2.207e+00
6.175e-01,2.291e+00
6.225e-01,2.378e+00
6.275e-01,2.467e+00
6.325e-01,2.559e+00
6.375e-01,2.653e+00
6.425e-01,2.749e+00
6.475e-01,2.846e+00
6.525e-01,2.944e+00
6.575e-01,3.043e+00
6.625e-01,3.142e+00
6.675e-01,3.240e+00
6.725e-01,3.335e+00
6.775e-01,3.428e+00
6.825e-01,3.517e+00
6.875e-01,3.601e+00
6.925e-01,3.679e+00
6.975e-01,3.749e+00
7.025e-01,3.810e+00
7.075e-01,3.861e+00
7.125e-01,3.900e+00
7.175e-01,3.926e+00
7.225e-01,3.938e+00
7.275e-01,3.935e+00
7.325e-01,3.916e+00
7.375e-01,3.879e+00
7.425e-01,3.825e+00
7.475e-01,3.754e+00
7.525e-01,3.665e+00
7.575e-01,3.558e+00
7.625e-01,3.434e+00
7.675e-01,3.294e+00
7.725e-01,3.140e+00
7.775e-01,2.973e+00
7.825e-01,2.795e+00
7.875e-01,2.608e+00
7.925e-01,2.414e+00
7.975e-01,2.216e+00
8.025e-01,2.017e+00
