transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,0.000e+00
3.250e-02,0.000e+00
3.750e-02,0.000e+00
4.250e-02,0.000e+00
4.750e-02,0.000e+00
5.250e-02,0.000e+00
5.750e-02,0.000e+00
6.250e-02,0.000e+00
6.750e-02,0.000e+00
7.250e-02,0.000e+00
7.750e-02,6.000e-03
8.250e-02,6.000e-03
8.750e-02,4.000e-03
9.250e-02,1.200e-02
9.750e-02,1.400e-02
1.025e-01,2.200e-02
1.075e-01,2.600e-02
1.125e-01,2.800e-02
1.175e-01,3.800e-02
1.225e-01,6.800e-02
1.275e-01,9.200e-02
1.325e-01,8.800e-02
1.375e-01,1.180e-01
1.425e-01,1.280e-01
1.475e-01,1.700e-01
1.525e-01,2.140e-01
1.575e-01,2.120e-01
1.625e-01,2.900e-01
1.675e-01,3.460e-01
1.725e-01,3.100e-01
1.775e-01,3.740e-01
1.825e-01,4.220e-01
1.875e-01,4.940e-01
1.925e-01,5.100e-01
1.975e-01,5.660e-01
2.025e-01,6.200e-01
2.075e-01,6.720e-01
2.125e-01,7.020e-01
2.175e-01,7.480e-01
2.225e-01,8.420e-01
2.275e-01,8.660e-01
2.325e-01,1.066e+00
2.375e-01,1.006e+00
2.425e-01,1.112e+00
2.475e-01,1.192e+00
2.525e-01,1.202e+00
2.575e-01,1.290e+00
2.625e-01,1.346e+00
2.675e-01,1.530e+00
2.725e-01,1.538e+00
2.775e-01,1.726e+00
2.825e-01,1.758e+00
2.875e-01,1.594e+00
2.925e-01,1.890e+00
2.975e-01,1.922e+00
3.025e-01,2.088e+00
3.075e-01,2.116e+00
3.125e-01,2.276e+00
3.175e-01,2.398e+00
3.225e-01,2.392e+00
3.275e-01,2.462e+00
3.325e-01,2.616e+00
3.375e-01,2.914e+00
3.425e-01,2.734e+00
3.475e-01,2.862e+00
3.525e-01,2.980e+00
3.575e-01,3.288e+00
3.625e-01,3.294e+00
3.675e-01,3.420e+00
3.725e-01,3.432e+00
3.775e-01,3.690e+00
3.825e-01,3.684e+00
3.875e-01,3.678e+00
3.925e-01,3.774e+00
3.975e-01,3.964e+00
4.025e-01,4.032e+00
4.075e-01,4.208e+00
4.125e-01,4.302e+00
4.175e-01,4.254e+00
4.225e-01,4.252e+00
4.275e-01,4.288e+00
4.325e-01,4.456e+00
4.375e-01,4.586e+00
4.425e-01,4.364e+00
4.475e-01,4.438e+00
4.525e-01,4.398e+00
4.575e-01,4.410e+00
4.625e-01,4.252e+00
4.675e-01,4.142e+00
4.725e-01,4.306e+00
4.775e-01,3.928e+00
4.825e-01,4.100e+00
4.875e-01,3.718e+00
4.925e-01,3.546e+00
4.975e-01,3.220e+00
5.025e-01,3.124e+00
5.075e-01,2.790e+00
5.125e-01,2.878e+00
5.175e-01,2.530e+00
5.225e-01,2.320e+00
5.275e-01,1.976e+00
5.325e-01,1.740e+00
5.375e-01,1.662e+00
5.425e-01,1.366e+00
5.475e-01,1.286e+00
5.525e-01,1.068e+00
5.575e-01,9.020e-01
5.625e-01,8.320e-01
5.675e-01,6.920e-01
5.725e-01,5.360e-01
5.775e-01,4.880e-01
5.825e-01,3.460e-01
5.875e-01,2.140e-01
5.925e-01,2.100e-01
5.975e-01,1.380e-01
6.025e-01,1.040e-01
6.075e-01,1.180e-01
6.125e-01,7.800e-02
6.175e-01,4.400e-02
6.225e-01,3.200e-02
6.275e-01,3.400e-02
6.325e-01,1.600e-02
6.375e-01,1.400e-02
6.425e-01,8.000e-03
6.475e-01,2.000e-03
6.525e-01,2.000e-03
6.575e-01,2.000e-03
6.625e-01,2.000e-03
6.675e-01,0.000e+00
6.725e-01,2.000e-03
6.775e-01,0.000e+00
6.825e-01,2.000e-03
6.875e-01,0.000e+00
6.925e-01,0.000e+00
6.975e-01,0.000e+00
7.025e-01,0.000e+00
7.075e-01,0.000e+00
7.125e-01,0.000e+00
7.175e-01,0.000e+00
7.225e-01,0.000e+00
7.275e-01,0.000e+00
7.325e-01,0.000e+00
7.375e-01,0.000e+00
7.425e-01,0.000e+00
7.475e-01,0.000e+00
7.525e-01,0.000e+00
7.575e-01,0.000e+00
7.625e-01,0.000e+00
7.675e-01,0.000e+00
7.725e-01,0.000e+00
7.775e-01,0.000e+00
7.825e-01,0.000e+00
7.875e-01,0.000e+00
7.925e-01,0.000e+00
7.975e-01,0.000e+00
8.025e-01,0.000e+00
8.075e-01,0.000e+00
8.125e-01,0.000e+00
8.175e-01,0.000e+00
8.225e-01,0.000e+00
8.275e-01,0.000e+00
8.325e-01,0.000e+00
8.375e-01,0.000e+00
8.425e-01,0.000e+00
8.475e-01,0.000e+00
8.525e-01,0.000e+00
8.575e-01,0.000e+00
8.625e-01,0.000e+00
8.675e-01,0.000e+00
8.725e-01,0.000e+00
8.775e-01,0.000e+00
8.825e-01,0.000e+00
8.875e-01,0.000e+00
8.925e-01,0.000e+00
8.975e-01,0.000e+00
9.025e-01,0.000e+00
9.075e-01,0.000e+00
9.125e-01,0.000e+00
9.175e-01,0.000e+00
9.225e-01,0.000e+00
9.275e-01,0.000e+00
9.325e-01,0.000e+00
9.375e-01,0.000e+00
9.425e-01,0.000e+00
9.475e-01,0.000e+00
9.525e-01,0.000e+00
9.575e-01,0.000e+00
9.625e-01,0.000e+00
9.675e-01,0.000e+00
9.725e-01,0.000e+00
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
