transmittance,probability_density
2.500e-03,3.366e-08
7.500e-03,4.581e-04
1.250e-02,6.994e-03
1.750e-02,2.458e-02
2.250e-02,4.931e-02
2.750e-02,7.598e-02
3.250e-02,1.018e-01
3.750e-02,1.258e-01
4.250e-02,1.480e-01
4.750e-02,1.688e-01
5.250e-02,1.887e-01
5.750e-02,2.079e-01
6.250e-02,2.267e-01
6.750e-02,2.451e-01
7.250e-02,2.630e-01
7.750e-02,2.805e-01
8.250e-02,2.973e-01
8.750e-02,3.133e-01
9.250e-02,3.286e-01
9.750e-02,3.429e-01
1.025e-01,3.564e-01
1.075e-01,3.691e-01
1.125e-01,3.809e-01
1.175e-01,3.920e-01
1.225e-01,4.023e-01
1.275e-01,4.121e-01
1.325e-01,4.213e-01
1.375e-01,4.300e-01
1.425e-01,4.383e-01
1.475e-01,4.464e-01
1.525e-01,4.542e-01
1.575e-01,4.618e-01
1.625e-01,4.693e-01
1.675e-01,4.768e-01
1.725e-01,4.843e-01
1.775e-01,4.919e-01
1.825e-01,4.997e-01
1.875e-01,5.077e-01
1.925e-01,5.160e-01
1.975e-01,5.246e-01
2.025e-01,5.336e-01
2.075e-01,5.429e-01
2.125e-01,5.527e-01
2.175e-01,5.630e-01
2.225e-01,5.737e-01
2.275e-01,5.850e-01
2.325e-01,5.967e-01
2.375e-01,6.089e-01
2.425e-01,6.217e-01
2.475e-01,6.349e-01
2.525e-01,6.487e-01
2.575e-01,6.629e-01
2.625e-01,6.776e-01
2.675e-01,6.928e-01
2.725e-01,7.085e-01
2.775e-01,7.246e-01
2.825e-01,7.411e-01
2.875e-01,7.582e-01
2.925e-01,7.756e-01
2.975e-01,7.935e-01
3.025e-01,8.119e-01
3.075e-01,8.307e-01
3.125e-01,8.499e-01
3.175e-01,8.696e-01
3.225e-01,8.897e-01
3.275e-01,9.103e-01
3.325e-01,9.314e-01
3.375e-01,9.529e-01
3.425e-01,9.749e-01
3.475e-01,9.973e-01
3.525e-01,1.020e+00
3.575e-01,1.044e+00
3.625e-01,1.068e+00
3.675e-01,1.092e+00
3.725e-01,1.117e+00
3.775e-01,1.142e+00
3.825e-01,1.168e+00
3.875e-01,1.195e+00
3.925e-01,1.222e+00
3.975e-01,1.250e+00
4.025e-01,1.278e+00
4.075e-01,1.308e+00
4.125e-01,1.338e+00
4.175e-01,1.368e+00
4.225e-01,1.400e+00
4.275e-01,1.432e+00
4.325e-01,1.466e+00
4.375e-01,1.500e+00
4.425e-01,1.536e+00
4.475e-01,1.573e+00
4.525e-01,1.611e+00
4.575e-01,1.651e+00
4.625e-01,1.692e+00
4.675e-01,1.734e+00
4.725e-01,1.779e+00
4.775e-01,1.824e+00
4.825e-01,1.872e+00
4.875e-01,1.920e+00
4.925e-01,1.971e+00
4.975e-01,2.023e+00
5.025e-01,2.076e+00
5.075e-01,2.130e+00
5.125e-01,2.186e+00
5.175e-01,2.242e+00
5.225e-01,2.298e+00
5.275e-01,2.355e+00
5.325e-01,2.412e+00
5.375e-01,2.467e+00
5.425e-01,2.522e+00
5.475e-01,2.575e+00
5.525e-01,2.626e+00
5.575e-01,2.674e+00
5.625e-01,2.719e+00
5.675e-01,2.760e+00
5.725e-01,2.797e+00
5.775e-01,2.829e+00
5.825e-01,2.855e+00
5.875e-01,2.876e+00
5.925e-01,2.890e+00
5.975e-01,2.897e+00
6.025e-01,2.898e+00
6.075e-01,2.891e+00
6.125e-01,2.878e+00
6.175e-01,2.857e+00
6.225e-01,2.828e+00
6.275e-01,2.792e+00
6.325e-01,2.750e+00
6.375e-01,2.700e+00
6.425e-01,2.644e+00
6.475e-01,2.582e+00
6.525e-01,2.515e+00
6.575e-01,2.442e+00
6.625e-01,2.365e+00
6.675e-01,2.284e+00
6.725e-01,2.200e+00
6.775e-01,2.112e+00
6.825e-01,2.023e+00
6.875e-01,1.932e+00
6.925e-01,1.840e+00
6.975e-01,1.748e+00
7.025e-01,1.656e+00
7.075e-01,1.565e+00
7.125e-01,1.475e+00
7.175e-01,1.386e+00
7.225e-01,1.299e+00
7.275e-01,1.215e+00
7.325e-01,1.134e+00
7.375e-01,1.055e+00
7.425e-01,9.791e-01
7.475e-01,9.067e-01
7.525e-01,8.377e-01
7.575e-01,7.721e-01
7.625e-01,7.100e-01
7.675e-01,6.515e-01
7.725e-01,5.964e-01
7.775e-01,5.449e-01
7.825e-01,4.967e-01
7.875e-01,4.518e-01
7.925e-01,4.102e-01
7.975e-01,3.716e-01
8.025e-01,3.360e-01
8.075e-01,3.032e-01
8.125e-01,2.731e-01
8.175e-01,2.455e-01
