transmittance,probability_density
1.995e-03,1.588e-02
5.986e-03,3.555e-01
9.977e-03,9.689e-01
1.397e-02,1.547e+00
1.796e-02,2.048e+00
2.195e-02,2.290e+00
2.594e-02,2.635e+00
2.993e-02,2.869e+00
3.392e-02,2.991e+00
3.791e-02,2.943e+00
4.190e-02,2.995e+00
4.589e-02,3.094e+00
4.988e-02,3.111e+00
5.388e-02,3.230e+00
5.787e-02,3.145e+00
6.186e-02,3.080e+00
6.585e-02,3.041e+00
6.984e-02,3.056e+00
7.383e-02,3.056e+00
7.782e-02,2.871e+00
8.181e-02,3.000e+00
8.580e-02,2.927e+00
8.979e-02,2.863e+00
9.378e-02,2.808e+00
9.777e-02,2.733e+00
1.018e-01,2.800e+00
1.058e-01,2.839e+00
1.097e-01,2.756e+00
1.137e-01,2.595e+00
1.177e-01,2.645e+00
1.217e-01,2.615e+00
1.257e-01,2.573e+00
1.297e-01,2.510e+00
1.337e-01,2.528e+00
1.377e-01,2.445e+00
1.417e-01,2.417e+00
1.457e-01,2.522e+00
1.497e-01,2.462e+00
1.536e-01,2.337e+00
1.576e-01,2.514e+00
1.616e-01,2.307e+00
1.656e-01,2.284e+00
1.696e-01,2.325e+00
1.736e-01,2.211e+00
1.776e-01,2.274e+00
1.816e-01,2.229e+00
1.856e-01,2.087e+00
1.896e-01,2.194e+00
1.936e-01,2.062e+00
1.975e-01,2.123e+00
2.015e-01,2.093e+00
2.055e-01,2.126e+00
2.095e-01,2.012e+00
2.135e-01,2.089e+00
2.175e-01,1.956e+00
2.215e-01,2.055e+00
2.255e-01,2.077e+00
2.295e-01,1.992e+00
2.335e-01,2.062e+00
2.375e-01,1.979e+00
2.414e-01,1.971e+00
2.454e-01,1.915e+00
2.494e-01,1.922e+00
2.534e-01,1.906e+00
2.574e-01,1.882e+00
2.614e-01,1.872e+00
2.654e-01,1.938e+00
2.694e-01,1.902e+00
2.734e-01,1.751e+00
2.774e-01,1.830e+00
2.814e-01,1.833e+00
2.853e-01,1.863e+00
2.893e-01,1.825e+00
2.933e-01,1.802e+00
2.973e-01,1.723e+00
3.013e-01,1.742e+00
3.053e-01,1.726e+00
3.093e-01,1.690e+00
3.133e-01,1.783e+00
3.173e-01,1.785e+00
3.213e-01,1.711e+00
3.253e-01,1.618e+00
3.292e-01,1.646e+00
3.332e-01,1.696e+00
3.372e-01,1.690e+00
3.412e-01,1.646e+00
3.452e-01,1.635e+00
3.492e-01,1.620e+00
3.532e-01,1.619e+00
3.572e-01,1.576e+00
3.612e-01,1.549e+00
3.652e-01,1.527e+00
3.691e-01,1.469e+00
3.731e-01,1.459e+00
3.771e-01,1.557e+00
3.811e-01,1.417e+00
3.851e-01,1.447e+00
3.891e-01,1.389e+00
3.931e-01,1.377e+00
3.971e-01,1.381e+00
4.011e-01,1.421e+00
4.051e-01,1.360e+00
4.091e-01,1.258e+00
4.130e-01,1.312e+00
4.170e-01,1.256e+00
4.210e-01,1.251e+00
4.250e-01,1.241e+00
4.290e-01,1.208e+00
4.330e-01,1.163e+00
4.370e-01,1.098e+00
4.410e-01,1.133e+00
4.450e-01,1.096e+00
4.490e-01,1.069e+00
4.530e-01,1.034e+00
4.569e-01,9.457e-01
4.609e-01,1.012e+00
4.649e-01,9.359e-01
4.689e-01,9.835e-01
4.729e-01,9.469e-01
4.769e-01,8.259e-01
4.809e-01,8.895e-01
4.849e-01,7.978e-01
4.889e-01,7.942e-01
