transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,9.432e-303
1.750e-02,6.521e-208
2.250e-02,7.618e-149
2.750e-02,6.608e-109
3.250e-02,1.491e-80
3.750e-02,8.420e-60
4.250e-02,2.516e-44
4.750e-02,1.143e-32
5.250e-02,7.290e-24
5.750e-02,3.027e-17
6.250e-02,2.448e-12
6.750e-02,8.621e-09
7.250e-02,2.420e-06
7.750e-02,8.601e-05
8.250e-02,5.555e-04
8.750e-02,8.675e-04
9.250e-02,4.116e-04
9.750e-02,7.144e-05
1.025e-01,5.278e-06
1.075e-01,2.433e-07
1.125e-01,1.601e-06
1.175e-01,1.965e-05
1.225e-01,1.140e-04
1.275e-01,3.454e-04
1.325e-01,6.208e-04
1.375e-01,8.251e-04
1.425e-01,1.072e-03
1.475e-01,1.412e-03
1.525e-01,1.607e-03
1.575e-01,1.493e-03
1.625e-01,1.202e-03
1.675e-01,9.902e-04
1.725e-01,1.024e-03
1.775e-01,1.280e-03
1.825e-01,1.548e-03
1.875e-01,1.628e-03
1.925e-01,1.535e-03
1.975e-01,1.474e-03
2.025e-01,1.631e-03
2.075e-01,2.012e-03
2.125e-01,2.489e-03
2.175e-01,2.926e-03
2.225e-01,3.262e-03
2.275e-01,3.493e-03
2.325e-01,3.640e-03
2.375e-01,3.746e-03
2.425e-01,3.895e-03
2.475e-01,4.195e-03
2.525e-01,4.721e-03
2.575e-01,5.468e-03
2.625e-01,6.342e-03
2.675e-01,7.214e-03
2.725e-01,7.998e-03
2.775e-01,8.684e-03
2.825e-01,9.323e-03
2.875e-01,9.988e-03
2.925e-01,1.074e-02
2.975e-01,1.162e-02
3.025e-01,1.266e-02
3.075e-01,1.386e-02
3.125e-01,1.523e-02
3.175e-01,1.676e-02
3.225e-01,1.842e-02
3.275e-01,2.019e-02
3.325e-01,2.204e-02
3.375e-01,2.396e-02
3.425e-01,2.593e-02
3.475e-01,2.791e-02
3.525e-01,2.989e-02
3.575e-01,3.182e-02
3.625e-01,3.368e-02
3.675e-01,3.548e-02
3.725e-01,3.727e-02
3.775e-01,3.913e-02
3.825e-01,4.120e-02
3.875e-01,4.359e-02
3.925e-01,4.642e-02
3.975e-01,4.976e-02
4.025e-01,5.361e-02
4.075e-01,5.793e-02
4.125e-01,6.267e-02
4.175e-01,6.772e-02
4.225e-01,7.299e-02
4.275e-01,7.840e-02
4.325e-01,8.388e-02
4.375e-01,8.940e-02
4.425e-01,9.492e-02
4.475e-01,1.005e-01
4.525e-01,1.060e-01
4.575e-01,1.117e-01
4.625e-01,1.176e-01
4.675e-01,1.237e-01
4.725e-01,1.302e-01
4.775e-01,1.371e-01
4.825e-01,1.445e-01
4.875e-01,1.525e-01
4.925e-01,1.611e-01
4.975e-01,1.704e-01
5.025e-01,1.803e-01
5.075e-01,1.910e-01
5.125e-01,2.024e-01
5.175e-01,2.147e-01
5.225e-01,2.278e-01
5.275e-01,2.417e-01
5.325e-01,2.565e-01
5.375e-01,2.723e-01
5.425e-01,2.890e-01
5.475e-01,3.065e-01
5.525e-01,3.250e-01
5.575e-01,3.444e-01
5.625e-01,3.647e-01
5.675e-01,3.859e-01
5.725e-01,4.080e-01
5.775e-01,4.309e-01
5.825e-01,4.547e-01
5.875e-01,4.795e-01
5.925e-01,5.053e-01
5.975e-01,5.321e-01
6.025e-01,5.601e-01
6.075e-01,5.893e-01
6.125e-01,6.198e-01
6.175e-01,6.517e-01
6.225e-01,6.850e-01
6.275e-01,7.200e-01
6.325e-01,7.567e-01
6.375e-01,7.951e-01
6.425e-01,8.355e-01
6.475e-01,8.779e-01
6.525e-01,9.224e-01
6.575e-01,9.693e-01
6.625e-01,1.019e+00
6.675e-01,1.070e+00
6.725e-01,1.125e+00
6.775e-01,1.183e+00
6.825e-01,1.243e+00
6.875e-01,1.307e+00
6.925e-01,1.375e+00
6.975e-01,1.445e+00
7.025e-01,1.520e+00
7.075e-01,1.598e+00
7.125e-01,1.681e+00
7.175e-01,1.767e+00
7.225e-01,1.859e+00
7.275e-01,1.955e+00
7.325e-01,2.057e+00
7.375e-01,2.164e+00
7.425e-01,2.278e+00
7.475e-01,2.397e+00
7.525e-01,2.524e+00
7.575e-01,2.658e+00
7.625e-01,2.799e+00
7.675e-01,2.947e+00
7.725e-01,3.103e+00
7.775e-01,3.265e+00
7.825e-01,3.434e+00
7.875e-01,3.608e+00
7.925e-01,3.786e+00
7.975e-01,3.965e+00
8.025e-01,4.145e+00
8.075e-01,4.321e+00
8.125e-01,4.490e+00
8.175e-01,4.650e+00
8.225e-01,4.797e+00
8.275e-01,4.926e+00
8.325e-01,5.033e+00
8.375e-01,5.116e+00
8.425e-01,5.170e+00
8.475e-01,5.193e+00
8.525e-01,5.182e+00
8.575e-01,5.137e+00
8.625e-01,5.056e+00
8.675e-01,4.940e+00
8.725e-01,4.791e+00
8.775e-01,4.611e+00
8.825e-01,4.402e+00
8.875e-01,4.170e+00
8.925e-01,3.918e+00
8.975e-01,3.652e+00
9.025e-01,3.376e+00
9.075e-01,3.095e+00
9.125e-01,2.813e+00
9.175e-01,2.537e+00
9.225e-01,2.268e+00
9.275e-01,2.011e+00
9.325e-01,1.769e+00
9.375e-01,1.543e+00
9.425e-01,1.335e+00
9.475e-01,1.145e+00
9.525e-01,9.748e-01
9.575e-01,8.230e-01
9.625e-01,6.894e-01
9.675e-01,5.729e-01
9.725e-01,4.724e-01
9.775e-01,3.865e-01
9.825e-01,3.138e-01
9.875e-01,2.528e-01
9.925e-01,2.022e-01
9.975e-01,1.605e-01
