transmittance,probability_density
7.340e-01,0.000e+00
7.354e-01,0.000e+00
7.367e-01,0.000e+00
7.380e-01,0.000e+00
7.394e-01,0.000e+00
7.407e-01,0.000e+00
7.420e-01,0.000e+00
7.434e-01,0.000e+00
7.447e-01,0.000e+00
7.460e-01,0.000e+00
7.474e-01,0.000e+00
7.487e-01,0.000e+00
7.500e-01,0.000e+00
7.514e-01,0.000e+00
7.527e-01,0.000e+00
7.540e-01,0.000e+00
7.554e-01,0.000e+00
7.567e-01,0.000e+00
7.580e-01,0.000e+00
7.594e-01,0.000e+00
7.607e-01,0.000e+00
7.620e-01,0.000e+00
7.634e-01,0.000e+00
7.647e-01,0.000e+00
7.660e-01,0.000e+00
7.674e-01,0.000e+00
7.687e-01,0.000e+00
7.700e-01,0.000e+00
7.714e-01,0.000e+00
7.727e-01,0.000e+00
7.740e-01,0.000e+00
7.754e-01,0.000e+00
7.767e-01,0.000e+00
7.780e-01,0.000e+00
7.794e-01,0.000e+00
7.807e-01,0.000e+00
7.820e-01,0.000e+00
7.834e-01,0.000e+00
7.847e-01,0.000e+00
7.860e-01,0.000e+00
7.874e-01,0.000e+00
7.887e-01,0.000e+00
7.900e-01,0.000e+00
7.914e-01,0.000e+00
7.927e-01,0.000e+00
7.940e-01,0.000e+00
7.954e-01,0.000e+00
7.967e-01,0.000e+00
7.980e-01,0.000e+00
7.994e-01,0.000e+00
8.007e-01,0.000e+00
8.020e-01,0.000e+00
8.034e-01,0.000e+00
8.047e-01,0.000e+00
8.060e-01,0.000e+00
8.074e-01,3.657e-03
8.087e-01,0.000e+00
8.100e-01,0.000e+00
8.114e-01,0.000e+00
8.127e-01,0.000e+00
8.140e-01,0.000e+00
8.154e-01,0.000e+00
8.167e-01,3.657e-03
8.180e-01,0.000e+00
8.194e-01,0.000e+00
8.207e-01,0.000e+00
8.220e-01,0.000e+00
8.234e-01,0.000e+00
8.247e-01,0.000e+00
8.260e-01,0.000e+00
8.274e-01,0.000e+00
8.287e-01,0.000e+00
8.300e-01,0.000e+00
8.314e-01,0.000e+00
8.327e-01,0.000e+00
8.340e-01,0.000e+00
8.354e-01,0.000e+00
8.367e-01,0.000e+00
8.380e-01,0.000e+00
8.394e-01,0.000e+00
8.407e-01,0.000e+00
8.420e-01,0.000e+00
8.434e-01,0.000e+00
8.447e-01,0.000e+00
8.460e-01,0.000e+00
8.474e-01,0.000e+00
8.487e-01,0.000e+00
8.500e-01,0.000e+00
8.514e-01,0.000e+00
8.527e-01,0.000e+00
8.540e-01,0.000e+00
8.553e-01,0.000e+00
8.567e-01,0.000e+00
8.580e-01,0.000e+00
8.593e-01,3.657e-03
8.607e-01,0.000e+00
8.620e-01,0.000e+00
8.633e-01,7.315e-03
8.647e-01,3.657e-03
8.660e-01,3.657e-03
8.673e-01,0.000e+00
8.687e-01,0.000e+00
8.700e-01,0.000e+00
8.713e-01,7.315e-03
8.727e-01,3.657e-03
8.740e-01,0.000e+00
8.753e-01,7.315e-03
8.767e-01,7.315e-03
8.780e-01,3.657e-03
8.793e-01,7.315e-03
8.807e-01,1.097e-02
8.820e-01,1.097e-02
8.833e-01,1.097e-02
8.847e-01,3.657e-03
8.860e-01,2.194e-02
8.873e-01,2.194e-02
