transmittance,probability_density
1.803e-03,4.293e-30
5.409e-03,1.717e-23
9.015e-03,2.023e-20
1.262e-02,2.135e-18
1.623e-02,6.933e-17
1.983e-02,1.117e-15
2.344e-02,1.131e-14
2.704e-02,8.212e-14
3.065e-02,4.653e-13
3.426e-02,2.174e-12
3.786e-02,8.704e-12
4.147e-02,3.072e-11
4.507e-02,9.760e-11
4.868e-02,2.837e-10
5.228e-02,7.642e-10
5.589e-02,1.927e-09
5.950e-02,4.586e-09
6.310e-02,1.037e-08
6.671e-02,2.242e-08
7.031e-02,4.654e-08
7.392e-02,9.315e-08
7.752e-02,1.804e-07
8.113e-02,3.389e-07
8.474e-02,6.197e-07
8.834e-02,1.105e-06
9.195e-02,1.925e-06
9.555e-02,3.284e-06
9.916e-02,5.491e-06
1.028e-01,9.016e-06
1.064e-01,1.455e-05
1.100e-01,2.312e-05
1.136e-01,3.618e-05
1.172e-01,5.585e-05
1.208e-01,8.507e-05
1.244e-01,1.280e-04
1.280e-01,1.904e-04
1.316e-01,2.800e-04
1.352e-01,4.076e-04
1.388e-01,5.875e-04
1.424e-01,8.389e-04
1.460e-01,1.187e-03
1.496e-01,1.666e-03
1.532e-01,2.320e-03
1.569e-01,3.205e-03
1.605e-01,4.396e-03
1.641e-01,5.987e-03
1.677e-01,8.100e-03
1.713e-01,1.089e-02
1.749e-01,1.455e-02
1.785e-01,1.932e-02
1.821e-01,2.552e-02
1.857e-01,3.352e-02
1.893e-01,4.379e-02
1.929e-01,5.694e-02
1.965e-01,7.367e-02
2.001e-01,9.488e-02
2.037e-01,1.216e-01
2.073e-01,1.553e-01
2.109e-01,1.974e-01
2.145e-01,2.499e-01
2.182e-01,3.152e-01
2.218e-01,3.960e-01
2.254e-01,4.957e-01
2.290e-01,6.183e-01
2.326e-01,7.687e-01
2.362e-01,9.524e-01
2.398e-01,1.176e+00
2.434e-01,1.448e+00
2.470e-01,1.778e+00
2.506e-01,2.176e+00
2.542e-01,2.655e+00
2.578e-01,3.231e+00
2.614e-01,3.922e+00
2.650e-01,4.748e+00
2.686e-01,5.733e+00
2.722e-01,6.906e+00
2.758e-01,8.299e+00
2.794e-01,9.950e+00
2.831e-01,1.190e+01
2.867e-01,1.421e+01
2.903e-01,1.692e+01
2.939e-01,2.011e+01
2.975e-01,2.386e+01
3.011e-01,2.826e+01
3.047e-01,3.340e+01
3.083e-01,3.944e+01
3.119e-01,4.660e+01
3.155e-01,0.000e+00
3.191e-01,0.000e+00
3.227e-01,0.000e+00
3.263e-01,0.000e+00
3.299e-01,0.000e+00
3.335e-01,0.000e+00
3.371e-01,0.000e+00
3.407e-01,0.000e+00
3.444e-01,0.000e+00
3.480e-01,0.000e+00
3.516e-01,0.000e+00
3.552e-01,0.000e+00
3.588e-01,0.000e+00
3.624e-01,0.000e+00
3.660e-01,0.000e+00
3.696e-01,0.000e+00
3.732e-01,0.000e+00
3.768e-01,0.000e+00
3.804e-01,0.000e+00
