transmittance,probability_density
8.118e-01,6.959e-30
8.128e-01,1.148e-29
8.137e-01,1.891e-29
8.147e-01,3.113e-29
8.156e-01,5.122e-29
8.166e-01,8.420e-29
8.175e-01,1.383e-28
8.184e-01,2.270e-28
8.194e-01,3.722e-28
8.203e-01,6.098e-28
8.213e-01,9.984e-28
8.222e-01,1.633e-27
8.232e-01,2.670e-27
8.241e-01,4.361e-27
8.250e-01,7.116e-27
8.260e-01,1.160e-26
8.269e-01,1.891e-26
8.279e-01,3.078e-26
8.288e-01,5.007e-26
8.298e-01,8.138e-26
8.307e-01,1.322e-25
8.316e-01,2.145e-25
8.326e-01,3.477e-25
8.335e-01,5.634e-25
8.345e-01,9.120e-25
8.354e-01,1.475e-24
8.364e-01,2.384e-24
8.373e-01,3.850e-24
8.382e-01,6.211e-24
8.392e-01,1.001e-23
8.401e-01,1.613e-23
8.411e-01,2.596e-23
8.420e-01,4.175e-23
8.430e-01,6.708e-23
8.439e-01,1.077e-22
8.448e-01,1.728e-22
8.458e-01,2.769e-22
8.467e-01,4.434e-22
8.477e-01,7.096e-22
8.486e-01,1.134e-21
8.496e-01,1.812e-21
8.505e-01,2.892e-21
8.514e-01,4.613e-21
8.524e-01,7.350e-21
8.533e-01,1.170e-20
8.543e-01,1.861e-20
8.552e-01,2.958e-20
8.562e-01,4.697e-20
8.571e-01,7.452e-20
8.581e-01,1.181e-19
8.590e-01,1.871e-19
8.599e-01,2.961e-19
8.609e-01,4.681e-19
8.618e-01,7.395e-19
8.628e-01,1.167e-18
8.637e-01,1.840e-18
8.647e-01,2.899e-18
8.656e-01,4.564e-18
8.665e-01,7.178e-18
8.675e-01,1.128e-17
8.684e-01,1.770e-17
8.694e-01,2.777e-17
8.703e-01,4.351e-17
8.713e-01,6.812e-17
8.722e-01,1.066e-16
8.731e-01,1.665e-16
8.741e-01,2.600e-16
8.750e-01,4.055e-16
8.760e-01,6.319e-16
8.769e-01,9.838e-16
8.779e-01,1.530e-15
8.788e-01,2.378e-15
8.797e-01,3.691e-15
8.807e-01,5.725e-15
8.816e-01,8.871e-15
8.826e-01,1.373e-14
8.835e-01,2.123e-14
8.845e-01,3.280e-14
8.854e-01,5.063e-14
8.863e-01,7.806e-14
8.873e-01,1.202e-13
8.882e-01,1.850e-13
8.892e-01,2.844e-13
8.901e-01,4.367e-13
8.911e-01,6.698e-13
8.920e-01,1.026e-12
8.929e-01,1.571e-12
8.939e-01,2.402e-12
8.948e-01,3.670e-12
8.958e-01,5.599e-12
8.967e-01,8.534e-12
8.977e-01,1.299e-11
8.986e-01,1.976e-11
8.996e-01,3.002e-11
9.005e-01,4.555e-11
9.014e-01,6.904e-11
9.024e-01,1.045e-10
9.033e-01,1.581e-10
9.043e-01,2.388e-10
9.052e-01,3.602e-10
9.062e-01,5.427e-10
9.071e-01,8.168e-10
9.080e-01,1.228e-09
9.090e-01,1.843e-09
9.099e-01,2.764e-09
9.109e-01,4.139e-09
9.118e-01,6.191e-09
9.128e-01,9.247e-09
9.137e-01,1.379e-08
9.146e-01,2.055e-08
9.156e-01,3.057e-08
9.165e-01,4.542e-08
9.175e-01,6.738e-08
9.184e-01,9.983e-08
9.194e-01,1.477e-07
9.203e-01,2.182e-07
9.212e-01,3.219e-07
9.222e-01,4.741e-07
9.231e-01,6.972e-07
9.241e-01,1.024e-06
9.250e-01,1.501e-06
9.260e-01,2.197e-06
9.269e-01,3.211e-06
9.278e-01,4.685e-06
9.288e-01,6.824e-06
9.297e-01,9.923e-06
9.307e-01,1.440e-05
9.316e-01,2.087e-05
9.326e-01,3.019e-05
9.335e-01,4.358e-05
9.344e-01,6.279e-05
9.354e-01,9.031e-05
9.363e-01,1.296e-04
9.373e-01,1.857e-04
9.382e-01,2.655e-04
9.392e-01,3.787e-04
9.401e-01,5.390e-04
9.411e-01,7.656e-04
9.420e-01,1.085e-03
9.429e-01,1.534e-03
9.439e-01,2.163e-03
9.448e-01,3.044e-03
9.458e-01,4.272e-03
9.467e-01,5.980e-03
9.477e-01,8.349e-03
9.486e-01,1.163e-02
9.495e-01,1.614e-02
9.505e-01,2.234e-02
9.514e-01,3.084e-02
9.524e-01,4.243e-02
9.533e-01,5.819e-02
9.543e-01,7.955e-02
9.552e-01,1.084e-01
9.561e-01,1.471e-01
9.571e-01,1.989e-01
9.580e-01,2.680e-01
9.590e-01,3.596e-01
9.599e-01,4.805e-01
9.609e-01,6.393e-01
9.618e-01,8.467e-01
9.627e-01,1.116e+00
9.637e-01,1.464e+00
9.646e-01,1.910e+00
9.656e-01,2.479e+00
9.665e-01,3.199e+00
9.675e-01,4.103e+00
9.684e-01,5.230e+00
9.693e-01,6.621e+00
9.703e-01,8.323e+00
9.712e-01,1.038e+01
9.722e-01,1.285e+01
9.731e-01,1.577e+01
9.741e-01,1.918e+01
9.750e-01,2.310e+01
9.759e-01,2.753e+01
9.769e-01,3.244e+01
9.778e-01,3.777e+01
9.788e-01,4.339e+01
9.797e-01,4.915e+01
9.807e-01,5.480e+01
9.816e-01,6.006e+01
9.826e-01,6.459e+01
9.835e-01,6.802e+01
9.844e-01,6.997e+01
9.854e-01,7.011e+01
9.863e-01,6.819e+01
9.873e-01,6.411e+01
9.882e-01,5.796e+01
9.892e-01,5.007e+01
9.901e-01,4.098e+01
