transmittance,probability_density
5.528e-04,2.281e-18
1.658e-03,5.699e-13
2.764e-03,1.652e-10
3.869e-03,6.422e-09
4.975e-03,9.360e-08
6.080e-03,7.614e-07
7.186e-03,4.208e-06
8.291e-03,1.767e-05
9.397e-03,6.040e-05
1.050e-02,1.761e-04
1.161e-02,4.523e-04
1.271e-02,1.047e-03
1.382e-02,2.226e-03
1.492e-02,4.398e-03
1.603e-02,8.169e-03
1.714e-02,1.438e-02
1.824e-02,2.416e-02
1.935e-02,3.894e-02
2.045e-02,6.052e-02
2.156e-02,9.104e-02
2.266e-02,1.330e-01
2.377e-02,1.892e-01
2.487e-02,2.627e-01
2.598e-02,3.569e-01
2.708e-02,4.752e-01
2.819e-02,6.211e-01
2.930e-02,7.980e-01
3.040e-02,1.009e+00
3.151e-02,1.258e+00
3.261e-02,1.547e+00
3.372e-02,1.878e+00
3.482e-02,2.253e+00
3.593e-02,2.673e+00
3.703e-02,3.138e+00
3.814e-02,3.648e+00
3.925e-02,4.202e+00
4.035e-02,4.797e+00
4.146e-02,5.431e+00
4.256e-02,6.101e+00
4.367e-02,6.802e+00
4.477e-02,7.531e+00
4.588e-02,8.281e+00
4.698e-02,9.048e+00
4.809e-02,9.824e+00
4.919e-02,1.061e+01
5.030e-02,1.138e+01
5.141e-02,1.216e+01
5.251e-02,1.291e+01
5.362e-02,1.365e+01
5.472e-02,1.436e+01
5.583e-02,1.503e+01
5.693e-02,1.567e+01
5.804e-02,1.627e+01
5.914e-02,1.683e+01
6.025e-02,1.733e+01
6.136e-02,1.778e+01
6.246e-02,1.818e+01
6.357e-02,1.852e+01
6.467e-02,1.880e+01
6.578e-02,1.902e+01
6.688e-02,1.919e+01
6.799e-02,1.930e+01
6.909e-02,1.934e+01
7.020e-02,1.934e+01
7.130e-02,1.927e+01
7.241e-02,1.916e+01
7.352e-02,1.899e+01
7.462e-02,1.878e+01
7.573e-02,1.852e+01
7.683e-02,1.823e+01
7.794e-02,1.789e+01
7.904e-02,1.752e+01
8.015e-02,1.712e+01
8.125e-02,1.669e+01
8.236e-02,1.623e+01
8.347e-02,1.576e+01
8.457e-02,1.526e+01
8.568e-02,1.476e+01
8.678e-02,1.424e+01
8.789e-02,1.371e+01
8.899e-02,1.318e+01
9.010e-02,1.265e+01
9.120e-02,1.211e+01
9.231e-02,1.158e+01
9.341e-02,1.106e+01
9.452e-02,1.053e+01
9.563e-02,1.002e+01
9.673e-02,9.518e+00
9.784e-02,9.025e+00
9.894e-02,8.545e+00
1.000e-01,8.078e+00
1.012e-01,7.625e+00
1.023e-01,7.187e+00
1.034e-01,6.765e+00
1.045e-01,6.358e+00
1.056e-01,5.967e+00
1.067e-01,5.593e+00
1.078e-01,5.235e+00
1.089e-01,4.894e+00
1.100e-01,4.569e+00
1.111e-01,4.260e+00
1.122e-01,3.967e+00
1.133e-01,3.690e+00
1.144e-01,3.428e+00
1.155e-01,3.180e+00
1.166e-01,2.948e+00
1.177e-01,2.729e+00
1.188e-01,2.523e+00
1.199e-01,2.330e+00
1.211e-01,2.150e+00
1.222e-01,1.981e+00
1.233e-01,1.824e+00
1.244e-01,1.677e+00
1.255e-01,1.541e+00
1.266e-01,1.414e+00
1.277e-01,1.296e+00
1.288e-01,1.187e+00
1.299e-01,1.086e+00
1.310e-01,9.926e-01
1.321e-01,9.064e-01
1.332e-01,8.269e-01
1.343e-01,7.536e-01
1.354e-01,6.862e-01
1.365e-01,6.242e-01
1.376e-01,5.674e-01
1.387e-01,5.152e-01
1.398e-01,4.674e-01
1.410e-01,4.237e-01
1.421e-01,3.837e-01
1.432e-01,3.472e-01
1.443e-01,3.139e-01
1.454e-01,2.836e-01
1.465e-01,2.560e-01
1.476e-01,2.308e-01
1.487e-01,2.080e-01
1.498e-01,1.873e-01
1.509e-01,1.685e-01
1.520e-01,1.515e-01
1.531e-01,1.360e-01
1.542e-01,1.221e-01
1.553e-01,1.095e-01
1.564e-01,9.813e-02
1.575e-01,8.788e-02
1.586e-01,7.863e-02
1.597e-01,7.031e-02
1.609e-01,6.282e-02
1.620e-01,5.608e-02
1.631e-01,5.004e-02
1.642e-01,4.461e-02
1.653e-01,3.974e-02
1.664e-01,3.538e-02
1.675e-01,3.147e-02
1.686e-01,2.798e-02
1.697e-01,2.486e-02
1.708e-01,2.207e-02
