transmittance,probability_density
8.344e-04,0.000e+00
2.503e-03,0.000e+00
4.172e-03,0.000e+00
5.840e-03,0.000e+00
7.509e-03,0.000e+00
9.178e-03,0.000e+00
1.085e-02,0.000e+00
1.252e-02,0.000e+00
1.418e-02,0.000e+00
1.585e-02,0.000e+00
1.752e-02,0.000e+00
1.919e-02,0.000e+00
2.086e-02,0.000e+00
2.253e-02,0.000e+00
2.420e-02,0.000e+00
2.586e-02,0.000e+00
2.753e-02,0.000e+00
2.920e-02,0.000e+00
3.087e-02,0.000e+00
3.254e-02,0.000e+00
3.421e-02,0.000e+00
3.588e-02,0.000e+00
3.755e-02,0.000e+00
3.921e-02,0.000e+00
4.088e-02,0.000e+00
4.255e-02,0.000e+00
4.422e-02,5.996e-03
4.589e-02,5.996e-03
4.756e-02,1.799e-02
4.923e-02,4.797e-02
5.090e-02,2.998e-02
5.256e-02,3.597e-02
5.423e-02,1.019e-01
5.590e-02,1.079e-01
5.757e-02,1.379e-01
5.924e-02,2.518e-01
6.091e-02,4.557e-01
6.258e-02,5.036e-01
6.424e-02,8.514e-01
6.591e-02,1.247e+00
6.758e-02,1.631e+00
6.925e-02,2.254e+00
7.092e-02,3.022e+00
7.259e-02,4.065e+00
7.426e-02,5.090e+00
7.593e-02,6.601e+00
7.759e-02,8.148e+00
7.926e-02,9.977e+00
8.093e-02,1.160e+01
8.260e-02,1.497e+01
8.427e-02,1.633e+01
8.594e-02,1.877e+01
8.761e-02,2.040e+01
8.928e-02,2.196e+01
9.094e-02,2.388e+01
9.261e-02,2.519e+01
9.428e-02,2.699e+01
9.595e-02,2.688e+01
9.762e-02,2.645e+01
9.929e-02,2.720e+01
1.010e-01,2.660e+01
1.026e-01,2.639e+01
1.043e-01,2.464e+01
1.060e-01,2.373e+01
1.076e-01,2.272e+01
1.093e-01,2.111e+01
1.110e-01,1.910e+01
1.126e-01,1.713e+01
1.143e-01,1.539e+01
1.160e-01,1.381e+01
1.176e-01,1.273e+01
1.193e-01,1.109e+01
1.210e-01,9.791e+00
1.226e-01,8.478e+00
1.243e-01,6.955e+00
1.260e-01,6.146e+00
1.277e-01,4.923e+00
1.293e-01,4.311e+00
1.310e-01,3.723e+00
1.327e-01,2.722e+00
1.343e-01,2.428e+00
1.360e-01,1.865e+00
1.377e-01,1.817e+00
1.393e-01,1.349e+00
1.410e-01,1.187e+00
1.427e-01,8.634e-01
1.443e-01,6.715e-01
1.460e-01,5.516e-01
1.477e-01,4.437e-01
1.493e-01,3.657e-01
1.510e-01,2.578e-01
1.527e-01,1.859e-01
1.544e-01,1.739e-01
1.560e-01,1.199e-01
1.577e-01,7.795e-02
1.594e-01,6.595e-02
1.610e-01,5.396e-02
1.627e-01,2.998e-02
1.644e-01,1.799e-02
1.660e-01,1.199e-02
1.677e-01,1.799e-02
1.694e-01,1.199e-02
1.710e-01,1.199e-02
1.727e-01,5.996e-03
1.744e-01,0.000e+00
1.760e-01,0.000e+00
1.777e-01,0.000e+00
1.794e-01,5.996e-03
1.811e-01,0.000e+00
1.827e-01,0.000e+00
1.844e-01,0.000e+00
1.861e-01,0.000e+00
1.877e-01,0.000e+00
1.894e-01,0.000e+00
1.911e-01,0.000e+00
1.927e-01,0.000e+00
1.944e-01,0.000e+00
1.961e-01,0.000e+00
1.977e-01,0.000e+00
1.994e-01,0.000e+00
2.011e-01,0.000e+00
2.027e-01,0.000e+00
2.044e-01,0.000e+00
2.061e-01,0.000e+00
2.078e-01,0.000e+00
2.094e-01,0.000e+00
2.111e-01,0.000e+00
2.128e-01,0.000e+00
2.144e-01,0.000e+00
2.161e-01,0.000e+00
2.178e-01,0.000e+00
2.194e-01,0.000e+00
2.211e-01,0.000e+00
2.228e-01,0.000e+00
2.244e-01,0.000e+00
2.261e-01,0.000e+00
2.278e-01,0.000e+00
2.294e-01,0.000e+00
