aperture_radius,lognormal,beam_wandering,elliptical_beam,total_probability,beta,beta_total_probability,num_total_probability,num_beta_total_probability,num_elliptical_beam
1.000e-03,1.796e-02,5.581e-01,2.602e-01,1.619e-02,4.434e-03,4.035e-03,4.107e-02,2.482e-02,2.916e-01
2.000e-03,1.769e-02,5.366e-01,1.712e-01,1.646e-02,4.327e-03,3.821e-03,7.341e-02,8.031e-02,1.653e-01
3.000e-03,1.729e-02,3.590e-01,1.708e-01,1.615e-02,4.062e-03,3.984e-03,7.122e-02,7.697e-02,2.196e-01
4.000e-03,1.815e-02,3.831e-01,1.804e-01,1.585e-02,4.142e-03,3.636e-03,6.402e-02,6.889e-02,1.969e-01
5.000e-03,1.802e-02,4.501e-01,1.952e-01,1.612e-02,4.155e-03,3.902e-03,4.887e-02,4.944e-02,1.802e-01
6.000e-03,1.867e-02,4.087e-01,1.778e-01,1.683e-02,3.924e-03,3.232e-03,6.358e-02,6.838e-02,1.705e-01
7.000e-03,1.932e-02,5.395e-01,1.846e-01,1.749e-02,4.044e-03,3.118e-03,5.385e-02,5.701e-02,2.281e-01
8.000e-03,2.040e-02,4.960e-01,1.838e-01,1.821e-02,3.499e-03,2.935e-03,5.279e-02,5.586e-02,1.765e-01
9.000e-03,2.109e-02,4.837e-01,1.735e-01,1.848e-02,3.983e-03,4.317e-03,5.923e-02,6.418e-02,1.696e-01
1.000e-02,2.178e-02,5.629e-01,1.865e-01,1.862e-02,4.178e-03,3.149e-03,4.619e-02,4.690e-02,1.695e-01
1.100e-02,2.281e-02,5.366e-01,1.737e-01,1.978e-02,3.814e-03,3.074e-03,5.508e-02,5.906e-02,1.815e-01
1.200e-02,2.446e-02,5.368e-01,1.720e-01,2.136e-02,3.321e-03,2.614e-03,5.198e-02,5.460e-02,1.804e-01
1.300e-02,2.612e-02,5.187e-01,1.743e-01,2.270e-02,2.945e-03,2.028e-03,4.522e-02,4.596e-02,1.707e-01
1.400e-02,2.816e-02,5.387e-01,1.692e-01,2.435e-02,2.598e-03,1.984e-03,4.593e-02,4.683e-02,1.887e-01
1.500e-02,3.029e-02,5.337e-01,1.638e-01,2.656e-02,2.040e-03,2.715e-03,4.824e-02,5.042e-02,1.553e-01
1.600e-02,3.177e-02,4.597e-01,1.663e-01,2.779e-02,1.497e-03,2.097e-03,4.032e-02,3.959e-02,1.699e-01
1.700e-02,3.383e-02,4.729e-01,1.617e-01,2.928e-02,1.876e-03,3.069e-03,3.869e-02,3.604e-02,1.651e-01
1.800e-02,3.568e-02,4.968e-01,1.519e-01,3.053e-02,2.642e-03,4.262e-03,4.081e-02,3.980e-02,1.627e-01
1.900e-02,3.815e-02,4.943e-01,1.525e-01,3.225e-02,3.942e-03,5.403e-03,3.273e-02,2.670e-02,1.623e-01
2.000e-02,4.018e-02,4.925e-01,1.419e-01,3.278e-02,5.466e-03,7.546e-03,3.180e-02,2.452e-02,1.499e-01
2.100e-02,4.325e-02,5.310e-01,1.309e-01,3.533e-02,6.588e-03,7.432e-03,3.103e-02,2.418e-02,1.595e-01
2.200e-02,4.655e-02,4.476e-01,1.236e-01,3.832e-02,8.323e-03,1.057e-02,2.659e-02,1.826e-02,1.431e-01
2.300e-02,4.913e-02,5.193e-01,1.184e-01,4.062e-02,9.807e-03,1.100e-02,2.728e-02,1.180e-02,1.466e-01
2.400e-02,5.181e-02,4.536e-01,1.037e-01,4.246e-02,1.136e-02,1.364e-02,2.717e-02,1.164e-02,1.386e-01
2.500e-02,5.581e-02,5.079e-01,9.672e-02,4.519e-02,1.330e-02,1.450e-02,3.918e-02,1.172e-02,1.467e-01
2.600e-02,5.898e-02,4.110e-01,8.371e-02,4.900e-02,1.455e-02,1.451e-02,4.563e-02,1.572e-02,1.390e-01
2.700e-02,6.218e-02,3.904e-01,7.596e-02,5.157e-02,1.657e-02,1.708e-02,5.297e-02,2.139e-02,1.262e-01
2.800e-02,6.604e-02,4.723e-01,6.537e-02,5.444e-02,1.921e-02,2.050e-02,6.244e-02,3.032e-02,1.387e-01
2.900e-02,6.853e-02,3.808e-01,5.880e-02,5.619e-02,2.204e-02,2.320e-02,7.140e-02,3.838e-02,1.229e-01
3.000e-02,7.173e-02,3.670e-01,5.062e-02,5.829e-02,2.400e-02,2.473e-02,7.676e-02,4.390e-02,1.148e-01
3.100e-02,7.380e-02,6.610e-01,7.364e-02,6.162e-02,2.537e-02,2.499e-02,8.759e-02,5.349e-02,1.127e-01
3.200e-02,7.773e-02,3.525e-01,1.029e-01,6.454e-02,2.782e-02,2.727e-02,9.469e-02,5.983e-02,9.952e-02
3.300e-02,8.037e-02,3.054e-01,1.405e-01,6.679e-02,3.008e-02,3.021e-02,1.000e-01,6.494e-02,9.273e-02
3.400e-02,8.151e-02,7.926e-01,1.732e-01,6.924e-02,3.257e-02,3.209e-02,1.118e-01,7.676e-02,1.075e-01
