transmittance,probability_density
1.944e-03,1.431e-157
5.832e-03,1.393e-97
9.720e-03,1.470e-74
1.361e-02,4.404e-61
1.750e-02,6.833e-52
2.138e-02,4.326e-45
2.527e-02,8.596e-40
2.916e-02,1.621e-35
3.305e-02,5.633e-32
3.694e-02,5.514e-29
4.082e-02,2.030e-26
4.471e-02,3.441e-24
4.860e-02,3.119e-22
5.249e-02,1.688e-20
5.638e-02,5.945e-19
6.026e-02,1.456e-17
6.415e-02,2.614e-16
6.804e-02,3.592e-15
7.193e-02,3.913e-14
7.582e-02,3.478e-13
7.970e-02,2.584e-12
8.359e-02,1.638e-11
8.748e-02,9.007e-11
9.137e-02,4.364e-10
9.525e-02,1.886e-09
9.914e-02,7.353e-09
1.030e-01,2.611e-08
1.069e-01,8.513e-08
1.108e-01,2.569e-07
1.147e-01,7.218e-07
1.186e-01,1.900e-06
1.225e-01,4.710e-06
1.264e-01,1.105e-05
1.302e-01,2.461e-05
1.341e-01,5.230e-05
1.380e-01,1.063e-04
1.419e-01,2.074e-04
1.458e-01,3.895e-04
1.497e-01,7.058e-04
1.536e-01,1.237e-03
1.575e-01,2.101e-03
1.613e-01,3.465e-03
1.652e-01,5.559e-03
1.691e-01,8.691e-03
1.730e-01,1.326e-02
1.769e-01,1.977e-02
1.808e-01,2.884e-02
1.847e-01,4.123e-02
1.886e-01,5.779e-02
1.925e-01,7.954e-02
1.963e-01,1.076e-01
2.002e-01,1.431e-01
2.041e-01,1.875e-01
2.080e-01,2.419e-01
2.119e-01,3.077e-01
2.158e-01,3.863e-01
2.197e-01,4.786e-01
2.236e-01,5.859e-01
2.274e-01,7.089e-01
2.313e-01,8.481e-01
2.352e-01,1.004e+00
2.391e-01,1.177e+00
2.430e-01,1.366e+00
2.469e-01,1.570e+00
2.508e-01,1.789e+00
2.547e-01,2.022e+00
2.585e-01,2.266e+00
2.624e-01,2.520e+00
2.663e-01,2.782e+00
2.702e-01,3.048e+00
2.741e-01,3.317e+00
2.780e-01,3.586e+00
2.819e-01,3.852e+00
2.858e-01,4.113e+00
2.897e-01,4.365e+00
2.935e-01,4.606e+00
2.974e-01,4.835e+00
3.013e-01,5.048e+00
3.052e-01,5.244e+00
3.091e-01,5.420e+00
3.130e-01,5.577e+00
3.169e-01,5.712e+00
3.208e-01,5.825e+00
3.246e-01,5.915e+00
3.285e-01,5.982e+00
3.324e-01,6.026e+00
3.363e-01,6.048e+00
3.402e-01,6.047e+00
3.441e-01,6.025e+00
3.480e-01,5.983e+00
3.519e-01,5.921e+00
3.557e-01,5.841e+00
3.596e-01,5.744e+00
3.635e-01,5.632e+00
3.674e-01,5.507e+00
3.713e-01,5.369e+00
3.752e-01,5.220e+00
3.791e-01,5.062e+00
3.830e-01,4.897e+00
3.869e-01,4.725e+00
3.907e-01,4.549e+00
3.946e-01,4.369e+00
3.985e-01,4.186e+00
4.024e-01,4.003e+00
4.063e-01,3.819e+00
4.102e-01,3.637e+00
