transmittance,probability_density
8.373e-01,1.810e-08
8.381e-01,2.073e-08
8.389e-01,2.373e-08
8.398e-01,2.717e-08
8.406e-01,3.110e-08
8.414e-01,3.558e-08
8.422e-01,4.069e-08
8.430e-01,4.653e-08
8.438e-01,5.319e-08
8.447e-01,6.079e-08
8.455e-01,6.946e-08
8.463e-01,7.933e-08
8.471e-01,9.059e-08
8.479e-01,1.034e-07
8.487e-01,1.180e-07
8.495e-01,1.346e-07
8.504e-01,1.536e-07
8.512e-01,1.751e-07
8.520e-01,1.996e-07
8.528e-01,2.274e-07
8.536e-01,2.591e-07
8.544e-01,2.951e-07
8.553e-01,3.360e-07
8.561e-01,3.824e-07
8.569e-01,4.351e-07
8.577e-01,4.950e-07
8.585e-01,5.629e-07
8.593e-01,6.399e-07
8.601e-01,7.273e-07
8.610e-01,8.263e-07
8.618e-01,9.385e-07
8.626e-01,1.066e-06
8.634e-01,1.210e-06
8.642e-01,1.373e-06
8.650e-01,1.557e-06
8.659e-01,1.766e-06
8.667e-01,2.002e-06
8.675e-01,2.269e-06
8.683e-01,2.570e-06
8.691e-01,2.911e-06
8.699e-01,3.296e-06
8.708e-01,3.731e-06
8.716e-01,4.222e-06
8.724e-01,4.776e-06
8.732e-01,5.400e-06
8.740e-01,6.104e-06
8.748e-01,6.898e-06
8.756e-01,7.793e-06
8.765e-01,8.800e-06
8.773e-01,9.934e-06
8.781e-01,1.121e-05
8.789e-01,1.265e-05
8.797e-01,1.426e-05
8.805e-01,1.608e-05
8.814e-01,1.812e-05
8.822e-01,2.042e-05
8.830e-01,2.299e-05
8.838e-01,2.589e-05
8.846e-01,2.913e-05
8.854e-01,3.278e-05
8.862e-01,3.686e-05
8.871e-01,4.144e-05
8.879e-01,4.657e-05
8.887e-01,5.232e-05
8.895e-01,5.875e-05
8.903e-01,6.595e-05
8.911e-01,7.401e-05
8.920e-01,8.302e-05
8.928e-01,9.310e-05
8.936e-01,1.044e-04
8.944e-01,1.169e-04
8.952e-01,1.310e-04
8.960e-01,1.466e-04
8.968e-01,1.641e-04
8.977e-01,1.836e-04
8.985e-01,2.054e-04
8.993e-01,2.296e-04
9.001e-01,2.566e-04
9.009e-01,2.866e-04
9.017e-01,3.201e-04
9.026e-01,3.573e-04
9.034e-01,3.986e-04
9.042e-01,4.446e-04
9.050e-01,4.957e-04
9.058e-01,5.524e-04
9.066e-01,6.155e-04
9.074e-01,6.854e-04
9.083e-01,7.629e-04
9.091e-01,8.490e-04
9.099e-01,9.443e-04
9.107e-01,1.050e-03
9.115e-01,1.167e-03
9.123e-01,1.297e-03
9.132e-01,1.440e-03
9.140e-01,1.599e-03
9.148e-01,1.774e-03
9.156e-01,1.968e-03
9.164e-01,2.182e-03
9.172e-01,2.419e-03
9.180e-01,2.681e-03
9.189e-01,2.970e-03
9.197e-01,3.289e-03
9.205e-01,3.641e-03
9.213e-01,4.029e-03
9.221e-01,4.458e-03
9.229e-01,4.930e-03
9.238e-01,5.452e-03
9.246e-01,6.026e-03
9.254e-01,6.660e-03
9.262e-01,7.358e-03
9.270e-01,8.128e-03
9.278e-01,8.977e-03
9.286e-01,9.913e-03
9.295e-01,1.094e-02
9.303e-01,1.208e-02
9.311e-01,1.334e-02
9.319e-01,1.472e-02
9.327e-01,1.625e-02
9.335e-01,1.794e-02
9.344e-01,1.981e-02
9.352e-01,2.187e-02
9.360e-01,2.416e-02
9.368e-01,2.669e-02
9.376e-01,2.949e-02
9.384e-01,3.260e-02
9.392e-01,3.606e-02
9.401e-01,3.990e-02
9.409e-01,4.418e-02
9.417e-01,4.895e-02
9.425e-01,5.428e-02
9.433e-01,6.024e-02
9.441e-01,6.693e-02
9.450e-01,7.443e-02
9.458e-01,8.288e-02
9.466e-01,9.240e-02
9.474e-01,1.032e-01
9.482e-01,1.154e-01
9.490e-01,1.292e-01
9.498e-01,1.449e-01
9.507e-01,1.629e-01
9.515e-01,1.835e-01
9.523e-01,2.071e-01
9.531e-01,2.342e-01
9.539e-01,2.654e-01
9.547e-01,3.015e-01
9.556e-01,3.433e-01
9.564e-01,3.919e-01
9.572e-01,4.484e-01
9.580e-01,5.144e-01
9.588e-01,5.915e-01
9.596e-01,6.819e-01
9.605e-01,7.881e-01
9.613e-01,9.131e-01
9.621e-01,1.060e+00
9.629e-01,1.235e+00
9.637e-01,1.441e+00
9.645e-01,1.685e+00
9.653e-01,1.976e+00
9.662e-01,2.321e+00
9.670e-01,2.733e+00
9.678e-01,3.224e+00
9.686e-01,3.811e+00
9.694e-01,4.513e+00
9.702e-01,5.353e+00
9.711e-01,6.359e+00
9.719e-01,7.565e+00
9.727e-01,9.007e+00
9.735e-01,1.073e+01
9.743e-01,1.279e+01
9.751e-01,1.524e+01
9.759e-01,1.814e+01
9.768e-01,2.156e+01
9.776e-01,2.554e+01
9.784e-01,3.014e+01
9.792e-01,3.538e+01
9.800e-01,4.124e+01
9.808e-01,4.765e+01
9.817e-01,5.446e+01
9.825e-01,6.142e+01
9.833e-01,6.819e+01
9.841e-01,7.430e+01
9.849e-01,7.919e+01
9.857e-01,8.226e+01
9.865e-01,8.293e+01
9.874e-01,8.074e+01
9.882e-01,7.550e+01
9.890e-01,6.736e+01
9.898e-01,5.688e+01
9.906e-01,4.503e+01
9.914e-01,3.303e+01
9.923e-01,2.212e+01
9.931e-01,1.326e+01
9.939e-01,6.947e+00
9.947e-01,3.070e+00
9.955e-01,1.091e+00
9.963e-01,2.898e-01
9.971e-01,5.111e-02
9.980e-01,4.775e-03
9.988e-01,1.336e-04
9.996e-01,7.829e-08
