transmittance,probability_density
7.990e-01,0.000e+00
8.001e-01,0.000e+00
8.011e-01,0.000e+00
8.021e-01,0.000e+00
8.031e-01,0.000e+00
8.041e-01,0.000e+00
8.051e-01,0.000e+00
8.061e-01,0.000e+00
8.071e-01,0.000e+00
8.081e-01,0.000e+00
8.091e-01,0.000e+00
8.101e-01,0.000e+00
8.111e-01,0.000e+00
8.121e-01,0.000e+00
8.132e-01,0.000e+00
8.142e-01,0.000e+00
8.152e-01,0.000e+00
8.162e-01,0.000e+00
8.172e-01,0.000e+00
8.182e-01,0.000e+00
8.192e-01,0.000e+00
8.202e-01,0.000e+00
8.212e-01,0.000e+00
8.222e-01,0.000e+00
8.232e-01,0.000e+00
8.242e-01,0.000e+00
8.252e-01,0.000e+00
8.262e-01,0.000e+00
8.273e-01,0.000e+00
8.283e-01,0.000e+00
8.293e-01,0.000e+00
8.303e-01,0.000e+00
8.313e-01,0.000e+00
8.323e-01,0.000e+00
8.333e-01,0.000e+00
8.343e-01,0.000e+00
8.353e-01,0.000e+00
8.363e-01,0.000e+00
8.373e-01,0.000e+00
8.383e-01,0.000e+00
8.393e-01,0.000e+00
8.403e-01,0.000e+00
8.414e-01,0.000e+00
8.424e-01,0.000e+00
8.434e-01,0.000e+00
8.444e-01,0.000e+00
8.454e-01,0.000e+00
8.464e-01,0.000e+00
8.474e-01,0.000e+00
8.484e-01,0.000e+00
8.494e-01,0.000e+00
8.504e-01,0.000e+00
8.514e-01,0.000e+00
8.524e-01,0.000e+00
8.534e-01,0.000e+00
8.544e-01,0.000e+00
8.555e-01,0.000e+00
8.565e-01,0.000e+00
8.575e-01,0.000e+00
8.585e-01,0.000e+00
8.595e-01,0.000e+00
8.605e-01,0.000e+00
8.615e-01,0.000e+00
8.625e-01,0.000e+00
8.635e-01,0.000e+00
8.645e-01,0.000e+00
8.655e-01,0.000e+00
8.665e-01,0.000e+00
8.675e-01,0.000e+00
8.686e-01,0.000e+00
8.696e-01,0.000e+00
8.706e-01,0.000e+00
8.716e-01,0.000e+00
8.726e-01,0.000e+00
8.736e-01,0.000e+00
8.746e-01,0.000e+00
8.756e-01,0.000e+00
8.766e-01,0.000e+00
8.776e-01,0.000e+00
8.786e-01,0.000e+00
8.796e-01,0.000e+00
8.806e-01,0.000e+00
8.816e-01,0.000e+00
8.827e-01,0.000e+00
8.837e-01,0.000e+00
8.847e-01,0.000e+00
8.857e-01,0.000e+00
8.867e-01,0.000e+00
8.877e-01,0.000e+00
8.887e-01,0.000e+00
8.897e-01,0.000e+00
8.907e-01,0.000e+00
8.917e-01,0.000e+00
8.927e-01,0.000e+00
8.937e-01,9.928e-03
8.947e-01,9.928e-03
8.957e-01,9.928e-03
8.968e-01,9.928e-03
8.978e-01,0.000e+00
8.988e-01,0.000e+00
8.998e-01,2.978e-02
9.008e-01,0.000e+00
9.018e-01,9.928e-03
9.028e-01,9.928e-03
9.038e-01,0.000e+00
9.048e-01,0.000e+00
9.058e-01,0.000e+00
9.068e-01,9.928e-03
9.078e-01,2.978e-02
9.088e-01,0.000e+00
9.098e-01,2.978e-02
9.109e-01,1.986e-02
9.119e-01,1.986e-02
9.129e-01,3.971e-02
9.139e-01,3.971e-02
9.149e-01,2.978e-02
9.159e-01,1.986e-02
9.169e-01,4.964e-02
9.179e-01,3.971e-02
9.189e-01,5.957e-02
9.199e-01,3.971e-02
9.209e-01,4.964e-02
9.219e-01,4.964e-02
9.229e-01,4.964e-02
9.240e-01,1.092e-01
9.250e-01,4.964e-02
9.260e-01,1.191e-01
9.270e-01,1.092e-01
9.280e-01,1.390e-01
9.290e-01,1.588e-01
9.300e-01,1.787e-01
9.310e-01,1.588e-01
9.320e-01,1.986e-01
9.330e-01,1.986e-01
9.340e-01,2.879e-01
9.350e-01,3.872e-01
9.360e-01,2.283e-01
9.370e-01,3.078e-01
9.381e-01,4.567e-01
9.391e-01,4.368e-01
9.401e-01,4.368e-01
9.411e-01,7.247e-01
9.421e-01,6.453e-01
9.431e-01,7.049e-01
9.441e-01,6.949e-01
9.451e-01,9.134e-01
9.461e-01,1.023e+00
9.471e-01,1.221e+00
9.481e-01,1.112e+00
9.491e-01,1.231e+00
9.501e-01,1.549e+00
9.511e-01,1.946e+00
9.522e-01,2.095e+00
9.532e-01,2.025e+00
9.542e-01,2.760e+00
9.552e-01,2.869e+00
9.562e-01,2.978e+00
9.572e-01,3.624e+00
9.582e-01,3.773e+00
9.592e-01,4.587e+00
9.602e-01,4.636e+00
9.612e-01,5.708e+00
9.622e-01,5.808e+00
9.632e-01,6.572e+00
