transmittance,probability_density
2.756e-05,5.684e-40
8.267e-05,2.703e-21
1.378e-04,1.201e-14
1.929e-04,5.714e-11
2.480e-04,1.394e-08
3.031e-04,6.805e-07
3.582e-04,1.239e-05
4.133e-04,1.173e-04
4.684e-04,7.023e-04
5.235e-04,3.008e-03
5.787e-04,1.003e-02
6.338e-04,2.761e-02
6.889e-04,6.566e-02
7.440e-04,1.395e-01
7.991e-04,2.717e-01
8.542e-04,4.956e-01
9.093e-04,8.592e-01
9.644e-04,1.431e+00
1.020e-03,2.306e+00
1.075e-03,3.609e+00
1.130e-03,5.495e+00
1.185e-03,8.151e+00
1.240e-03,1.178e+01
1.295e-03,1.662e+01
1.350e-03,2.287e+01
1.405e-03,3.074e+01
1.460e-03,4.040e+01
1.516e-03,5.198e+01
1.571e-03,6.555e+01
1.626e-03,8.111e+01
1.681e-03,9.859e+01
1.736e-03,1.179e+02
1.791e-03,1.388e+02
1.846e-03,1.610e+02
1.901e-03,1.843e+02
1.956e-03,2.083e+02
2.012e-03,2.327e+02
2.067e-03,2.571e+02
2.122e-03,2.812e+02
2.177e-03,3.046e+02
2.232e-03,3.270e+02
2.287e-03,3.481e+02
2.342e-03,3.677e+02
2.397e-03,3.855e+02
2.452e-03,4.014e+02
2.508e-03,4.152e+02
2.563e-03,4.269e+02
2.618e-03,4.364e+02
2.673e-03,4.438e+02
2.728e-03,4.489e+02
2.783e-03,4.519e+02
2.838e-03,4.529e+02
2.893e-03,4.520e+02
2.948e-03,4.492e+02
3.003e-03,4.447e+02
3.059e-03,4.387e+02
3.114e-03,4.313e+02
3.169e-03,4.227e+02
3.224e-03,4.130e+02
3.279e-03,4.023e+02
3.334e-03,3.908e+02
3.389e-03,3.786e+02
3.444e-03,3.659e+02
3.499e-03,3.528e+02
3.555e-03,3.394e+02
3.610e-03,3.258e+02
3.665e-03,3.121e+02
3.720e-03,2.984e+02
3.775e-03,2.848e+02
3.830e-03,2.714e+02
3.885e-03,2.581e+02
3.940e-03,2.451e+02
3.995e-03,2.324e+02
4.051e-03,2.201e+02
4.106e-03,2.081e+02
4.161e-03,1.965e+02
4.216e-03,1.853e+02
4.271e-03,1.746e+02
4.326e-03,1.643e+02
4.381e-03,1.544e+02
4.436e-03,1.450e+02
4.491e-03,1.360e+02
4.547e-03,1.274e+02
4.602e-03,1.193e+02
4.657e-03,1.116e+02
4.712e-03,1.043e+02
4.767e-03,9.743e+01
4.822e-03,9.093e+01
4.877e-03,8.481e+01
4.932e-03,7.904e+01
4.987e-03,7.362e+01
5.043e-03,6.852e+01
5.098e-03,6.375e+01
5.153e-03,5.927e+01
5.208e-03,5.507e+01
5.263e-03,5.115e+01
5.318e-03,4.748e+01
5.373e-03,4.406e+01
5.428e-03,4.086e+01
5.483e-03,3.788e+01
5.539e-03,3.511e+01
5.594e-03,3.252e+01
5.649e-03,3.011e+01
5.704e-03,2.788e+01
5.759e-03,2.580e+01
5.814e-03,2.386e+01
5.869e-03,2.207e+01
5.924e-03,2.040e+01
5.979e-03,1.886e+01
6.035e-03,1.743e+01
6.090e-03,1.610e+01
6.145e-03,1.487e+01
6.200e-03,1.373e+01
6.255e-03,1.268e+01
6.310e-03,1.170e+01
6.365e-03,1.080e+01
6.420e-03,9.965e+00
6.475e-03,9.194e+00
6.531e-03,8.481e+00
6.586e-03,7.822e+00
6.641e-03,7.213e+00
6.696e-03,6.651e+00
6.751e-03,6.132e+00
6.806e-03,5.653e+00
6.861e-03,5.211e+00
6.916e-03,4.803e+00
6.971e-03,4.426e+00
7.027e-03,4.079e+00
7.082e-03,3.759e+00
7.137e-03,3.463e+00
7.192e-03,3.191e+00
7.247e-03,2.940e+00
7.302e-03,2.708e+00
7.357e-03,2.495e+00
7.412e-03,2.298e+00
7.467e-03,2.117e+00
7.523e-03,1.950e+00
7.578e-03,1.796e+00
7.633e-03,1.655e+00
7.688e-03,1.524e+00
7.743e-03,1.404e+00
7.798e-03,1.293e+00
7.853e-03,1.191e+00
7.908e-03,1.097e+00
7.963e-03,1.010e+00
8.019e-03,9.307e-01
8.074e-03,8.573e-01
8.129e-03,7.897e-01
8.184e-03,7.274e-01
8.239e-03,6.701e-01
8.294e-03,6.173e-01
8.349e-03,5.687e-01
8.404e-03,5.239e-01
8.459e-03,4.827e-01
8.514e-03,4.447e-01
8.570e-03,4.098e-01
8.625e-03,3.776e-01
8.680e-03,3.479e-01
8.735e-03,3.206e-01
8.790e-03,2.955e-01
8.845e-03,2.723e-01
8.900e-03,2.510e-01
8.955e-03,2.313e-01
9.010e-03,2.132e-01
9.066e-03,1.966e-01
9.121e-03,1.812e-01
9.176e-03,1.671e-01
9.231e-03,1.541e-01
9.286e-03,1.421e-01
9.341e-03,1.310e-01
9.396e-03,1.208e-01
9.451e-03,1.114e-01
9.506e-03,1.028e-01
9.562e-03,9.480e-02
9.617e-03,8.745e-02
9.672e-03,8.068e-02
9.727e-03,7.444e-02
9.782e-03,6.869e-02
9.837e-03,6.338e-02
9.892e-03,5.850e-02
9.947e-03,5.399e-02
1.000e-02,4.984e-02
1.006e-02,4.600e-02
1.011e-02,4.247e-02
1.017e-02,3.921e-02
1.022e-02,3.621e-02
1.028e-02,3.344e-02
1.033e-02,3.088e-02
1.039e-02,2.852e-02
1.044e-02,2.635e-02
1.050e-02,2.434e-02
1.055e-02,2.249e-02
1.061e-02,2.078e-02
1.066e-02,1.920e-02
1.072e-02,1.774e-02
1.077e-02,1.640e-02
1.083e-02,1.516e-02
1.088e-02,1.401e-02
1.094e-02,1.295e-02
1.099e-02,1.198e-02
