transmittance,probability_density
2.419e-04,0.000e+00
7.258e-04,0.000e+00
1.210e-03,0.000e+00
1.693e-03,0.000e+00
2.177e-03,5.032e-03
2.661e-03,0.000e+00
3.145e-03,0.000e+00
3.629e-03,1.006e-02
4.113e-03,1.006e-02
4.596e-03,1.006e-02
5.080e-03,3.019e-02
5.564e-03,8.051e-02
6.048e-03,1.157e-01
6.532e-03,2.063e-01
7.016e-03,2.969e-01
7.499e-03,4.277e-01
7.983e-03,5.585e-01
8.467e-03,9.107e-01
8.951e-03,1.389e+00
9.435e-03,1.746e+00
9.919e-03,2.264e+00
1.040e-02,3.250e+00
1.089e-02,3.859e+00
1.137e-02,5.047e+00
1.185e-02,5.932e+00
1.234e-02,7.084e+00
1.282e-02,9.142e+00
1.331e-02,1.040e+01
1.379e-02,1.289e+01
1.427e-02,1.479e+01
1.476e-02,1.634e+01
1.524e-02,1.935e+01
1.572e-02,2.209e+01
1.621e-02,2.379e+01
1.669e-02,2.646e+01
1.718e-02,2.839e+01
1.766e-02,3.208e+01
1.814e-02,3.321e+01
1.863e-02,3.600e+01
1.911e-02,3.958e+01
1.960e-02,4.007e+01
2.008e-02,4.397e+01
2.056e-02,4.307e+01
2.105e-02,4.506e+01
2.153e-02,4.784e+01
2.201e-02,4.777e+01
2.250e-02,5.025e+01
2.298e-02,4.993e+01
2.347e-02,5.033e+01
2.395e-02,5.200e+01
2.443e-02,5.132e+01
2.492e-02,5.065e+01
2.540e-02,5.131e+01
2.589e-02,4.972e+01
2.637e-02,5.049e+01
2.685e-02,4.910e+01
2.734e-02,4.708e+01
2.782e-02,4.747e+01
2.830e-02,4.598e+01
2.879e-02,4.505e+01
2.927e-02,4.179e+01
2.976e-02,4.120e+01
3.024e-02,3.987e+01
3.072e-02,3.855e+01
3.121e-02,3.597e+01
3.169e-02,3.587e+01
3.218e-02,3.368e+01
3.266e-02,3.223e+01
3.314e-02,3.000e+01
3.363e-02,2.912e+01
3.411e-02,2.765e+01
3.459e-02,2.601e+01
3.508e-02,2.361e+01
3.556e-02,2.364e+01
3.605e-02,2.182e+01
3.653e-02,2.062e+01
3.701e-02,1.927e+01
3.750e-02,1.814e+01
3.798e-02,1.705e+01
3.846e-02,1.540e+01
3.895e-02,1.463e+01
3.943e-02,1.316e+01
3.992e-02,1.210e+01
4.040e-02,1.172e+01
4.088e-02,1.055e+01
4.137e-02,9.746e+00
4.185e-02,9.349e+00
4.234e-02,8.725e+00
4.282e-02,8.051e+00
4.330e-02,6.868e+00
4.379e-02,6.591e+00
4.427e-02,6.088e+00
4.475e-02,5.379e+00
4.524e-02,5.037e+00
4.572e-02,4.790e+00
4.621e-02,4.327e+00
4.669e-02,4.156e+00
4.717e-02,3.301e+00
4.766e-02,3.084e+00
4.814e-02,2.853e+00
4.863e-02,2.762e+00
4.911e-02,2.591e+00
4.959e-02,2.118e+00
5.008e-02,2.093e+00
5.056e-02,1.816e+00
5.104e-02,1.872e+00
5.153e-02,1.560e+00
5.201e-02,1.530e+00
5.250e-02,1.288e+00
5.298e-02,1.127e+00
5.346e-02,1.021e+00
5.395e-02,9.157e-01
5.443e-02,7.749e-01
5.492e-02,6.692e-01
5.540e-02,7.245e-01
5.588e-02,6.239e-01
5.637e-02,5.937e-01
5.685e-02,5.132e-01
5.733e-02,2.868e-01
5.782e-02,4.478e-01
5.830e-02,2.767e-01
5.879e-02,3.874e-01
5.927e-02,2.818e-01
5.975e-02,2.264e-01
6.024e-02,2.164e-01
6.072e-02,2.264e-01
6.121e-02,1.509e-01
6.169e-02,1.409e-01
6.217e-02,1.208e-01
6.266e-02,1.258e-01
6.314e-02,1.107e-01
6.362e-02,1.208e-01
6.411e-02,9.560e-02
6.459e-02,9.057e-02
6.508e-02,8.051e-02
6.556e-02,5.535e-02
6.604e-02,5.535e-02
6.653e-02,5.535e-02
6.701e-02,4.528e-02
6.749e-02,5.535e-02
6.798e-02,4.528e-02
6.846e-02,1.509e-02
6.895e-02,3.522e-02
6.943e-02,6.038e-02
6.991e-02,3.522e-02
7.040e-02,5.032e-03
7.088e-02,5.032e-03
7.137e-02,1.006e-02
7.185e-02,1.509e-02
7.233e-02,1.006e-02
7.282e-02,1.006e-02
7.330e-02,0.000e+00
7.378e-02,2.013e-02
7.427e-02,1.006e-02
7.475e-02,1.006e-02
7.524e-02,1.509e-02
7.572e-02,0.000e+00
7.620e-02,1.509e-02
7.669e-02,5.032e-03
7.717e-02,5.032e-03
