transmittance,probability_density
4.909e-01,2.595e-13
4.935e-01,5.602e-13
4.960e-01,1.187e-12
4.986e-01,2.468e-12
5.011e-01,5.038e-12
5.037e-01,1.010e-11
5.062e-01,1.990e-11
5.088e-01,3.853e-11
5.113e-01,7.330e-11
5.139e-01,1.371e-10
5.164e-01,2.522e-10
5.190e-01,4.563e-10
5.215e-01,8.122e-10
5.241e-01,1.423e-09
5.266e-01,2.453e-09
5.292e-01,4.163e-09
5.317e-01,6.959e-09
5.343e-01,1.146e-08
5.368e-01,1.858e-08
5.394e-01,2.969e-08
5.419e-01,4.676e-08
5.445e-01,7.261e-08
5.471e-01,1.112e-07
5.496e-01,1.678e-07
5.522e-01,2.500e-07
5.547e-01,3.673e-07
5.573e-01,5.326e-07
5.598e-01,7.623e-07
5.624e-01,1.077e-06
5.649e-01,1.503e-06
5.675e-01,2.072e-06
5.700e-01,2.822e-06
5.726e-01,3.797e-06
5.751e-01,5.051e-06
5.777e-01,6.642e-06
5.802e-01,8.640e-06
5.828e-01,1.112e-05
5.853e-01,1.415e-05
5.879e-01,1.784e-05
5.904e-01,2.227e-05
5.930e-01,2.753e-05
5.955e-01,3.373e-05
5.981e-01,4.098e-05
6.006e-01,4.937e-05
6.032e-01,5.902e-05
6.057e-01,7.006e-05
6.083e-01,8.260e-05
6.108e-01,9.680e-05
6.134e-01,1.128e-04
6.160e-01,1.308e-04
6.185e-01,1.511e-04
6.211e-01,1.739e-04
6.236e-01,1.996e-04
6.262e-01,2.285e-04
6.287e-01,2.613e-04
6.313e-01,2.985e-04
6.338e-01,3.408e-04
6.364e-01,3.892e-04
6.389e-01,4.448e-04
6.415e-01,5.089e-04
6.440e-01,5.829e-04
6.466e-01,6.687e-04
6.491e-01,7.685e-04
6.517e-01,8.846e-04
6.542e-01,1.020e-03
6.568e-01,1.178e-03
6.593e-01,1.363e-03
6.619e-01,1.578e-03
6.644e-01,1.830e-03
6.670e-01,2.124e-03
6.695e-01,2.466e-03
6.721e-01,2.865e-03
6.746e-01,3.330e-03
6.772e-01,3.869e-03
6.797e-01,4.496e-03
6.823e-01,5.223e-03
6.849e-01,6.064e-03
6.874e-01,7.037e-03
6.900e-01,8.159e-03
6.925e-01,9.454e-03
6.951e-01,1.094e-02
6.976e-01,1.266e-02
7.002e-01,1.463e-02
7.027e-01,1.689e-02
7.053e-01,1.948e-02
