transmittance,probability_density
4.455e-01,0.000e+00
4.483e-01,0.000e+00
4.510e-01,0.000e+00
4.538e-01,0.000e+00
4.566e-01,0.000e+00
4.594e-01,0.000e+00
4.622e-01,0.000e+00
4.649e-01,0.000e+00
4.677e-01,0.000e+00
4.705e-01,0.000e+00
4.733e-01,0.000e+00
4.761e-01,0.000e+00
4.788e-01,0.000e+00
4.816e-01,0.000e+00
4.844e-01,0.000e+00
4.872e-01,8.758e-04
4.900e-01,0.000e+00
4.927e-01,0.000e+00
4.955e-01,8.758e-04
4.983e-01,0.000e+00
5.011e-01,0.000e+00
5.039e-01,0.000e+00
5.066e-01,0.000e+00
5.094e-01,0.000e+00
5.122e-01,0.000e+00
5.150e-01,0.000e+00
5.177e-01,8.758e-04
5.205e-01,0.000e+00
5.233e-01,8.758e-04
5.261e-01,8.758e-04
5.289e-01,8.758e-04
5.316e-01,0.000e+00
5.344e-01,0.000e+00
5.372e-01,1.752e-03
5.400e-01,0.000e+00
5.428e-01,1.752e-03
5.455e-01,0.000e+00
5.483e-01,1.752e-03
5.511e-01,3.503e-03
5.539e-01,2.628e-03
5.567e-01,8.758e-04
5.594e-01,2.628e-03
5.622e-01,6.131e-03
5.650e-01,4.379e-03
5.678e-01,7.883e-03
5.706e-01,1.051e-02
5.733e-01,1.489e-02
5.761e-01,6.131e-03
5.789e-01,8.758e-03
5.817e-01,1.051e-02
5.845e-01,1.752e-02
5.872e-01,2.452e-02
5.900e-01,1.927e-02
5.928e-01,1.839e-02
5.956e-01,2.803e-02
5.984e-01,2.014e-02
6.011e-01,3.065e-02
6.039e-01,3.941e-02
6.067e-01,3.503e-02
6.095e-01,4.467e-02
6.123e-01,5.167e-02
6.150e-01,6.481e-02
6.178e-01,6.481e-02
6.206e-01,6.744e-02
6.234e-01,9.372e-02
6.262e-01,1.121e-01
6.289e-01,1.104e-01
6.317e-01,1.165e-01
6.345e-01,1.384e-01
6.373e-01,1.664e-01
6.400e-01,1.717e-01
6.428e-01,1.936e-01
6.456e-01,1.918e-01
6.484e-01,2.382e-01
6.512e-01,2.750e-01
6.539e-01,2.969e-01
6.567e-01,3.363e-01
6.595e-01,3.626e-01
6.623e-01,3.626e-01
6.651e-01,4.546e-01
6.678e-01,5.001e-01
6.706e-01,5.597e-01
6.734e-01,5.851e-01
6.762e-01,6.928e-01
6.790e-01,7.147e-01
6.817e-01,7.716e-01
6.845e-01,8.767e-01
6.873e-01,8.925e-01
6.901e-01,1.009e+00
6.929e-01,1.113e+00
6.956e-01,1.210e+00
6.984e-01,1.315e+00
7.012e-01,1.316e+00
7.040e-01,1.487e+00
7.068e-01,1.569e+00
7.095e-01,1.788e+00
7.123e-01,1.894e+00
7.151e-01,1.928e+00
7.179e-01,2.227e+00
7.207e-01,2.406e+00
7.234e-01,2.586e+00
7.262e-01,2.761e+00
7.290e-01,2.787e+00
7.318e-01,3.120e+00
7.346e-01,3.317e+00
7.373e-01,3.580e+00
7.401e-01,3.722e+00
7.429e-01,3.682e+00
