transmittance,probability_density
3.114e-01,6.980e-05
3.148e-01,7.706e-05
3.183e-01,8.501e-05
3.217e-01,9.370e-05
3.252e-01,1.032e-04
3.286e-01,1.136e-04
3.321e-01,1.249e-04
3.355e-01,1.372e-04
3.390e-01,1.506e-04
3.424e-01,1.652e-04
3.459e-01,1.812e-04
3.493e-01,1.985e-04
3.528e-01,2.173e-04
3.562e-01,2.377e-04
3.597e-01,2.599e-04
3.631e-01,2.840e-04
3.666e-01,3.101e-04
3.700e-01,3.384e-04
3.735e-01,3.691e-04
3.769e-01,4.023e-04
3.804e-01,4.382e-04
3.839e-01,4.771e-04
3.873e-01,5.191e-04
3.908e-01,5.645e-04
3.942e-01,6.136e-04
3.977e-01,6.666e-04
4.011e-01,7.237e-04
4.046e-01,7.854e-04
4.080e-01,8.519e-04
4.115e-01,9.235e-04
4.149e-01,1.001e-03
4.184e-01,1.084e-03
4.218e-01,1.173e-03
4.253e-01,1.270e-03
4.287e-01,1.373e-03
4.322e-01,1.485e-03
4.356e-01,1.605e-03
4.391e-01,1.733e-03
4.425e-01,1.872e-03
4.460e-01,2.020e-03
4.494e-01,2.179e-03
4.529e-01,2.350e-03
4.563e-01,2.534e-03
4.598e-01,2.731e-03
4.632e-01,2.942e-03
4.667e-01,3.168e-03
4.701e-01,3.410e-03
4.736e-01,3.669e-03
4.770e-01,3.947e-03
4.805e-01,4.245e-03
4.840e-01,4.563e-03
4.874e-01,4.903e-03
4.909e-01,5.268e-03
4.943e-01,5.657e-03
4.978e-01,6.074e-03
5.012e-01,6.519e-03
5.047e-01,6.994e-03
5.081e-01,7.503e-03
5.116e-01,8.046e-03
5.150e-01,8.625e-03
5.185e-01,9.244e-03
5.219e-01,9.905e-03
5.254e-01,1.061e-02
5.288e-01,1.136e-02
5.323e-01,1.216e-02
5.357e-01,1.302e-02
5.392e-01,1.393e-02
5.426e-01,1.491e-02
5.461e-01,1.594e-02
5.495e-01,1.705e-02
5.530e-01,1.823e-02
5.564e-01,1.948e-02
5.599e-01,2.082e-02
5.633e-01,2.224e-02
5.668e-01,2.376e-02
5.702e-01,2.537e-02
5.737e-01,2.709e-02
5.772e-01,2.892e-02
5.806e-01,3.087e-02
5.841e-01,3.294e-02
5.875e-01,3.514e-02
5.910e-01,3.749e-02
5.944e-01,3.999e-02
5.979e-01,4.264e-02
6.013e-01,4.547e-02
6.048e-01,4.847e-02
6.082e-01,5.166e-02
6.117e-01,5.506e-02
6.151e-01,5.867e-02
6.186e-01,6.251e-02
6.220e-01,6.659e-02
6.255e-01,7.092e-02
6.289e-01,7.553e-02
6.324e-01,8.043e-02
6.358e-01,8.564e-02
6.393e-01,9.117e-02
6.427e-01,9.706e-02
6.462e-01,1.033e-01
6.496e-01,1.099e-01
6.531e-01,1.170e-01
6.565e-01,1.245e-01
6.600e-01,1.325e-01
6.634e-01,1.409e-01
6.669e-01,1.499e-01
6.704e-01,1.595e-01
6.738e-01,1.696e-01
6.773e-01,1.804e-01
6.807e-01,1.919e-01
6.842e-01,2.041e-01
6.876e-01,2.170e-01
6.911e-01,2.308e-01
6.945e-01,2.454e-01
6.980e-01,2.610e-01
7.014e-01,2.775e-01
7.049e-01,2.951e-01
7.083e-01,3.137e-01
7.118e-01,3.336e-01
7.152e-01,3.547e-01
7.187e-01,3.772e-01
7.221e-01,4.010e-01
7.256e-01,4.264e-01
7.290e-01,4.535e-01
7.325e-01,4.822e-01
7.359e-01,5.128e-01
7.394e-01,5.454e-01
7.428e-01,5.800e-01
7.463e-01,6.169e-01
7.497e-01,6.563e-01
7.532e-01,6.981e-01
7.566e-01,7.428e-01
7.601e-01,7.903e-01
7.636e-01,8.410e-01
7.670e-01,8.951e-01
7.705e-01,9.528e-01
7.739e-01,1.014e+00
7.774e-01,1.080e+00
7.808e-01,1.150e+00
7.843e-01,1.225e+00
7.877e-01,1.305e+00
7.912e-01,1.391e+00
7.946e-01,1.483e+00
7.981e-01,1.581e+00
8.015e-01,1.686e+00
8.050e-01,1.799e+00
8.084e-01,1.920e+00
8.119e-01,2.050e+00
8.153e-01,2.189e+00
8.188e-01,2.339e+00
8.222e-01,2.500e+00
8.257e-01,2.674e+00
8.291e-01,2.861e+00
8.326e-01,3.063e+00
8.360e-01,3.281e+00
8.395e-01,3.517e+00
8.429e-01,3.773e+00
8.464e-01,4.051e+00
8.498e-01,4.353e+00
8.533e-01,4.682e+00
8.567e-01,5.041e+00
8.602e-01,5.435e+00
8.637e-01,5.866e+00
8.671e-01,6.342e+00
8.706e-01,6.868e+00
8.740e-01,7.452e+00
8.775e-01,8.103e+00
8.809e-01,8.835e+00
8.844e-01,9.662e+00
8.878e-01,1.061e+01
8.913e-01,1.170e+01
8.947e-01,1.298e+01
8.982e-01,1.451e+01
9.016e-01,1.641e+01
9.051e-01,1.887e+01
9.085e-01,2.236e+01
9.120e-01,2.855e+01
9.154e-01,0.000e+00
9.189e-01,0.000e+00
9.223e-01,0.000e+00
9.258e-01,0.000e+00
9.292e-01,0.000e+00
9.327e-01,0.000e+00
9.361e-01,0.000e+00
9.396e-01,0.000e+00
9.430e-01,0.000e+00
9.465e-01,0.000e+00
9.499e-01,0.000e+00
9.534e-01,0.000e+00
9.569e-01,0.000e+00
9.603e-01,0.000e+00
9.638e-01,0.000e+00
9.672e-01,0.000e+00
9.707e-01,0.000e+00
9.741e-01,0.000e+00
9.776e-01,0.000e+00
9.810e-01,0.000e+00
9.845e-01,0.000e+00
9.879e-01,0.000e+00
9.914e-01,0.000e+00
9.948e-01,0.000e+00
9.983e-01,0.000e+00
