transmittance,probability_density
1.505e-03,8.018e-24
4.514e-03,4.690e-18
7.524e-03,2.157e-15
1.053e-02,1.190e-13
1.354e-02,2.330e-12
1.655e-02,2.464e-11
1.956e-02,1.730e-10
2.257e-02,9.080e-10
2.558e-02,3.830e-09
2.859e-02,1.363e-08
3.160e-02,4.237e-08
3.461e-02,1.178e-07
3.762e-02,2.987e-07
4.063e-02,7.002e-07
4.364e-02,1.535e-06
4.665e-02,3.174e-06
4.966e-02,6.236e-06
5.267e-02,1.171e-05
5.568e-02,2.114e-05
5.869e-02,3.681e-05
6.170e-02,6.206e-05
6.471e-02,1.016e-04
6.772e-02,1.620e-04
7.073e-02,2.521e-04
7.374e-02,3.835e-04
7.674e-02,5.717e-04
7.975e-02,8.362e-04
8.276e-02,1.202e-03
8.577e-02,1.699e-03
8.878e-02,2.365e-03
9.179e-02,3.246e-03
9.480e-02,4.396e-03
9.781e-02,5.880e-03
1.008e-01,7.771e-03
1.038e-01,1.016e-02
1.068e-01,1.314e-02
1.099e-01,1.682e-02
1.129e-01,2.134e-02
1.159e-01,2.683e-02
1.189e-01,3.344e-02
1.219e-01,4.135e-02
1.249e-01,5.073e-02
1.279e-01,6.179e-02
1.309e-01,7.473e-02
1.339e-01,8.977e-02
1.369e-01,1.071e-01
1.399e-01,1.271e-01
1.430e-01,1.498e-01
1.460e-01,1.756e-01
1.490e-01,2.048e-01
1.520e-01,2.375e-01
1.550e-01,2.740e-01
1.580e-01,3.146e-01
1.610e-01,3.595e-01
1.640e-01,4.090e-01
1.670e-01,4.631e-01
1.700e-01,5.222e-01
1.731e-01,5.864e-01
1.761e-01,6.558e-01
1.791e-01,7.306e-01
1.821e-01,8.108e-01
1.851e-01,8.965e-01
1.881e-01,9.877e-01
1.911e-01,1.084e+00
1.941e-01,1.187e+00
1.971e-01,1.294e+00
2.001e-01,1.407e+00
2.031e-01,1.525e+00
2.062e-01,1.647e+00
2.092e-01,1.774e+00
2.122e-01,1.906e+00
2.152e-01,2.041e+00
2.182e-01,2.180e+00
2.212e-01,2.322e+00
2.242e-01,2.467e+00
2.272e-01,2.614e+00
2.302e-01,2.762e+00
2.332e-01,2.912e+00
2.363e-01,3.063e+00
2.393e-01,3.214e+00
2.423e-01,3.364e+00
2.453e-01,3.513e+00
2.483e-01,3.661e+00
2.513e-01,3.806e+00
2.543e-01,3.948e+00
2.573e-01,4.087e+00
2.603e-01,4.222e+00
2.633e-01,4.352e+00
2.663e-01,4.478e+00
2.694e-01,4.597e+00
2.724e-01,4.711e+00
2.754e-01,4.818e+00
2.784e-01,4.918e+00
2.814e-01,5.011e+00
2.844e-01,5.095e+00
2.874e-01,5.172e+00
2.904e-01,5.241e+00
2.934e-01,5.300e+00
2.964e-01,5.352e+00
2.995e-01,5.394e+00
3.025e-01,5.427e+00
3.055e-01,5.451e+00
3.085e-01,5.466e+00
3.115e-01,5.472e+00
3.145e-01,5.468e+00
3.175e-01,5.456e+00
3.205e-01,5.436e+00
3.235e-01,5.406e+00
3.265e-01,5.368e+00
3.296e-01,5.323e+00
3.326e-01,5.269e+00
3.356e-01,5.208e+00
3.386e-01,5.139e+00
3.416e-01,5.064e+00
3.446e-01,4.983e+00
3.476e-01,4.895e+00
3.506e-01,4.802e+00
3.536e-01,4.704e+00
3.566e-01,4.601e+00
3.596e-01,4.494e+00
3.627e-01,4.383e+00
3.657e-01,4.268e+00
3.687e-01,4.151e+00
3.717e-01,4.031e+00
3.747e-01,3.909e+00
3.777e-01,3.785e+00
3.807e-01,3.661e+00
3.837e-01,3.535e+00
3.867e-01,3.409e+00
3.897e-01,3.283e+00
3.928e-01,3.157e+00
3.958e-01,3.032e+00
3.988e-01,2.908e+00
4.018e-01,2.785e+00
4.048e-01,2.664e+00
4.078e-01,2.544e+00
4.108e-01,2.427e+00
4.138e-01,2.311e+00
4.168e-01,2.199e+00
4.198e-01,2.089e+00
4.228e-01,1.982e+00
4.259e-01,1.878e+00
4.289e-01,1.776e+00
4.319e-01,1.679e+00
4.349e-01,1.584e+00
4.379e-01,1.493e+00
4.409e-01,1.405e+00
4.439e-01,1.320e+00
4.469e-01,1.239e+00
4.499e-01,1.161e+00
4.529e-01,1.087e+00
4.560e-01,1.016e+00
4.590e-01,9.486e-01
4.620e-01,8.844e-01
4.650e-01,8.234e-01
4.680e-01,7.655e-01
4.710e-01,7.107e-01
4.740e-01,6.590e-01
4.770e-01,6.102e-01
4.800e-01,5.642e-01
4.830e-01,5.210e-01
4.861e-01,4.804e-01
4.891e-01,4.424e-01
4.921e-01,4.068e-01
4.951e-01,3.735e-01
4.981e-01,3.425e-01
5.011e-01,3.137e-01
5.041e-01,2.868e-01
5.071e-01,2.619e-01
5.101e-01,2.388e-01
5.131e-01,2.174e-01
5.161e-01,1.977e-01
5.192e-01,1.794e-01
5.222e-01,1.627e-01
5.252e-01,1.473e-01
5.282e-01,1.331e-01
5.312e-01,1.201e-01
5.342e-01,1.083e-01
5.372e-01,9.741e-02
5.402e-01,8.752e-02
5.432e-01,7.851e-02
5.462e-01,7.032e-02
5.493e-01,6.289e-02
5.523e-01,5.616e-02
5.553e-01,5.006e-02
5.583e-01,4.456e-02
5.613e-01,3.960e-02
5.643e-01,3.514e-02
5.673e-01,3.112e-02
5.703e-01,2.753e-02
5.733e-01,2.430e-02
5.763e-01,2.142e-02
5.793e-01,1.885e-02
5.824e-01,1.656e-02
5.854e-01,1.452e-02
5.884e-01,1.271e-02
5.914e-01,1.111e-02
5.944e-01,9.690e-03
5.974e-01,8.438e-03
6.004e-01,7.334e-03
