transmittance,probability_density
1.084e-03,1.076e-36
3.251e-03,6.881e-22
5.418e-03,1.367e-15
7.585e-03,8.137e-12
9.752e-03,2.836e-09
1.192e-02,1.831e-07
1.409e-02,3.867e-06
1.625e-02,3.695e-05
1.842e-02,1.959e-04
2.059e-02,6.622e-04
2.275e-02,1.583e-03
2.492e-02,2.912e-03
2.709e-02,4.456e-03
2.925e-02,6.114e-03
3.142e-02,8.036e-03
3.359e-02,1.054e-02
3.576e-02,1.394e-02
3.792e-02,1.840e-02
4.009e-02,2.399e-02
4.226e-02,3.066e-02
4.442e-02,3.840e-02
4.659e-02,4.719e-02
4.876e-02,5.707e-02
5.092e-02,6.808e-02
5.309e-02,8.032e-02
5.526e-02,9.390e-02
5.743e-02,1.089e-01
5.959e-02,1.255e-01
6.176e-02,1.439e-01
6.393e-02,1.640e-01
6.609e-02,1.861e-01
6.826e-02,2.103e-01
7.043e-02,2.365e-01
7.259e-02,2.651e-01
7.476e-02,2.959e-01
7.693e-02,3.291e-01
7.910e-02,3.648e-01
8.126e-02,4.030e-01
8.343e-02,4.439e-01
8.560e-02,4.876e-01
8.776e-02,5.342e-01
8.993e-02,5.839e-01
9.210e-02,6.368e-01
9.426e-02,6.930e-01
9.643e-02,7.528e-01
9.860e-02,8.164e-01
1.008e-01,8.838e-01
1.029e-01,9.553e-01
1.051e-01,1.031e+00
1.073e-01,1.111e+00
1.094e-01,1.196e+00
1.116e-01,1.285e+00
1.138e-01,1.379e+00
1.159e-01,1.478e+00
1.181e-01,1.582e+00
1.203e-01,1.692e+00
1.224e-01,1.806e+00
1.246e-01,1.926e+00
1.268e-01,2.051e+00
1.289e-01,2.182e+00
1.311e-01,2.318e+00
1.333e-01,2.459e+00
1.354e-01,2.605e+00
1.376e-01,2.757e+00
1.398e-01,2.914e+00
1.419e-01,3.075e+00
1.441e-01,3.242e+00
1.463e-01,3.413e+00
1.484e-01,3.588e+00
1.506e-01,3.767e+00
1.528e-01,3.949e+00
1.549e-01,4.134e+00
1.571e-01,4.322e+00
1.593e-01,4.512e+00
1.614e-01,4.704e+00
1.636e-01,4.896e+00
1.658e-01,5.088e+00
1.679e-01,5.280e+00
1.701e-01,5.470e+00
1.723e-01,5.658e+00
1.744e-01,5.843e+00
1.766e-01,6.024e+00
1.788e-01,6.200e+00
1.809e-01,6.371e+00
1.831e-01,6.535e+00
1.853e-01,6.693e+00
1.874e-01,6.842e+00
1.896e-01,6.982e+00
1.918e-01,7.112e+00
1.939e-01,7.232e+00
1.961e-01,7.341e+00
1.983e-01,7.438e+00
2.004e-01,7.522e+00
2.026e-01,7.594e+00
2.048e-01,7.652e+00
2.069e-01,7.697e+00
2.091e-01,7.727e+00
2.113e-01,7.744e+00
2.134e-01,7.746e+00
2.156e-01,7.734e+00
2.178e-01,7.707e+00
2.200e-01,7.666e+00
2.221e-01,7.612e+00
2.243e-01,7.543e+00
2.265e-01,7.462e+00
2.286e-01,7.367e+00
2.308e-01,7.260e+00
2.330e-01,7.142e+00
2.351e-01,7.012e+00
2.373e-01,6.872e+00
2.395e-01,6.722e+00
2.416e-01,6.564e+00
2.438e-01,6.397e+00
2.460e-01,6.223e+00
2.481e-01,6.043e+00
