transmittance,probability_density
1.806e-03,0.000e+00
5.419e-03,0.000e+00
9.032e-03,0.000e+00
1.265e-02,0.000e+00
1.626e-02,0.000e+00
1.987e-02,0.000e+00
2.348e-02,0.000e+00
2.710e-02,0.000e+00
3.071e-02,0.000e+00
3.432e-02,0.000e+00
3.794e-02,0.000e+00
4.155e-02,0.000e+00
4.516e-02,0.000e+00
4.877e-02,0.000e+00
5.239e-02,2.769e-03
5.600e-02,2.769e-03
5.961e-02,0.000e+00
6.323e-02,0.000e+00
6.684e-02,5.538e-03
7.045e-02,1.108e-02
7.407e-02,0.000e+00
7.768e-02,5.538e-03
8.129e-02,8.307e-03
8.490e-02,5.538e-03
8.852e-02,1.661e-02
9.213e-02,1.938e-02
9.574e-02,2.769e-02
9.936e-02,4.154e-02
1.030e-01,5.538e-02
1.066e-01,4.154e-02
1.102e-01,3.877e-02
1.138e-01,8.307e-02
1.174e-01,7.200e-02
1.210e-01,6.646e-02
1.246e-01,1.052e-01
1.283e-01,1.218e-01
1.319e-01,8.584e-02
1.355e-01,1.468e-01
1.391e-01,1.440e-01
1.427e-01,1.495e-01
1.463e-01,1.578e-01
1.499e-01,2.049e-01
1.536e-01,2.575e-01
1.572e-01,2.714e-01
1.608e-01,2.824e-01
1.644e-01,3.544e-01
1.680e-01,4.403e-01
1.716e-01,4.624e-01
1.752e-01,5.123e-01
1.788e-01,4.846e-01
1.825e-01,6.286e-01
1.861e-01,6.812e-01
1.897e-01,7.255e-01
1.933e-01,8.003e-01
1.969e-01,8.003e-01
2.005e-01,9.415e-01
2.041e-01,9.885e-01
2.077e-01,1.097e+00
2.114e-01,1.121e+00
2.150e-01,1.249e+00
2.186e-01,1.407e+00
2.222e-01,1.454e+00
2.258e-01,1.753e+00
2.294e-01,1.816e+00
2.330e-01,1.894e+00
2.366e-01,1.985e+00
2.403e-01,2.257e+00
2.439e-01,2.409e+00
2.475e-01,2.478e+00
2.511e-01,2.700e+00
2.547e-01,2.977e+00
2.583e-01,3.154e+00
2.619e-01,3.514e+00
2.656e-01,3.650e+00
2.692e-01,3.785e+00
2.728e-01,4.231e+00
2.764e-01,4.400e+00
2.800e-01,4.896e+00
2.836e-01,5.098e+00
2.872e-01,5.455e+00
2.908e-01,5.679e+00
2.945e-01,5.757e+00
2.981e-01,6.283e+00
3.017e-01,6.502e+00
3.053e-01,6.945e+00
3.089e-01,7.047e+00
3.125e-01,7.302e+00
3.161e-01,7.465e+00
3.197e-01,7.604e+00
3.234e-01,8.282e+00
3.270e-01,7.773e+00
3.306e-01,8.296e+00
3.342e-01,8.235e+00
3.378e-01,8.047e+00
3.414e-01,7.640e+00
3.450e-01,7.767e+00
3.486e-01,7.540e+00
3.523e-01,7.324e+00
3.559e-01,6.765e+00
3.595e-01,6.806e+00
3.631e-01,6.197e+00
3.667e-01,5.879e+00
3.703e-01,5.322e+00
3.739e-01,5.006e+00
3.776e-01,4.566e+00
3.812e-01,4.190e+00
3.848e-01,3.783e+00
3.884e-01,3.270e+00
3.920e-01,2.863e+00
3.956e-01,2.556e+00
