aperture_radius,lognormal,beam_wandering,elliptical_beam,total_probability,beta,beta_total_probability,num_total_probability,num_beta_total_probability,num_elliptical_beam
7.500e-04,9.029e-02,6.645e-01,5.470e-01,5.500e-02,7.272e-02,4.969e-02,1.242e-01,1.217e-01,8.067e-01
1.500e-03,9.074e-02,5.103e-01,3.607e-01,5.575e-02,7.312e-02,4.812e-02,1.136e-01,1.151e-01,4.816e-01
2.250e-03,9.159e-02,6.396e-01,4.685e-01,5.364e-02,7.336e-02,4.982e-02,1.655e-02,1.553e-02,4.841e-01
3.000e-03,9.296e-02,6.105e-01,4.455e-01,5.543e-02,7.384e-02,4.946e-02,1.668e-02,1.941e-02,4.657e-01
3.750e-03,9.391e-02,6.018e-01,4.634e-01,5.389e-02,7.353e-02,5.056e-02,7.485e-03,6.767e-03,5.225e-01
4.500e-03,9.517e-02,5.966e-01,4.493e-01,5.475e-02,7.348e-02,4.911e-02,1.404e-02,1.672e-02,4.622e-01
5.250e-03,9.619e-02,6.265e-01,4.858e-01,5.460e-02,7.253e-02,4.848e-02,3.301e-02,3.107e-02,5.017e-01
6.000e-03,9.756e-02,6.180e-01,4.579e-01,5.486e-02,7.235e-02,4.707e-02,9.948e-03,1.040e-02,4.692e-01
6.750e-03,9.889e-02,6.338e-01,4.767e-01,5.184e-02,7.143e-02,4.494e-02,1.953e-02,1.786e-02,5.029e-01
7.500e-03,9.970e-02,6.060e-01,4.523e-01,5.342e-02,6.999e-02,4.562e-02,1.390e-02,1.465e-02,4.812e-01
8.250e-03,1.011e-01,6.197e-01,4.694e-01,5.046e-02,6.877e-02,4.220e-02,1.204e-02,1.022e-02,4.785e-01
9.000e-03,1.025e-01,5.971e-01,4.580e-01,5.047e-02,6.740e-02,4.077e-02,1.207e-02,1.112e-02,4.698e-01
9.750e-03,1.040e-01,6.158e-01,4.635e-01,4.584e-02,6.658e-02,3.727e-02,9.140e-03,8.299e-03,4.755e-01
1.050e-02,1.061e-01,6.261e-01,4.561e-01,4.393e-02,6.518e-02,3.406e-02,1.060e-02,9.731e-03,4.744e-01
1.125e-02,1.079e-01,6.161e-01,4.548e-01,3.710e-02,6.374e-02,3.160e-02,1.021e-02,8.962e-03,4.715e-01
1.200e-02,1.109e-01,6.363e-01,4.427e-01,3.646e-02,6.293e-02,2.785e-02,1.468e-02,1.334e-02,4.533e-01
1.275e-02,1.143e-01,5.954e-01,4.364e-01,2.825e-02,6.176e-02,2.251e-02,1.255e-02,1.127e-02,4.596e-01
1.350e-02,1.178e-01,5.702e-01,4.202e-01,2.265e-02,6.124e-02,1.756e-02,1.730e-02,1.583e-02,4.466e-01
1.425e-02,1.220e-01,5.890e-01,4.086e-01,1.749e-02,6.089e-02,1.116e-02,1.705e-02,1.553e-02,4.451e-01
1.500e-02,1.270e-01,5.559e-01,3.831e-01,1.264e-02,6.220e-02,4.326e-03,2.279e-02,2.119e-02,4.235e-01
1.575e-02,1.325e-01,6.172e-01,3.705e-01,2.399e-02,6.608e-02,2.297e-02,1.740e-02,1.573e-02,4.087e-01
1.650e-02,1.370e-01,5.561e-01,3.296e-01,4.126e-02,6.989e-02,4.064e-02,2.705e-02,2.536e-02,3.817e-01
1.725e-02,1.429e-01,4.914e-01,3.059e-01,,7.459e-02,,2.229e-02,2.055e-02,3.702e-01
1.800e-02,1.471e-01,4.310e-01,2.555e-01,,8.000e-02,,2.927e-02,2.782e-02,3.280e-01
1.875e-02,1.517e-01,5.487e-01,2.117e-01,,8.483e-02,,2.649e-02,2.454e-02,2.943e-01
1.950e-02,1.547e-01,4.067e-01,1.480e-01,,9.127e-02,,3.172e-02,3.061e-02,2.456e-01
2.025e-02,1.571e-01,1.999e-01,9.786e-02,,9.654e-02,,3.014e-02,2.702e-02,2.035e-01
2.100e-02,1.567e-01,2.443e-01,7.888e-02,,1.002e-01,,3.520e-02,3.190e-02,1.492e-01
2.175e-02,1.561e-01,1.881e-01,1.594e-01,,1.049e-01,,3.637e-02,2.749e-02,9.699e-02
2.250e-02,1.545e-01,4.177e-01,2.641e-01,,1.076e-01,,4.015e-02,3.104e-02,1.434e-01
2.325e-02,1.518e-01,4.691e-01,3.789e-01,,1.096e-01,,4.179e-02,2.700e-02,2.441e-01
2.400e-02,1.492e-01,5.946e-01,4.970e-01,,1.107e-01,,4.661e-02,3.257e-02,3.572e-01
2.475e-02,1.422e-01,6.913e-01,6.029e-01,,1.074e-01,,4.576e-02,3.051e-02,4.606e-01
2.550e-02,1.376e-01,7.662e-01,6.941e-01,,1.017e-01,,4.557e-02,3.089e-02,5.698e-01
2.625e-02,1.310e-01,8.228e-01,7.736e-01,,9.610e-02,,4.526e-02,3.141e-02,6.622e-01
2.700e-02,1.283e-01,8.694e-01,8.341e-01,,9.425e-02,,4.561e-02,3.472e-02,7.417e-01
2.775e-02,1.225e-01,9.038e-01,8.777e-01,1.661e-01,8.323e-02,1.661e-01,4.314e-02,2.834e-02,8.064e-01
2.850e-02,1.129e-01,9.298e-01,9.116e-01,8.706e-02,7.835e-02,8.402e-02,4.073e-02,2.945e-02,8.586e-01
2.925e-02,1.077e-01,9.489e-01,9.381e-01,6.381e-02,7.019e-02,5.816e-02,3.830e-02,2.637e-02,9.009e-01
3.000e-02,1.033e-01,9.630e-01,9.537e-01,4.617e-02,6.987e-02,3.083e-02,4.538e-02,2.842e-02,9.311e-01
