transmittance,probability_density
2.777e-01,1.621e-39
2.813e-01,1.390e-38
2.850e-01,1.130e-37
2.886e-01,8.737e-37
2.922e-01,6.428e-36
2.958e-01,4.508e-35
2.994e-01,3.018e-34
3.031e-01,1.931e-33
3.067e-01,1.183e-32
3.103e-01,6.947e-32
3.139e-01,3.914e-31
3.175e-01,2.119e-30
3.212e-01,1.103e-29
3.248e-01,5.530e-29
3.284e-01,2.672e-28
3.320e-01,1.246e-27
3.356e-01,5.612e-27
3.393e-01,2.443e-26
3.429e-01,1.029e-25
3.465e-01,4.199e-25
3.501e-01,1.660e-24
3.537e-01,6.369e-24
3.574e-01,2.372e-23
3.610e-01,8.581e-23
3.646e-01,3.018e-22
3.682e-01,1.033e-21
3.719e-01,3.442e-21
3.755e-01,1.118e-20
3.791e-01,3.537e-20
3.827e-01,1.092e-19
3.863e-01,3.290e-19
3.900e-01,9.684e-19
3.936e-01,2.785e-18
3.972e-01,7.830e-18
4.008e-01,2.154e-17
4.044e-01,5.797e-17
4.081e-01,1.528e-16
4.117e-01,3.946e-16
4.153e-01,9.987e-16
4.189e-01,2.479e-15
4.225e-01,6.034e-15
4.262e-01,1.442e-14
4.298e-01,3.382e-14
4.334e-01,7.794e-14
4.370e-01,1.765e-13
4.406e-01,3.927e-13
4.443e-01,8.593e-13
4.479e-01,1.850e-12
4.515e-01,3.918e-12
4.551e-01,8.170e-12
4.587e-01,1.677e-11
4.624e-01,3.392e-11
4.660e-01,6.758e-11
4.696e-01,1.327e-10
4.732e-01,2.569e-10
4.768e-01,4.905e-10
4.805e-01,9.237e-10
4.841e-01,1.716e-09
4.877e-01,3.148e-09
4.913e-01,5.699e-09
4.949e-01,1.019e-08
4.986e-01,1.799e-08
5.022e-01,3.138e-08
5.058e-01,5.410e-08
5.094e-01,9.216e-08
5.130e-01,1.552e-07
5.167e-01,2.585e-07
5.203e-01,4.259e-07
5.239e-01,6.939e-07
5.275e-01,1.119e-06
5.312e-01,1.785e-06
5.348e-01,2.819e-06
5.384e-01,4.407e-06
5.420e-01,6.822e-06
5.456e-01,1.046e-05
5.493e-01,1.588e-05
5.529e-01,2.389e-05
5.565e-01,3.561e-05
5.601e-01,5.260e-05
5.637e-01,7.701e-05
5.674e-01,1.118e-04
5.710e-01,1.608e-04
5.746e-01,2.295e-04
5.782e-01,3.248e-04
5.818e-01,4.559e-04
5.855e-01,6.349e-04
5.891e-01,8.771e-04
5.927e-01,1.202e-03
5.963e-01,1.636e-03
5.999e-01,2.209e-03
6.036e-01,2.962e-03
6.072e-01,3.942e-03
6.108e-01,5.208e-03
6.144e-01,6.834e-03
6.180e-01,8.906e-03
6.217e-01,1.153e-02
6.253e-01,1.482e-02
6.289e-01,1.893e-02
6.325e-01,2.403e-02
6.361e-01,3.031e-02
6.398e-01,3.798e-02
6.434e-01,4.731e-02
6.470e-01,5.857e-02
6.506e-01,7.208e-02
6.542e-01,8.819e-02
6.579e-01,1.073e-01
6.615e-01,1.298e-01
6.651e-01,1.561e-01
6.687e-01,1.867e-01
6.723e-01,2.221e-01
6.760e-01,2.628e-01
6.796e-01,3.093e-01
6.832e-01,3.622e-01
6.868e-01,4.220e-01
6.905e-01,4.892e-01
6.941e-01,5.642e-01
6.977e-01,6.476e-01
7.013e-01,7.397e-01
7.049e-01,8.410e-01
7.086e-01,9.516e-01
7.122e-01,1.072e+00
7.158e-01,1.202e+00
7.194e-01,1.342e+00
7.230e-01,1.491e+00
7.267e-01,1.650e+00
7.303e-01,1.818e+00
7.339e-01,1.994e+00
7.375e-01,2.179e+00
7.411e-01,2.371e+00
7.448e-01,2.569e+00
7.484e-01,2.773e+00
7.520e-01,2.981e+00
7.556e-01,3.193e+00
7.592e-01,3.406e+00
7.629e-01,3.621e+00
7.665e-01,3.834e+00
7.701e-01,4.045e+00
7.737e-01,4.252e+00
7.773e-01,4.454e+00
7.810e-01,4.649e+00
7.846e-01,4.835e+00
7.882e-01,5.012e+00
7.918e-01,5.178e+00
7.954e-01,5.332e+00
7.991e-01,5.472e+00
8.027e-01,5.597e+00
8.063e-01,5.707e+00
8.099e-01,5.801e+00
8.135e-01,5.878e+00
8.172e-01,5.938e+00
8.208e-01,5.980e+00
8.244e-01,6.005e+00
8.280e-01,6.012e+00
8.316e-01,6.001e+00
8.353e-01,5.973e+00
8.389e-01,5.928e+00
8.425e-01,5.867e+00
8.461e-01,5.791e+00
8.498e-01,5.700e+00
8.534e-01,5.595e+00
8.570e-01,5.478e+00
8.606e-01,5.349e+00
8.642e-01,5.209e+00
8.679e-01,5.060e+00
8.715e-01,4.903e+00
8.751e-01,4.739e+00
8.787e-01,4.569e+00
8.823e-01,4.395e+00
8.860e-01,4.217e+00
8.896e-01,4.036e+00
8.932e-01,3.854e+00
8.968e-01,3.672e+00
9.004e-01,3.491e+00
9.041e-01,3.311e+00
9.077e-01,3.133e+00
9.113e-01,2.958e+00
9.149e-01,2.787e+00
9.185e-01,2.620e+00
9.222e-01,2.458e+00
9.258e-01,2.301e+00
9.294e-01,2.150e+00
9.330e-01,2.004e+00
9.366e-01,1.865e+00
9.403e-01,1.732e+00
9.439e-01,1.605e+00
9.475e-01,1.484e+00
9.511e-01,1.370e+00
9.547e-01,1.263e+00
9.584e-01,1.161e+00
9.620e-01,1.066e+00
9.656e-01,9.765e-01
9.692e-01,8.931e-01
9.728e-01,8.154e-01
9.765e-01,7.431e-01
9.801e-01,6.760e-01
9.837e-01,6.139e-01
9.873e-01,5.566e-01
9.909e-01,5.038e-01
9.946e-01,4.552e-01
9.982e-01,4.106e-01
