transmittance,probability_density
1.153e-01,1.736e-52
1.197e-01,1.056e-49
1.242e-01,4.624e-47
1.286e-01,1.490e-44
1.330e-01,3.606e-42
1.375e-01,6.669e-40
1.419e-01,9.581e-38
1.463e-01,1.085e-35
1.508e-01,9.818e-34
1.552e-01,7.184e-32
1.597e-01,4.298e-30
1.641e-01,2.124e-28
1.685e-01,8.756e-27
1.730e-01,3.035e-25
1.774e-01,8.922e-24
1.818e-01,2.240e-22
1.863e-01,4.835e-21
1.907e-01,9.033e-20
1.951e-01,1.469e-18
1.996e-01,2.091e-17
2.040e-01,2.618e-16
2.084e-01,2.898e-15
2.129e-01,2.848e-14
2.173e-01,2.495e-13
2.217e-01,1.956e-12
2.262e-01,1.378e-11
2.306e-01,8.748e-11
2.350e-01,5.023e-10
2.395e-01,2.616e-09
2.439e-01,1.239e-08
2.483e-01,5.353e-08
2.528e-01,2.115e-07
2.572e-01,7.660e-07
2.616e-01,2.549e-06
2.661e-01,7.810e-06
2.705e-01,2.208e-05
2.750e-01,5.774e-05
2.794e-01,1.399e-04
2.838e-01,3.146e-04
2.883e-01,6.583e-04
2.927e-01,1.284e-03
2.971e-01,2.340e-03
3.016e-01,3.991e-03
3.060e-01,6.389e-03
3.104e-01,9.623e-03
3.149e-01,1.367e-02
3.193e-01,1.839e-02
3.237e-01,2.349e-02
3.282e-01,2.861e-02
3.326e-01,3.339e-02
3.370e-01,3.753e-02
3.415e-01,4.089e-02
3.459e-01,4.353e-02
3.503e-01,4.570e-02
3.548e-01,4.781e-02
3.592e-01,5.040e-02
3.636e-01,5.407e-02
3.681e-01,5.934e-02
3.725e-01,6.660e-02
3.769e-01,7.597e-02
3.814e-01,8.726e-02
3.858e-01,9.986e-02
3.902e-01,1.129e-01
3.947e-01,1.251e-01
3.991e-01,1.356e-01
4.036e-01,1.434e-01
4.080e-01,1.481e-01
4.124e-01,1.501e-01
4.169e-01,1.503e-01
4.213e-01,1.500e-01
4.257e-01,1.507e-01
4.302e-01,1.535e-01
4.346e-01,1.592e-01
4.390e-01,1.680e-01
4.435e-01,1.795e-01
4.479e-01,1.927e-01
4.523e-01,2.068e-01
4.568e-01,2.209e-01
4.612e-01,2.346e-01
4.656e-01,2.478e-01
4.701e-01,2.610e-01
4.745e-01,2.746e-01
4.789e-01,2.895e-01
4.834e-01,3.060e-01
4.878e-01,3.244e-01
4.922e-01,3.445e-01
4.967e-01,3.660e-01
5.011e-01,3.885e-01
5.055e-01,4.115e-01
5.100e-01,4.349e-01
5.144e-01,4.586e-01
5.189e-01,4.827e-01
5.233e-01,5.077e-01
5.277e-01,5.340e-01
5.322e-01,5.620e-01
5.366e-01,5.922e-01
5.410e-01,6.248e-01
5.455e-01,6.599e-01
5.499e-01,6.976e-01
5.543e-01,7.377e-01
5.588e-01,7.797e-01
5.632e-01,8.232e-01
5.676e-01,8.675e-01
5.721e-01,9.119e-01
5.765e-01,9.559e-01
5.809e-01,9.991e-01
5.854e-01,1.041e+00
5.898e-01,1.083e+00
5.942e-01,1.124e+00
5.987e-01,1.167e+00
6.031e-01,1.211e+00
6.075e-01,1.259e+00
6.120e-01,1.311e+00
6.164e-01,1.369e+00
6.208e-01,1.433e+00
6.253e-01,1.504e+00
6.297e-01,1.582e+00
6.341e-01,1.668e+00
6.386e-01,1.760e+00
6.430e-01,1.858e+00
6.475e-01,1.962e+00
6.519e-01,2.071e+00
6.563e-01,2.184e+00
6.608e-01,2.300e+00
6.652e-01,2.420e+00
6.696e-01,2.542e+00
6.741e-01,2.666e+00
6.785e-01,2.793e+00
6.829e-01,2.923e+00
6.874e-01,3.054e+00
6.918e-01,3.188e+00
6.962e-01,3.324e+00
7.007e-01,3.463e+00
7.051e-01,3.603e+00
7.095e-01,3.747e+00
7.140e-01,3.893e+00
7.184e-01,4.041e+00
7.228e-01,4.190e+00
7.273e-01,4.341e+00
7.317e-01,4.492e+00
7.361e-01,4.642e+00
7.406e-01,4.789e+00
7.450e-01,4.931e+00
7.494e-01,5.066e+00
7.539e-01,5.191e+00
7.583e-01,5.303e+00
7.628e-01,5.399e+00
7.672e-01,5.474e+00
7.716e-01,5.526e+00
7.761e-01,5.550e+00
7.805e-01,5.543e+00
7.849e-01,5.503e+00
7.894e-01,5.427e+00
7.938e-01,5.314e+00
7.982e-01,5.163e+00
8.027e-01,4.974e+00
8.071e-01,4.750e+00
8.115e-01,4.492e+00
8.160e-01,4.206e+00
8.204e-01,3.895e+00
8.248e-01,3.566e+00
8.293e-01,3.224e+00
8.337e-01,2.878e+00
8.381e-01,2.533e+00
8.426e-01,2.197e+00
8.470e-01,1.877e+00
8.514e-01,1.576e+00
8.559e-01,1.300e+00
8.603e-01,1.053e+00
8.647e-01,8.355e-01
8.692e-01,6.488e-01
8.736e-01,4.923e-01
8.780e-01,3.644e-01
8.825e-01,2.627e-01
8.869e-01,1.840e-01
8.914e-01,1.249e-01
8.958e-01,8.201e-02
9.002e-01,5.191e-02
9.047e-01,3.158e-02
9.091e-01,1.839e-02
9.135e-01,1.021e-02
9.180e-01,5.377e-03
9.224e-01,2.671e-03
9.268e-01,1.243e-03
9.313e-01,5.373e-04
9.357e-01,2.138e-04
9.401e-01,7.741e-05
9.446e-01,2.513e-05
9.490e-01,7.185e-06
9.534e-01,1.769e-06
9.579e-01,3.639e-07
9.623e-01,6.014e-08
9.667e-01,7.562e-09
9.712e-01,6.691e-10
9.756e-01,3.705e-11
9.800e-01,1.064e-12
9.845e-01,1.138e-14
9.889e-01,2.315e-17
9.933e-01,1.585e-21
9.978e-01,1.194e-30
